n_ID	n_ID_MAINTITLE	n_NAME_ID	n_MAP_X	n_MAP_Y	n_NPC_ID	s_MAP_NAME	n_MAP_BUTTON_UP	n_MAP_BUTTON_DOWN	n_MAP_BUTTON_LEFT	n_MAP_BUTTON_RIGHT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	0	126	0	0	0	Bg3001_air_400	0	6	5	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	0	127	0	0	0	Bg3002_air_400	5	0	0	6	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	0	128	0	0	0	Bg3003_air_400	0	0	6	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
5	0	304	0	0	0	Bg3007_air_400	0	2	0	1	1.01.0000	1.07.0000	1.09.0000	1.09.0100
6	0	305	0	0	0	Bg3008_air_400	1	0	2	3	1.01.0000	1.07.0000	1.09.0000	1.09.0100
101	1	1	253	187	9108		0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
102	1	2	99	141	9109		0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
103	1	3	167	334	9110		0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
104	5	4	132	232	9111		0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	5	5	232	195	9112		0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
106	2	6	266	154	9113		0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
107	2	7	141	269	9114		0	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
108	6	8	252	312	9115		0	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
110	3	9	179	111	9117		0	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
111	3	14	235	307	9118		0	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
