n_ID	n_SCENE	n_X	n_Y	n_Z	n_DIRTECTION
1	1	4294956974	4294966541	671	3
2	2	26905	21185	1680	8
3	3	4294946081	16907	4294966466	3
4	4	4294948220	17634	1440	6
5	5	13025	23379	4294966556	6
6	6	4294957448	24151	375	6
7	7	4294944030	7709	5220	3
8	8	19440	23997	560	6
9	9	2129	20907	240	6
10	10	15740	25461	465	6
11	11	15179	22807	380	6
12	12	4294952412	14527	11180	4
13	10	4294946853	4294958754	4294963126	3
14	14	4294949783	18989	1894	6
15	15	22160	4294943979	4195	10
16	16	22330	211	4294966286	10
17	126	3050	232	90	6
18	126	4294962224	4000	90	7
19	126	4294966602	4294962719	90	3
20	304	4294964184	4294965152	90	5
21	304	1795	4294966896	90	7
22	127	2150	4294945396	2710	9
23	130	4294947296	17693	4294966561	3
24	2	13045	412	2200	7
25	2	17866	6113	985	2
26	2	2446	4294944099	446	7
27	3	22512	7633	2540	3
28	3	20996	7626	2385	9
29	3	18858	4294948223	5743	4
30	3	8191	4294953089	3645	7
31	3	6027	4294952571	3470	7
32	3	6028	4294954046	3500	7
33	126	7322	5860	90	9
34	126	7322	4294966936	90	9
35	126	7322	4294960272	90	9
36	127	4294961320	5218	70	3
37	127	4294961320	4294966647	70	3
38	127	4294961320	4294961088	70	3
39	127	4262	2870	70	7
40	127	4294964396	4294965756	70	10
41	305	2360	4294961327	70	6
42	305	4294965062	476	70	6
43	7	4294959051	4696	8275	9
44	7	9758	13738	10605	6
45	7	4098	4294947885	12290	6
46	8	23462	4294950884	560	12
47	8	4294958469	4294962020	5630	5
48	8	4294963562	4294941400	695	12
49	8	4294955708	4294938905	1235	3
50	8	22155	4294956926	1290	12
51	14	15433	14184	2610	6
52	14	11318	13475	2620	6
53	14	4294962961	4294956323	4290	1
54	14	4294963133	4294957451	4230	6
55	14	4294964249	4294956513	4280	10
56	9	12097	4294953071	2770	12
57	9	4294944033	4294942819	2280	6
58	15	13455	4294950755	5900	3
59	15	4294951610	4294956138	3955	10
60	15	12472	17683	13489	7
61	15	10210	18491	13469	5
62	12	4294959618	5443	11630	3
63	12	4294962506	5041	11560	3
64	12	7872	4294954227	12070	6
