n_ID	s_NAME	s_ID_MODEL_CLASS	n_ID_MODEL	n_ID_MAP	s_PREDESCRIPT	s_OUTFIT	n_BOUNDARY	n_HEIGHT	n_LEVEL_MIN	n_LEVEL_MAX	n_RANK	f_RATIO_EXP	f_RATIO_SP	s_PROPERTIES	n_SPEED_WALK	n_SPEED_RUN	n_VEHICLE	n_AI_WANDER	n_AI_COMBAT	n_AI_TACTIC	s_SKILLS	n_DEADMISSILE	n_CONDITION	n_SKIN_COLOR	s_FX_SELECT	n_WATER_DOWN	s_FX_GORE	n_INTIMATE	n_CREDIT	n_PVPSCORE	n_MOB_APPEAR	n_DROP_RANGE	n_DROPS_EQUIPMENT	n_DROPS_NORMAL	n_DROPS_SPECIALLY	n_DROP_FLOOR	n_DROPS_QUEST	s_QUEST_BEGIN	s_QUEST_END	n_CAPABILITY	s_ICON	s_LOCATION	n_GM_SWITCH	n_FITTINGROOM_DISTANCE	n_FITTINGROOM_HEIGHT	s_NPC_VOICE	s_ROLE_GRAPHIC	n_BROADCAST	n_MOB_USAGE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	海軍傳送兵	MALE	0	0	P_MALE_FIST	P_MALE_002_000_SP1	75	170	20	20	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700001	3020	3020	1			0	0	0	160		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
2	賽巴斯汀	M010	1	0		M010_001_000_N	180	260	20	20	0	0.0	0.0	7051	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700002	51;80;86;98;927	98;926;891	1			0	0	0	20;21		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	海軍士兵	MALE	0	0	P_MALE_FIST	P_MALE_002_000_SP1;P_MALE_002_000_PAK	75	170	20	20	0	0.0	0.0	0	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700003	993	993	0			0	0	0	162		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
4	魔玉子	M015	0	0		M015_000_000_SP1	100	180	20	20	0	0.0	0.0	7071	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700004			0			0	0	0	29;30;31		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
5	派克	MALE	0	0	P_MALE_FIST	P_MALE_002_000_PAK	75	75	20	20	0	0.0	0.0	8010	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700005	52;53	52;927	1			0	0	0	1019		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
6	史杰客	M001	0	0		M001_000_000_SP3	170	210	20	20	0	0.0	0.0	7005	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700006	54;55;56;58;67	53;54;55;59;992	1			0	0	0	1;2;3		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
7	史杰客的手下	M001	0	0		M001_000_000_SP1	130	170	20	20	0	0.0	0.0	7005	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700007			0			0	0	0	2		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
8	艾德蒙	MALE	0	0	P_MALE_FIST	P_MALE_015_000_EDMON	75	170	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700008	60;62;65;66;357;747;883	60;64;65;67;70;749;883	1			0	0	0	165;166		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
9	巴波殺	M001	0	1		M001_000_001_SP3	170	200	20	20	0	0.0	0.0	7006	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700009	59;64	58;62	1			0	0	0	1;3		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
10	巴波殺的手下	M001	0	1		M001_000_001_SP1	130	170	20	20	0	0.0	0.0	7006	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700010			0			0	0	0	3		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
11	X	MALE	0	0	P_MALE_FIST	P_MALE_015_000_X	75	170	20	20	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700011			0			0	0	0	178		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
12	保羅	MALE	0	0	P_MALE_FIST	P_MALE_015_000_PAUL	75	170	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700012	89;91;722	66;89;91	1			0	0	0	181		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
13	奧德賽	M009	0	0		M009_000_000_N	100	155	20	20	0	0.0	0.0	7047	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700013	68;69;70	68;69	1			0	0	0	13;16;18	ODYSSEY_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
14	薇若妮卡	FEMALE	0	0	P_FEMALE_FIST	P_FEMALE_012_000_VENONIKA	75	150	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	1		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700014	57;992	56;57	1			0	0	0	125		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
15	費里曼	M074	0	1		M074_000_001_N	75	90	20	20	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700015			0			0	0	0	133		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
16	無聊的海盜囚犯	MALE	0	0	P_MALE_FIST	P_MALE_015_000_SLAVE	75	170	20	20	0	0.0	0.0	8009	150	650	0	1	0	0		0	0	2		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700016			0			0	0	0	130		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
17	恐慌的海盜囚犯	MALE	0	0	P_MALE_FIST	P_MALE_015_000_SLAVE	75	170	20	20	0	0.0	0.0	8009	150	650	0	1	0	0		0	0	3		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700017			0			0	0	0	131		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
18	西恩	M001	3	0		M001_003_000_N	150	200	20	20	0	0.0	0.0	8200;7011	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700018	72	71	1			0	0	0	2		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
19	麥特	MALE	0	0	P_MALE_FIST	P_MALE_015_000_MATT	75	170	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	5		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700019	92;93	92;93	1			0	0	0	180		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
20	傑佛遜	MALE	0	0	P_MALE_FIST	P_MALE_009_000_JEFFERY	75	170	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	6		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700020	71	357	1			0	0	0	178		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
21	X	MALE	0	0	P_MALE_FIST	P_MALE_015_000_X	75	170	20	20	0	0.0	0.0	0	150	650	0	2	0	0		0	0	7		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700021			0			0	0	0	178		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
22	克勞斯	MALE	0	0	P_MALE_FIST	P_MALE_003_000_CLOUS	75	170	20	20	0	0.0	0.0	8009	150	650	0	2	0	0		0	0	8		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700022	157;323	157;323	1			0	0	0	179		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
23	小七	MALE	0	0	P_MALE_FIST	P_MALE_015_000_SEVEN	75	170	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700023	94;95	94;95	1			0	0	0	180		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
24	庫克	M001	1	0		M001_001_000_SP3	170	300	20	20	0	0.0	0.0	8200;7008	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700024	73;999;1099	72;999;1099	1			0	0	0	3		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
25	奧德賽	M009	0	0		M009_000_000_N	100	155	20	20	0	0.0	0.0	7047	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700025	74;75;76	73;74;75;76	1			0	0	0	11;13;14	ODYSSEY_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
26	企圖逃獄的海盜囚犯	MALE	0	0	P_MALE_FIST	P_MALE_015_000_SLAVE	75	170	20	20	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700026			0			0	0	0	132		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
27	山地鹿	M005	0	0		M005_000_000_SP1;M005_000_000_SP2	110	160	17	19	1	1.0	1.0	400;7029	100	650	0	16	150	1	3100;3100;3103;3103	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802222	0	8700027			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
28	醉狼海賊團	M001	0	0		M001_000_000_N;M001_000_000_SP1	150	200	16	18	1	1.0	1.0	400;7005	100	650	0	16	110	1	3020;3020;3020;3020	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	0	0	8700028			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
29	猛獅海賊團	M001	0	1		M001_000_001_SP1;M001_000_001_SP2	170	210	19	21	1	1.0	1.0	400;7006	100	650	0	16	110	1	3020;3020;3020;3020	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	0	0	8700029			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
30	荒漠鷹	M011	0	0		M011_000_000_SP1;M011_000_000_SP2	170	280	25	27	1	1.0	1.0	400;7055	100	650	0	16	210	1	3220;3223;3221;3231;3233	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802234	0	8700030			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
31	旋風巨鷹	M011	0	0		M011_000_000_SP3	230	330	27	27	1	1.0	1.0	416;7055	100	650	0	16	214	1	3220;3226;3221;3231;3233	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802234	0	8700031			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
32	岩龜	M006	0	0		M006_000_000_SP1;M006_000_000_SP2	150	320	23	25	1	1.0	1.0	400;7035	100	650	0	16	164	1	3120;3121;3127;3132	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802228	0	8700032			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
33	土砂狼	M000	0	1		M000_000_001_SP1;M000_000_001_SP2	130	130	19	21	1	1.0	1.0	400;7001	100	650	0	16	100	1	3000;3001;3002;3003	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802202	0	8700033			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
34	鬥魚兵	M025	1	0		M025_001_000_N	100	70	25	27	1	1.0	1.0	400;7129	100	650	0	16	350	1	3500;3501;3508;3507	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802264	0	8700034			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
35	鬥魚士官長	M025	1	0		M025_001_000_BOSS	180	230	27	27	1	1.0	1.0	416;7129	100	650	0	16	352	1	3500;3501;3508;3507	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400001	2701001	2802264	0	8700035			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
36	哥倫布	M055	0	0		M055_000_000_N	100	210	35	35	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700036	121;3023;3207	121;919;3023;3207	1			0	0	0	93;94;95	COLUMBUS_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
38	蕾娜	FEMALE	0	0	P_FEMALE_FIST	P_FEMALE_001_001_RENA	75	150	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700038	122;158	158	1			0	0	0	202		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
39	魔玉子	M015	0	0		M015_000_000_SP2	100	250	35	35	0	0.0	0.0	7071	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700039			0			0	0	0	29;30;31		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
40	卡爾	MALE	0	0	P_MALE_FIST	P_MALE_001_001_KARL	75	170	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700040	123;182	122;182	1			0	0	0	181		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
41	馬丁	MALE	0	0	P_MALE_FIST	P_MALE_010_000_MARTIN	75	170	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700041		153	1			0	0	0	180		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
42	興奮的香料商人	FEMALE	0	0	P_FEMALE_FIST	P_FEMALE_009_001_N	75	150	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700042			0			0	0	0	203		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
43	伊恩	MALE	0	0	P_MALE_FIST	P_MALE_002_002_EION	75	170	35	35	0	0.0	0.0	8009	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700043	163;166	166	1			0	0	0	178		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
44	麥哲倫	M055	1	0		M055_001_000_N	100	210	35	35	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700044	124;125;126;127;131;132;162;852	123;124;125;126;130;131;132;161	1			0	0	0	201;202	MAGALLANES_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
45	老麥哲倫	MALE	0	0	P_MALE_FIST	P_MALE_007_001_OLD_MAGELLAN	75	75	35	35	0	0.0	0.0	8011	150	650	0	2	0	0		0	9	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700045			0			0	0	0			0	7	1.00.0000	1.00.0000	1.07.0000	1.07.0000
46	露拉拉	FEMALE	0	0	P_FEMALE_FIST	P_FEMALE_012_001_RULALA	75	150	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700046	171;172	171;172	1			0	0	0	204		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
47	詹姆士	MALE	0	0	P_MALE_FIST	P_MALE_001_002_JAMES	75	170	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700047	128;129;130;161	127;128;129;162	1			0	0	0	178		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
48	貪財的香料商人	MALE	0	0	P_MALE_FIST	P_MALE_009_001_N	75	170	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700048			0			0	0	0	180		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
49	異形奇花	M004	0	4		M004_000_004_N	150	180	35	35	0	0.0	0.0	7028	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700049	164;165;698	163;164;165;698	1			0	0	0			0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
50	魔玉子	M015	0	0		M015_000_000_SP1	100	180	35	35	0	0.0	0.0	7071	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700050	133;1501	133;852;1502	1			0	0	0	29;30;31		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
51	麥迪遜	M070	0	1		M070_000_001_N	100	175	35	35	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700051	135;136;137;138	134;135;136	1			0	0	0	119		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
52	柏拉圖	M012	0	0		M012_000_000_N	100	195	35	35	0	0.0	0.0	7060	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700052	145;853	137;853	1			0	0	0	23;24;25	PLATO_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
53	柏拉圖	M012	0	0		M012_000_000_N	100	195	35	35	0	0.0	0.0	7060	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700053	146;147;148;149;150;153;174;175;176	144;145;146;147;148;149;152;174;175;176	1			0	0	0	26;27;28	PLATO_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
54	蘿辣	FEMALE	0	0	P_FEMALE_FIST	P_FEMALE_018_000_LORA	75	160	35	35	0	0.0	0.0	0	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700054	151;152;178;179;180;931;2605;2606;2629	150;151;178;179;180;931;2605;2606;2629	1			0	0	0	197;198;199;200	LOLA_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
55	土砂龍	M006	0	1		M006_000_001_SP1;M006_000_001_SP2	150	320	31	33	1	1.0	1.0	400;7036	100	650	0	16	164	1	3120;3121;3127;3132	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802229	0	8700055			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
56	啾可菈	M013	0	0		M013_000_000_SP1;M013_000_000_SP2	70	90	32	34	1	1.0	1.0	400;7061	100	650	0	16	230	1	3260;3261;3261;3270	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802239	0	8700056			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
57	綠林魔花	M004	0	0		M004_000_000_SP1;M004_000_000_SP2	150	180	33	35	1	1.0	1.0	400;7024	100	650	0	16	140	1	3080;3081;3086	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802217	0	8700057			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
58	刺錘蜂	M028	1	0		M028_001_000_SP1;M028_001_000_SP2	120	160	35	37	1	1.0	1.0	400;7143	100	650	0	10	380	1	3560;3562;3561;3563	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802269	0	8700058			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
59	密林虎	M002	0	2		M002_000_002_SP1;M002_000_002_SP2	180	190	36	38	1	1.0	1.0	400;7015	100	650	0	16	120	1	3040;3040;3042;3040	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802208	0	8700059			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
60	密林巨虎	M002	0	2		M002_000_002_SP3	230	290	37	39	1	1.0	1.0	416;7015	100	650	0	11	123	1	3040;3041;3044;3045	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802208	0	8700060			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
61	劇毒魔藤	M004	0	2		M004_000_002_SP1	100	120	38	40	1	1.0	1.0	400;7026	100	650	0	16	140	1	3080;3083;3089	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802219	0	8700061			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
62	古文明警戒兵器	M014	0	0		M014_000_000_N	75	150	39	41	1	1.0	1.0	400;7066	100	650	0	16	240	1	3280;3281;3283	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	0	0	8700062			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
63	綠鱗海賊團	M001	3	0		M001_003_000_N;M001_003_000_SP1	150	200	41	43	1	1.0	1.0	400;7011	100	650	0	16	110	1	3020;3020;3026;3020	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	0	0	8700063			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
64	沃德金剛	M003	1	0		M003_001_000_SP1;M003_001_000_SP2	150	180	42	44	1	1.0	1.0	400;7022	100	650	0	10	130	1	3060;3060;3062;3066	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802215	0	8700064			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
65	沃德巨猿	M003	1	0		M003_001_000_SP3	200	250	43	45	1	1.0	1.0	416;7022	100	650	0	11	133	1	3060;3060;3062;3066	0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	5400002	2701002	2802215	0	8700065			0			0	0	0			0	1	1.00.0000	1.00.0000	1.07.0000	1.07.0000
67	哥倫布	M055	0	0		M055_000_000_N	100	210	50	50	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700067	3024;3208	3024;3208	1			0	0	0	96;97;98	COLUMBUS_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
68	薇若妮卡	FEMALE	0	0	P_FEMALE_FIST	P_FEMALE_012_000_VENONIKA	75	150	50	50	0	0.0	0.0	8200	100	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700068	233	233	1			0	0	0	201		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
69	森魔子	M015	0	1		M015_000_001_SP3	150	320	50	50	0	0.0	0.0	7072	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700069			0			0	0	0	29;30;31		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
70	有錢的奴隸買家	M070	0	0		M070_000_000_N	100	175	50	50	0	0.0	0.0	8200	100	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700070	187	187	1			0	0	0	118		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
71	好色的奴隸買家	M001	1	0		M001_001_000_SP2	170	300	50	50	0	0.0	0.0	8200;7008	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700071	188	188	1			0	0	0	35;36		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
72	鬥技場賭客	M068	0	1		M068_000_001_SP3	150	230	50	50	0	0.0	0.0	8200	150	650	0	1	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700072	251	251	1			0	0	0	110;111		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
73	安潔莉娜	M051	0	1		M051_000_001_N	75	165	50	50	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	0	200	0	0	0	0	8700073	184;185;192;194;195;214;740;741	183;194;214	1		4;-2093;16441;1580	0	0	0	70;71;72;73	ANGELINA_PRINCESS_0	0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
74	阿斯頓	M073	0	0		M073_000_000_N	100	190	50	50	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700074	183;186;223;231;859	184;185;186;232	1			0	0	0	130;131;132		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
75	拉爾金	MALE	0	0	P_MALE_FIST	P_MALE_003_002_LARGIN	75	170	50	50	0	0.0	0.0	0	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700075	193;218;222;854;941	192;193;218;741;854	1			0	0	0	178		0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
76	哈桑	M023	0	1		M023_000_001_SP1	100	130	50	50	0	0.0	0.0	7116	150	650	0	2	0	0		0	0	0		75	S_H_GOREDEAD	0	0	0	1	200	0	0	0	0	8700076		224	1			0	0	0			0	2	1.00.0000	1.00.0000	1.07.0000	1.07.0000
