n_ID	s_NAME	n_TYPE	n_TIME	n_FLAG	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	Opening.wmv	1	65	0	OUT	1.07.0000	1.07.0000	1.07.0000
10	Drama01.wmv	1	37	1076	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	Drama02.wmv	1	32	111	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	Drama03.wmv	1	45	870	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	Drama04.wmv	1	22	633	1.00.0000	1.07.0000	1.07.0000	1.07.0000
16	Drama05.wmv	1	22	2004	1.02.0000	1.07.0000	1.07.0000	1.07.0000
17	Drama06.wmv	1	30	2006	1.02.0000	1.07.0000	1.07.0000	1.07.0000
18	Drama07.wmv	1	30	588	1.02.0000	1.07.0000	1.07.0000	1.07.0000
19	Drama08.wmv	1	30	588	1.02.0000	1.07.0000	1.07.0000	1.07.0000
20	Drama09.wmv	1	30	2036	1.02.0000	1.07.0000	1.07.0000	1.07.0000
21	Drama10.wmv	1	30	2026	1.02.0000	1.07.0000	1.07.0000	1.07.0000
22	Drama11.wmv	1	15	144	1.00.0000	1.07.0000	1.07.0000	1.07.0000
25	Uteach_08.wmv	1	25	895	1.05.0000	1.07.0000	1.07.0000	1.07.0000
36	Drama01.wmv	1	37	1093	1.00.0000	1.07.0000	1.07.0000	1.07.0000
