n_ID	s_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	VM000_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
2	VM000_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
3	VM000_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
4	VM001_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
5	VM001_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
6	VM001_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
7	VM001_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
8	VM001_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
9	VM001_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
10	VM001_NPC_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
11	VF000_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
12	VF000_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
13	VF000_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
14	VF000_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
15	VF000_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
16	VF000_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
17	VF000_NPC_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
18	VF000_NPC_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
19	VF000_NPC_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
20	VM002_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
21	VM002_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
22	VM002_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
23	VF002_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
24	VF002_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
25	VF002_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
26	VF002_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
27	VF002_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
28	VF002_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
29	VM003_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
30	VM003_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
31	VM003_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
32	VM004_NPC_000	1.03.0000	OUT	OUT	1.07.0000
33	VM004_NPC_001	1.03.0000	OUT	OUT	1.07.0000
34	VM004_NPC_002	1.03.0000	OUT	OUT	1.07.0000
35	VM004_NPC_003	1.03.0000	OUT	OUT	1.07.0000
36	VM004_NPC_004	1.03.0000	OUT	OUT	1.07.0000
37	VF003_NPC_000	1.03.0000	OUT	OUT	1.07.0000
38	VF003_NPC_001	1.03.0000	OUT	OUT	1.07.0000
39	VF003_NPC_002	1.03.0000	OUT	OUT	1.07.0000
40	VF003_NPC_003	1.03.0000	OUT	OUT	1.07.0000
41	VF003_NPC_004	1.03.0000	OUT	OUT	1.07.0000
42	VM005_NPC_000	1.03.0000	OUT	OUT	1.07.0000
43	VM005_NPC_001	1.03.0000	OUT	OUT	1.07.0000
44	VM005_NPC_002	1.03.0000	OUT	OUT	1.07.0000
45	VM005_NPC_003	1.03.0000	OUT	OUT	1.07.0000
46	VM005_NPC_004	1.03.0000	OUT	OUT	1.07.0000
47	VM006_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
48	VM006_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
49	VM006_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
50	VM007_NPC_000	1.03.0000	OUT	OUT	1.07.0000
51	VM007_NPC_001	1.03.0000	OUT	OUT	1.07.0000
52	VM007_NPC_002	1.03.0000	OUT	OUT	1.07.0000
53	VM008_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
54	VM008_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
55	VM008_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
56	VF005_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
57	VF005_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
58	VF005_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
59	VF005_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
60	VF005_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
61	VF005_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
62	VF005_NPC_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
63	VF005_NPC_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
64	VF006_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
65	VF006_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
66	VF006_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
67	VF006_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
68	VF006_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
69	VF006_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
70	VF013_NPC_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
71	VF013_NPC_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
72	VF013_NPC_011	1.03.0000	1.03.0000	1.07.0000	1.07.0000
73	VF013_NPC_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
74	VM009_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
75	VM009_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
76	VM009_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
77	VM009_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
78	VM009_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
79	VM009_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
80	VM009_NPC_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
81	VM010_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
82	VM010_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
83	VM010_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
84	VM010_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
85	VM010_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
86	VM010_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
87	VM011_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
88	VM011_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
89	VM011_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
90	VM011_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
91	VM011_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
92	VM011_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
93	VF007_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
94	VF007_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
95	VF007_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
96	VF007_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
