n_ID	n_LV	n_UI_WORD	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	1836	2.00.0000	1.07.0000	1.07.0000	1.07.0000
2	1	1837	2.00.0000	1.07.0000	1.07.0000	1.07.0000
40	40	1838	2.00.0000	1.07.0000	1.07.0000	1.07.0000
55	55	1839	2.00.0000	1.07.0000	1.07.0000	1.07.0000
70	70	1840	2.00.0000	1.07.0000	1.07.0000	1.07.0000
80	80	1841	2.00.0000	1.07.0000	1.07.0000	1.07.0000
90	90	1842	2.00.0000	1.07.0000	1.07.0000	1.07.0000
100	100	1843	2.00.0000	1.07.0000	1.07.0000	1.07.0000
110	110	1844	2.00.0000	1.07.0000	1.07.0000	1.07.0000
115	115	1845	2.00.0000	1.07.0000	1.07.0000	1.07.0000
