n_ID	s_NAME	n_PETTYPE	n_MOBDATA	n_OUTFIT	s_BUFFID	n_SSKILL	s_SLOT_MAN	s_SLOT_SHIP	n_SHIP	n_SHIP_TYPE	s_OUTFITTING	n_RANK_CAP
1	米辜	1	8501	0		0	1;2;2;2;3	3;3;3;3;3	9	2		5
2	咕寶	1	8506	0		0	1;1;2;2;2	2;2;2;2;2	5	1		5
3	那魯薩斯	1	8520	0		0	1;2;2;2;3	3;3;3;3;3	4	2		5
4	凱爾	1	8523	0		0	1;2;2;2;2	3;3;3;3;3	7	2		5
5	炎玉子	1	8542	0		0	1;1;2;2;3	3;3;3;3;3	6	2		5
6	兔娜	1	8529	0		0	1;2;3;3;3	3;3;3;3;3	3	4		5
7	海雷丁	1	8543	0		0	1;2;2;2;2	3;3;3;3;3	11	4		5
8	克羅艾斯	1	8532	0		0	1;2;3;3;4	3;3;3;3;3	10	1		5
9	奧利薇	1	8533	1		0	1;2;3;4;5	5;5;5;5;5	2	2		5
10	伊莉莎白	1	8534	2		0	1;2;3;4;5	5;5;5;5;5	8	4		5
11	艾娃	1	8503	0		0	1;2;3;3;3	3;3;3;3;3	13	2		5
12	奧德賽	1	8544	0		0	1;2;3;4;5	5;5;5;5;5	14	4		5
13	飛天黃鴨	1	8545	0		0	1;2;3;4;5	5;5;5;5;5	101	4		5
101	威兒沃爾夫	1	8527	0		0	1;1;1;1;1	1;1;1;1;1	12	1		1
201	伊莉莎白(聖誕版)	1	8546	3		0	1;2;3;4;5	5;5;5;5;5	8	4		5
1001	海狗	2	8600	0	12124	0	0	0	0	0		1
1002	土砂狼	2	8601	0	12121	0	0	0	0	0		1
1003	盲眼獵犬	2	8602	0	12123	0	0	0	0	0		1
1004	異域魔犬	2	8603	0	12103	0	0	0	0	0		1
1005	紅焰魔犬	2	8604	0	12105	0	0	0	0	0		1
1006	雙角虎	2	8605	0	12104	0	0	0	0	0		1
1007	紫焰獅	2	8606	0	12102	0	0	0	0	0		1
1008	密林虎	2	8607	0	12102	0	0	0	0	0		1
1009	黑炙獅	2	8608	0	12103	0	0	0	0	0		1
1010	魔海藍虎	2	8609	0	12103	0	0	0	0	0		1
1011	尼德金剛	2	8610	0	12114	0	0	0	0	0		1
1012	極地猿	2	8611	0	12115	0	0	0	0	0		1
1013	狂暴黑猿	2	8612	0	12113	0	0	0	0	0		1
1014	地獄金剛	2	8613	0	12114	0	0	0	0	0		1
1015	沃德金剛	2	8614	0	12112	0	0	0	0	0		1
1016	殭屍狒狒	2	8615	0	12112	0	0	0	0	0		1
1017	綠林魔花	2	8616	0	12142	0	0	0	0	0		1
1018	烈焰魔藤	2	8617	0	12144	0	0	0	0	0		1
1019	劇毒魔藤	2	8618	0	12142	0	0	0	0	0		1
1020	末日狂花	2	8619	0	12143	0	0	0	0	0		1
1021	魅惑魔藤	2	8620	0	12142	0	0	0	0	0		1
1022	山地鹿	2	8621	0	12141	0	0	0	0	0		1
1023	電光羚羊	2	8622	0	12144	0	0	0	0	0		1
1024	炎山鹿	2	8623	0	12144	0	0	0	0	0		1
1025	極地鹿	2	8624	0	12144	0	0	0	0	0		1
1026	草原鹿	2	8625	0	12143	0	0	0	0	0		1
1027	夢魘羊角獸	2	8626	0	12145	0	0	0	0	0		1
1028	岩龜	2	8627	0	12111	0	0	0	0	0		1
1029	土砂龍	2	8628	0	12112	0	0	0	0	0		1
1030	紫龍龜	2	8629	0	12112	0	0	0	0	0		1
1031	土炎龍	2	8630	0	12114	0	0	0	0	0		1
1032	沼澤陸龜	2	8631	0	12113	0	0	0	0	0		1
1033	冰山海龜	2	8632	0	12115	0	0	0	0	0		1
1034	荒漠鷹	2	8633	0	12131	0	0	0	0	0		1
1035	血紅鷹	2	8634	0	12136	0	0	0	0	0		1
1036	森林綠鷲	2	8635	0	12133	0	0	0	0	0		1
1037	利刃黑鷹	2	8636	0	12135	0	0	0	0	0		1
1038	鋼刃飛鷹	2	8637	0	12136	0	0	0	0	0		1
1039	啾可菈	2	8638	0	12122	0	0	0	0	0		1
1040	野莓比比	2	8639	0	12125	0	0	0	0	0		1
1041	飛行鼠藍寶	2	8640	0	12127	0	0	0	0	0		1
1042	遺跡比比	2	8641	0	12004	0	0	0	0	0		1
1043	結晶比比	2	8642	0	12124	0	0	0	0	0		1
1044	海軍二足機甲	2	8643	0	12123	0	0	0	0	0		1
1045	護城機甲	2	8644	0	12126	0	0	0	0	0		1
1046	海軍虎式機甲	2	8645	0	12123	0	0	0	0	0		1
1047	海盜閃擊機甲	2	8646	0	12147	0	0	0	0	0		1
1048	空賊流星機甲	2	8647	0	12137	0	0	0	0	0		1
1049	海軍火槍機甲	2	8648	0	12117	0	0	0	0	0		1
1050	火光眼蟲	2	8649	0	12135	0	0	0	0	0		1
1051	硬皮骨魚	2	8650	0	12132	0	0	0	0	0		1
1052	翡翠眼蟲	2	8651	0	12136	0	0	0	0	0		1
1053	克雷格火鳥	2	8652	0	12134	0	0	0	0	0		1
1054	不祥青鳥	2	8653	0	12133	0	0	0	0	0		1
1055	天使綿羊	2	8654	0	12134	0	0	0	0	0		1
1056	湛藍海蛇	2	8655	0	12145	0	0	0	0	0		1
1057	毒藤尖角蛇	2	8656	0	12143	0	0	0	0	0		1
1058	紅焰爬行者	2	8657	0	12146	0	0	0	0	0		1
1059	魅影妖蛇	2	8658	0	12142	0	0	0	0	0		1
1060	聖殿蛇后	2	8659	0	12144	0	0	0	0	0		1
1061	呱蝸	2	8660	0	12112	0	0	0	0	0		1
1062	深海蝸蝓	2	8661	0	12115	0	0	0	0	0		1
1063	閃光呱蝸	2	8662	0	12114	0	0	0	0	0		1
1064	鬥魚兵	2	8663	0	12101	0	0	0	0	0		1
1065	紳士鴨嘴獸	2	8664	0	12103	0	0	0	0	0		1
1066	巨鐮甲蟲	2	8665	0	12103	0	0	0	0	0		1
1067	聖雷甲蟲	2	8666	0	12104	0	0	0	0	0		1
1068	藍光甲蟲	2	8667	0	12107	0	0	0	0	0		1
1069	刺錘蜂	2	8668	0	12132	0	0	0	0	0		1
1070	紅血蜂	2	8669	0	12133	0	0	0	0	0		1
1071	海魅影	2	8670	0	12001	0	0	0	0	0		1
1072	納爾遜	2	8671	0	12001	0	0	0	0	0		1
1073	奧德賽	2	8672	0	12001	0	0	0	0	0		1
1074	柏拉圖	2	8673	0	12001	0	0	0	0	0		1
1075	傑森	2	8674	0	12001	0	0	0	0	0		1
1076	美狄亞	2	8675	0	12001	0	0	0	0	0		1
1077	德雷克	2	8676	0	12001	0	0	0	0	0		1
1078	賽蓮	2	8677	0	12005	0	0	0	0	0		1
1079	蘿絲瑪莉	2	8678	0	12001	0	0	0	0	0		1
1080	安潔莉娜	2	8679	0	12001	0	0	0	0	0		1
1081	俾斯麥	2	8680	0	12001	0	0	0	0	0		1
1082	山本五十六	2	8681	0	12012	0	0	0	0	0		1
1083	哥倫布	2	8682	0	12001	0	0	0	0	0		1
1084	麥哲倫	2	8683	0	12001	0	0	0	0	0		1
1085	死神	2	8684	0	12006	0	0	0	0	0		1
1086	優爾妲	2	8685	0	12011	0	0	0	0	0		1
1087	蘿西羚羊	2	8686	0	12002	0	0	0	0	0		1
1088	南瓜幽靈	2	8687	0		0	0	0	0	0		1
1089	巫髏水手	2	8688	0		0	0	0	0	0		1
1090	聖誕精靈-溫暖	2	8689	0		0	0	0	0	0		1
1091	聖誕精靈-俏麗	2	8690	0		0	0	0	0	0		1
1092	浪漫情人	2	8691	0		0	0	0	0	0		1
1093	紅粉佳人	2	8692	0		0	0	0	0	0		1
1094	可愛兔子	2	8696	0	12015	0	0	0	0	0		1
