n_ID	n_AMOUNT	n_PETITEM_ID	n_SAILORITEM_ID	n_WEIGHT	n_CHANGETIME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	2	0	2413041	100	300	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	2	0	2800160	150	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	2	2414001	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	2	2414002	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	2	2414006	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	2	2414008	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	2	2414011	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	2	2414015	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	2	2414017	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	2	2414019	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	2	2414022	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	2	2414023	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	2	2414028	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	2	2414029	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	2	2414032	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
16	2	2414034	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	2	2414036	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	2	2414039	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
19	2	2414053	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	2	2414057	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
21	2	2414064	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
22	2	2414066	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
23	2	2414069	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
24	2	2414011	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
25	2	2414019	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
26	2	2414023	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
27	2	2414032	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
28	2	2414036	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
29	2	2414053	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
30	2	2414057	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
31	2	2414066	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
32	2	2414003	2800004	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
101	3	0	2413021	100	600	1.00.0000	1.07.0000	1.07.0000	1.07.0000
102	3	0	2800160	150	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
103	3	2414001	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
104	3	2414002	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	3	2414006	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
106	3	2414008	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
107	3	2414011	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
108	3	2414015	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
109	3	2414017	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
110	3	2414019	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
111	3	2414022	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
112	3	2414023	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
113	3	2414028	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
114	3	2414029	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
115	3	2414032	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
116	3	2414034	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
117	3	2414036	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
118	3	2414039	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
119	3	2414053	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
120	3	2414057	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
121	3	2414064	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
122	3	2414066	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
123	3	2414069	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
124	3	2414011	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
125	3	2414019	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
126	3	2414023	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
127	3	2414032	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
128	3	2414036	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
129	3	2414053	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
130	3	2414057	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
131	3	2414066	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
132	3	2414003	2800004	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
151	3	2414021	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
152	3	2414007	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
153	3	2414061	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
154	3	2414059	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
155	3	2414013	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
156	3	2414030	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
157	3	2414026	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
158	3	2414054	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
159	3	2414009	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
160	3	2414016	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
161	3	2414025	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
162	3	2414063	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
163	3	2414012	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
164	3	2414043	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
165	3	2414033	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
166	3	2414056	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
167	3	2414062	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
168	3	2414040	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
169	3	2414051	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
180	3	2414010	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
181	3	2414004	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
182	3	2414070	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
183	3	2414020	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
184	3	2414005	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
185	3	2414014	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
186	3	2414018	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
187	3	2414024	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
188	3	2414027	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
189	3	2414031	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
190	3	2414035	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
191	3	2414037	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
192	3	2414044	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
193	3	2414046	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
194	3	2414050	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
195	3	2414065	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
201	4	0	2413042	100	1200	1.00.0000	1.07.0000	1.07.0000	1.07.0000
202	4	0	2800160	150	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
203	4	2414001	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
204	4	2414002	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
205	4	2414006	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
206	4	2414008	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
207	4	2414011	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
208	4	2414015	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
209	4	2414017	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
210	4	2414019	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
211	4	2414022	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
212	4	2414023	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
213	4	2414028	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
214	4	2414029	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
215	4	2414032	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
216	4	2414034	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
217	4	2414036	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
218	4	2414039	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
