n_ID	s_SPECIFY_VALUE	n_SPECIFY_TYPE	n_RECORD_NUMBER	n_WEEKLY_REFRESH
1	1004;1105;1191;1278;1374;1471	1	1	0
2		1	1	1
3	1001;1004;1007;1010;1013;1016;1020	2	1	0
4		1	1	1
5		2	5	0
6		1	1	1
7		1	1	1
8		1	1	1
9		1	1	1
10		1	1	0
11		1	1	0
12		1	1	1
13		1	1	1
14		1	1	1
15		1	1	1
16		1	1	1
17		1	1	1
18	2600401;2600402;2600403;2600404;2600405;2600406;2600407;2600408;2600409;2600410;2600411;2600412;2600413;2600414;2600601;2600602;2600603;2600604;2600606;2600607;2601101;2601102;2601103;2601104;2601105;2601106;2601107;2601108;2601109;2601110;2601111;2601112;2601113;2601114;2601115;2601116;2601117;2601118;2601119;2607071;2607072;2607073;2607074;2607075;2607076;2607077;2607078;2607079;2607080;2607081;2607082;2607083;2607084;2607085	2	5	1
19	2600002	1	1	1
20	30;31;32;33;34;35;36;37;501;502;1001;1002;1003;1004;1005;1006;1007;1008;1009	2	5	0
