n_ID	n_AREA	n_EVENT	n_WEIGHT	n_LBOUND_LEVEL	n_UBOUND_LEVEL	n_VARI_1	n_VARI_2	n_VARI_3	s_OUTFIT	s_RANDOMEFFECT	n_QUEST_ID	n_ITEM_ID	n_ELITEMOBGROUP	n_CLINE_TYPE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	126	2	100	30	40	7	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
2	126	2	100	30	40	3	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	126	2	100	40	50	9	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
4	126	2	100	40	50	12	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
5	126	2	100	40	50	13	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
6	126	2	100	50	60	2	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20142	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
7	126	2	100	50	60	4	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20143	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
8	126	2	100	50	60	6	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20142	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
9	126	2	50	50	60	85	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20143	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
10	126	2	100	60	70	5	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
11	126	2	100	60	70	8	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
12	126	2	100	60	70	10	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
13	126	2	100	60	70	14	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
14	126	2	100	60	70	16	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
15	126	2	50	60	70	86	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
16	126	2	100	70	999	11	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
17	126	2	100	70	999	15	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
18	126	2	50	70	999	87	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8000	1.00.0000	1.00.0000	1.07.0000	1.07.0000
19	127	2	100	70	80	17	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20440	8001	1.00.0000	1.00.0000	1.07.0000	1.07.0000
20	127	2	100	70	80	18	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20441	8001	1.00.0000	1.00.0000	1.07.0000	1.07.0000
21	127	2	100	70	80	30	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20440	8001	1.00.0000	1.00.0000	1.07.0000	1.07.0000
22	127	2	100	70	80	31	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20441	8001	1.00.0000	1.00.0000	1.07.0000	1.07.0000
23	127	2	50	70	80	88	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20440	8001	1.00.0000	1.00.0000	1.07.0000	1.07.0000
24	127	2	100	80	90	19	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
25	127	2	100	80	90	20	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
26	127	2	100	80	90	24	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
27	127	2	50	80	90	25	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
28	127	2	100	80	90	28	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
29	127	2	100	80	90	29	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
30	127	2	100	80	90	33	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
31	127	2	100	80	90	34	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
32	127	2	50	80	90	89	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8002	1.00.0000	1.00.0000	1.07.0000	1.07.0000
33	127	2	100	81	90	22	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
34	127	2	100	81	90	23	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
35	127	2	100	81	90	35	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
36	127	2	100	81	90	36	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
37	127	2	100	90	999	21	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
38	127	2	100	90	999	26	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
39	127	2	100	90	999	27	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
40	127	2	100	90	999	32	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8003	1.01.0000	1.01.0000	1.07.0000	1.07.0000
41	128	2	100	92	101	37	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
42	128	2	100	92	101	38	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20445	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
43	128	2	100	92	101	39	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
44	128	2	100	92	101	43	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20445	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
45	128	2	100	92	101	44	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
46	128	2	100	92	101	45	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20445	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
