n_ID	s_NAME	s_ID_ICON	n_SKILLTYPE	n_SERIES	n_SKILLLV	n_BUFF_SAILOR	n_BUFF_PLAYER	n_BUFF_SHIP	n_SKILL_SHIP	n_EQUIP
1	黯淡的光菱	ICON_MISSION_053_000	1	1	1	10001	0	0	0	63
2	微暗的光菱	ICON_MISSION_053_000	1	1	2	10002	0	0	0	63
3	光菱	ICON_MISSION_053_000	1	1	3	10003	0	0	0	63
4	閃亮的光菱	ICON_MISSION_053_000	1	1	4	10004	0	0	0	63
5	刺眼的光菱	ICON_MISSION_053_000	1	1	5	10005	0	0	0	63
6	受傷的邪眼	ICON_MISSION_057_000	1	2	1	10006	0	0	0	63
7	無神的邪眼	ICON_MISSION_057_000	1	2	2	10007	0	0	0	63
8	邪眼	ICON_MISSION_057_000	1	2	3	10008	0	0	0	63
9	凝視的邪眼	ICON_MISSION_057_000	1	2	4	10009	0	0	0	63
10	炯炯有神的邪眼	ICON_MISSION_057_000	1	2	5	10010	0	0	0	63
11	破裂的岩皮	ICON_MISSION_071_000	1	3	1	10011	0	0	0	63
12	低劣的岩皮	ICON_MISSION_071_000	1	3	2	10012	0	0	0	63
13	岩皮	ICON_MISSION_071_000	1	3	3	10013	0	0	0	63
14	紮實的岩皮	ICON_MISSION_071_000	1	3	4	10014	0	0	0	63
15	堅硬的岩皮	ICON_MISSION_071_000	1	3	5	10015	0	0	0	63
16	破裂的水晶骷髏	ICON_MISSION_086_001	1	4	1	10016	0	0	0	63
17	黯淡的水晶骷髏	ICON_MISSION_086_001	1	4	2	10017	0	0	0	63
18	水晶骷髏	ICON_MISSION_086_001	1	4	3	10018	0	0	0	63
19	閃亮的水晶骷髏	ICON_MISSION_086_001	1	4	4	10019	0	0	0	63
20	刺眼的水晶骷髏	ICON_MISSION_086_001	1	4	5	10020	0	0	0	63
21	失效的灰石護符	ICON_MISSION_081_001	1	5	1	10021	0	0	0	63
22	模糊的灰石護符	ICON_MISSION_081_001	1	5	2	10022	0	0	0	63
23	灰石護符	ICON_MISSION_081_001	1	5	3	10023	0	0	0	63
24	清晰的灰石護符	ICON_MISSION_081_001	1	5	4	10024	0	0	0	63
25	強效的灰石護符	ICON_MISSION_081_001	1	5	5	10025	0	0	0	63
26	破裂的龍骨項鍊	ICON_MISSION_088_000	1	6	1	10026	0	0	0	63
27	瑕疵的龍骨項鍊	ICON_MISSION_088_000	1	6	2	10027	0	0	0	63
28	龍骨項鍊	ICON_MISSION_088_000	1	6	3	10028	0	0	0	63
29	堅硬的龍骨項鍊	ICON_MISSION_088_000	1	6	4	10029	0	0	0	63
30	完美的龍骨項鍊	ICON_MISSION_088_000	1	6	5	10030	0	0	0	63
31	駑鈍的獸爪	ICON_MISSION_046_000	1	7	1	10031	0	0	0	63
32	幼獸的獸爪	ICON_MISSION_046_000	1	7	2	10032	0	0	0	63
33	獸爪	ICON_MISSION_046_000	1	7	3	10033	0	0	0	63
34	成熟的獸爪	ICON_MISSION_046_000	1	7	4	10034	0	0	0	63
35	銳利的獸爪	ICON_MISSION_046_000	1	7	5	10035	0	0	0	63
36	駑鈍引導針	ICON_MISSION_012_000	1	8	1	10036	0	0	0	63
37	瑕疵引導針	ICON_MISSION_012_000	1	8	2	10037	0	0	0	63
38	引導針	ICON_MISSION_012_000	1	8	3	10038	0	0	0	63
39	兼任引導針	ICON_MISSION_012_000	1	8	4	10039	0	0	0	63
40	完美引導針	ICON_MISSION_012_000	1	8	5	10040	0	0	0	63
41	裂痕的靜水晶	ICON_MISSION_001_002	1	9	1	10041	0	0	0	63
42	黯淡的靜水晶	ICON_MISSION_001_002	1	9	2	10042	0	0	0	63
43	靜水晶	ICON_MISSION_001_002	1	9	3	10043	0	0	0	63
44	清晰的靜水晶	ICON_MISSION_001_002	1	9	4	10044	0	0	0	63
45	光亮的靜水晶	ICON_MISSION_001_002	1	9	5	10045	0	0	0	63
46	平靜的鬼錘	ICON_MISSION_041_000	1	10	1	10046	0	0	0	63
47	顫動的鬼錘	ICON_MISSION_041_000	1	10	2	10047	0	0	0	63
48	鬼錘	ICON_MISSION_041_000	1	10	3	10048	0	0	0	63
49	低鳴的鬼錘	ICON_MISSION_041_000	1	10	4	10049	0	0	0	63
50	暴虐的鬼錘	ICON_MISSION_041_000	1	10	5	10050	0	0	0	63
51	字數不多的祈禱詩	ICON_MISSION_004_000	1	11	1	10051	0	0	0	63
52	單行的祈禱詩	ICON_MISSION_004_000	1	11	2	10052	0	0	0	63
53	祈禱詩	ICON_MISSION_004_000	1	11	3	10053	0	0	0	63
54	數行的祈禱詩	ICON_MISSION_004_000	1	11	4	10054	0	0	0	63
55	豐富的祈禱詩	ICON_MISSION_004_000	1	11	5	10055	0	0	0	63
56	淨化的邪魅面具	ICON_MISSION_039_000	1	12	1	10056	0	0	0	63
57	衰弱的邪魅面具	ICON_MISSION_039_000	1	12	2	10057	0	0	0	63
58	邪魅面具	ICON_MISSION_039_000	1	12	3	10058	0	0	0	63
59	低鳴的邪魅面具	ICON_MISSION_039_000	1	12	4	10059	0	0	0	63
60	狂笑的邪魅面具	ICON_MISSION_039_000	1	12	5	10060	0	0	0	63
61	無神的校正之眼	ICON_MISSION_057_001	1	13	1	10061	0	0	0	63
62	疲倦的校正之眼	ICON_MISSION_057_001	1	13	2	10062	0	0	0	63
