n_ID	n_COLLECT_CHECK	n_SCENE_ID	s_ICON	n_MESSAGE_ID	n_MAP_X	n_MAP_Y
1	4294967295	1	Icon_Map_Sail	177	151	213
2	4294967295	1	Icon_Map_Shop	178	214	206
3	4294967295	1	Icon_Map_Shop	178	248	161
4	4294967295	1	Icon_Map_Warehouse	179	221	267
5	4294967295	1	Icon_Map_Auction	180	273	224
6	4294967295	1	Icon_Map_Skilllearn	181	267	165
7	4294967295	1	Icon_Map_Instance	182	267	184
8	4294967295	1	Icon_Map_Army	183	290	173
9	4294967295	2	Icon_Map_Sail	177	384	51
11	4294967295	3	Icon_Map_Sail	177	44	70
12	4294967295	3	Icon_Map_Instance	184	341	356
13	4294967295	4	Icon_Map_Sail	177	74	79
14	4294967295	4	Icon_Map_Instance	185	157	40
15	4294967295	5	Icon_Map_Sail	177	297	24
16	4294967295	6	Icon_Map_Sail	177	152	80
17	4294967295	6	Icon_Map_Instance	186	271	139
18	4294967295	7	Icon_Map_Sail	177	26	135
19	4294967295	8	Icon_Map_Sail	177	330	35
20	4294967295	8	Icon_Map_Instance	187	372	325
21	4294967295	9	Icon_Map_Sail	177	183	49
22	4294967295	9	Icon_Map_Sail	177	284	386
23	4294967295	10	Icon_Map_Sail	177	305	20
24	4294967295	10	Icon_Map_Sail	177	51	256
25	4294967295	11	Icon_Map_Sail	177	305	56
26	4294967295	14	Icon_Map_Sail	177	73	51
27	4294967295	14	Icon_Map_Instance	188	224	318
28	4294967295	15	Icon_Map_Sail	177	370	376
29	4294967295	15	Icon_Map_Sail	177	290	129
30	4294967295	12	Icon_Map_Sail	177	50	50
31	4294967295	16	Icon_Map_Sail	177	352	188
32	4294967295	16	Icon_Map_Instance	189	78	287
33	4294967295	1	Icon_Map_CollectMap	190	274	220
34	4294967295	1	Icon_Map_CollectMap	190	278	174
35	4294967295	1	Icon_Map_CollectMap	190	311	86
36	4294967295	1	Icon_Map_CollectMap	190	323	245
37	4294967295	1	Icon_Map_CollectMap	190	226	224
38	201	1	Icon_Map_Chest_red	191	193	244
39	201	1	Icon_Map_Chest_yellow	191	212	272
40	201	1	Icon_Map_Chest_purple	191	244	295
41	4294967295	2	Icon_Map_CollectMap	190	349	74
42	4294967295	2	Icon_Map_CollectMap	190	238	157
43	4294967295	2	Icon_Map_CollectMap	190	92	296
44	4294967295	2	Icon_Map_CollectMap	190	325	273
45	4294967295	2	Icon_Map_CollectMap	190	141	136
46	202	2	Icon_Map_Chest_red	191	177	184
47	202	2	Icon_Map_Chest_yellow	191	221	165
48	202	2	Icon_Map_Chest_purple	191	265	182
49	4294967295	3	Icon_Map_CollectMap	190	164	356
50	4294967295	3	Icon_Map_CollectMap	190	241	294
51	4294967295	3	Icon_Map_CollectMap	190	222	257
52	4294967295	3	Icon_Map_CollectMap	190	366	119
53	4294967295	3	Icon_Map_CollectMap	190	103	333
54	203	3	Icon_Map_Chest_red	191	76	58
55	203	3	Icon_Map_Chest_yellow	191	15	148
56	203	3	Icon_Map_Chest_purple	191	113	144
57	4294967295	4	Icon_Map_CollectMap	190	174	27
58	4294967295	4	Icon_Map_CollectMap	190	130	269
59	4294967295	4	Icon_Map_CollectMap	190	361	180
60	4294967295	4	Icon_Map_CollectMap	190	347	342
61	4294967295	4	Icon_Map_CollectMap	190	208	352
62	204	4	Icon_Map_Chest_red	191	134	13
63	204	4	Icon_Map_Chest_yellow	191	90	30
64	204	4	Icon_Map_Chest_purple	191	106	59
65	4294967295	5	Icon_Map_CollectMap	190	247	137
66	4294967295	5	Icon_Map_CollectMap	190	49	138
67	4294967295	5	Icon_Map_CollectMap	190	119	361
68	4294967295	5	Icon_Map_CollectMap	190	255	346
69	4294967295	5	Icon_Map_CollectMap	190	39	297
70	205	5	Icon_Map_Chest_red	191	293	83
71	205	5	Icon_Map_Chest_yellow	191	226	112
72	205	5	Icon_Map_Chest_purple	191	231	141
73	4294967295	6	Icon_Map_CollectMap	190	200	113
74	4294967295	6	Icon_Map_CollectMap	190	260	252
75	4294967295	6	Icon_Map_CollectMap	190	260	132
76	4294967295	6	Icon_Map_CollectMap	190	134	220
77	4294967295	6	Icon_Map_CollectMap	190	266	222
78	206	6	Icon_Map_Chest_red	191	168	74
79	206	6	Icon_Map_Chest_yellow	191	128	88
80	206	6	Icon_Map_Chest_purple	191	227	130
81	4294967295	7	Icon_Map_CollectMap	190	266	148
82	4294967295	7	Icon_Map_CollectMap	190	178	327
83	4294967295	7	Icon_Map_CollectMap	190	232	302
84	4294967295	7	Icon_Map_CollectMap	190	157	290
85	4294967295	7	Icon_Map_CollectMap	190	20	71
86	207	7	Icon_Map_Chest_red	191	33	203
87	207	7	Icon_Map_Chest_yellow	191	93	280
88	207	7	Icon_Map_Chest_purple	191	93	256
89	4294967295	8	Icon_Map_CollectMap	190	330	123
90	4294967295	8	Icon_Map_CollectMap	190	253	253
91	4294967295	8	Icon_Map_CollectMap	190	256	192
92	4294967295	8	Icon_Map_CollectMap	190	208	367
93	4294967295	8	Icon_Map_CollectMap	190	100	355
94	208	8	Icon_Map_Chest_red	191	298	68
95	208	8	Icon_Map_Chest_yellow	191	249	85
96	208	8	Icon_Map_Chest_purple	191	354	211
97	4294967295	9	Icon_Map_CollectMap	190	245	95
98	4294967295	9	Icon_Map_CollectMap	190	174	324
99	4294967295	9	Icon_Map_CollectMap	190	294	360
100	4294967295	9	Icon_Map_CollectMap	190	187	202
101	4294967295	9	Icon_Map_CollectMap	190	21	333
102	209	9	Icon_Map_Chest_red	191	122	179
103	209	9	Icon_Map_Chest_yellow	191	185	106
104	209	9	Icon_Map_Chest_purple	191	255	142
105	4294967295	10	Icon_Map_CollectMap	190	335	126
106	4294967295	10	Icon_Map_CollectMap	190	304	218
107	4294967295	10	Icon_Map_CollectMap	190	99	359
108	210	10	Icon_Map_Chest_red	191	227	49
109	210	10	Icon_Map_Chest_yellow	191	265	78
110	210	10	Icon_Map_Chest_purple	191	318	76
111	4294967295	11	Icon_Map_CollectMap	190	259	151
112	4294967295	11	Icon_Map_CollectMap	190	97	256
113	4294967295	14	Icon_Map_CollectMap	190	237	331
114	4294967295	14	Icon_Map_CollectMap	190	106	265
115	4294967295	14	Icon_Map_CollectMap	190	176	166
116	4294967295	14	Icon_Map_CollectMap	190	262	138
117	4294967295	14	Icon_Map_CollectMap	190	217	330
118	212	14	Icon_Map_Chest_red	191	284	116
119	212	14	Icon_Map_Chest_yellow	191	184	91
120	212	14	Icon_Map_Chest_purple	191	70	39
121	4294967295	15	Icon_Map_CollectMap	190	286	121
122	4294967295	15	Icon_Map_CollectMap	190	224	244
123	4294967295	15	Icon_Map_CollectMap	190	176	70
124	4294967295	15	Icon_Map_CollectMap	190	28	344
125	4294967295	15	Icon_Map_CollectMap	190	365	288
126	213	15	Icon_Map_Chest_red	191	298	272
127	213	15	Icon_Map_Chest_yellow	191	306	351
128	213	15	Icon_Map_Chest_purple	191	235	382
129	4294967295	12	Icon_Map_CollectMap	190	217	217
130	4294967295	12	Icon_Map_CollectMap	190	353	71
131	4294967295	12	Icon_Map_CollectMap	190	65	285
132	4294967295	12	Icon_Map_CollectMap	190	147	83
133	4294967295	12	Icon_Map_CollectMap	190	76	324
134	211	12	Icon_Map_Chest_red	191	306	75
135	211	12	Icon_Map_Chest_yellow	191	234	183
136	211	12	Icon_Map_Chest_purple	191	254	332
137	4294967295	16	Icon_Map_CollectMap	190	90	279
138	4294967295	16	Icon_Map_CollectMap	190	299	165
139	4294967295	16	Icon_Map_CollectMap	190	198	167
140	4294967295	16	Icon_Map_CollectMap	190	194	345
141	4294967295	16	Icon_Map_CollectMap	190	300	384
142	214	16	Icon_Map_Chest_red	191	276	162
143	214	16	Icon_Map_Chest_yellow	191	223	246
144	214	16	Icon_Map_Chest_purple	191	328	315
145	4294967295	1		192	168	204
146	4294967295	1		193	174	126
147	4294967295	1		194	248	176
148	4294967295	1		195	241	219
149	4294967295	1		196	249	137
150	4294967295	1		197	277	264
151	4294967295	2		198	250	70
152	4294967295	2		199	188	152
153	4294967295	2		200	192	325
154	4294967295	2		201	317	249
155	4294967295	2		202	135	107
156	4294967295	2		203	104	226
157	4294967295	3		204	27	92
158	4294967295	3		205	95	84
159	4294967295	3		206	95	212
160	4294967295	3		207	276	72
161	4294967295	3		208	200	271
162	4294967295	4		209	140	74
163	4294967295	4		210	137	24
164	4294967295	4		211	308	112
165	4294967295	4		212	190	261
166	4294967295	4		213	104	319
167	4294967295	5		214	242	122
168	4294967295	5		215	24	159
169	4294967295	5		216	70	367
170	4294967295	5		217	117	127
171	4294967295	5		218	297	307
172	4294967295	5		219	89	244
173	4294967295	6		220	158	129
174	4294967295	6		221	215	232
175	4294967295	6		222	97	243
176	4294967295	6		223	266	145
177	4294967295	6		224	206	322
178	4294967295	7		225	21	156
179	4294967295	7		226	61	87
180	4294967295	7		227	265	154
181	4294967295	7		228	265	304
182	4294967295	7		229	158	346
183	4294967295	8		230	296	95
184	4294967295	8		231	228	221
185	4294967295	8		232	109	224
186	4294967295	8		233	166	360
187	4294967295	8		234	308	203
188	4294967295	9		235	64	344
189	4294967295	9		236	290	363
190	4294967295	9		237	173	92
191	4294967295	9		238	187	217
192	4294967295	9		239	190	340
193	4294967295	14		240	161	203
194	4294967295	14		241	220	305
195	4294967295	14		242	268	198
196	4294967295	14		243	58	276
197	4294967295	14		244	283	96
198	4294967295	15		245	313	290
199	4294967295	15		246	50	337
200	4294967295	15		247	123	250
201	4294967295	15		248	180	233
202	4294967295	15		249	161	111
203	4294967295	12		250	71	284
204	4294967295	12		251	106	76
205	4294967295	12		252	215	197
206	4294967295	12		253	285	291
207	4294967295	12		254	303	117
208	4294967295	16		255	91	280
209	4294967295	16		256	306	101
210	4294967295	16		257	321	313
211	4294967295	16		258	208	319
212	4294967295	16		259	197	169
213	201	1	Icon_Map_Chest_green	191	275	275
214	201	1	Icon_Map_Chest_blue	191	278	247
215	4294967295	1	Icon_Map_Wine	362	314	109
216	202	2	Icon_Map_Chest_green	191	292	192
217	202	2	Icon_Map_Chest_blue	191	291	76
218	203	3	Icon_Map_Chest_green	191	151	165
219	203	3	Icon_Map_Chest_blue	191	135	226
220	204	4	Icon_Map_Chest_green	191	284	15
221	204	4	Icon_Map_Chest_blue	191	219	102
222	205	5	Icon_Map_Chest_green	191	188	169
223	205	5	Icon_Map_Chest_blue	191	40	195
224	206	6	Icon_Map_Chest_green	191	211	140
225	206	6	Icon_Map_Chest_blue	191	139	224
226	207	7	Icon_Map_Chest_green	191	161	363
227	207	7	Icon_Map_Chest_blue	191	246	154
228	208	8	Icon_Map_Chest_green	191	244	270
229	208	8	Icon_Map_Chest_blue	191	350	329
230	209	9	Icon_Map_Chest_green	191	243	280
231	209	9	Icon_Map_Chest_blue	191	196	292
232	210	10	Icon_Map_Chest_green	191	314	164
233	210	10	Icon_Map_Chest_blue	191	379	168
234	212	14	Icon_Map_Chest_green	191	139	236
235	212	14	Icon_Map_Chest_blue	191	94	235
236	213	15	Icon_Map_Chest_green	191	85	343
237	213	15	Icon_Map_Chest_blue	191	53	355
238	211	12	Icon_Map_Chest_green	191	81	256
239	211	12	Icon_Map_Chest_blue	191	95	97
240	214	16	Icon_Map_Chest_green	191	186	316
241	214	16	Icon_Map_Chest_blue	191	100	181
242	4294967295	1	Icon_Map_Shop	178	232	208
243	4294967295	119		383	124	275
244	4294967295	119		384	98	187
245	4294967295	119		385	180	172
246	4294967295	119		386	221	289
247	4294967295	119		387	188	334
248	4294967295	119		388	176	270
249	4294967295	119		389	228	28
250	4294967295	126		402	253	187
251	4294967295	126		403	99	141
252	4294967295	126		404	167	334
253	4294967295	304		405	132	232
254	4294967295	304		406	232	195
255	4294967295	127		407	266	154
256	4294967295	127		408	141	269
257	4294967295	305		409	252	312
258	4294967295	128		410	127	160
259	4294967295	128		411	272	257
260	4294967295	305		412	194	184
261	4294967295	129		412	131	321
262	4294967295	129		413	257	275
263	4294967295	129		414	286	133
264	4294967295	119	Icon_Map_Wine	418	178	302
265	4294967295	5	Icon_Map_Instance	481	395	45
266	4294967295	126		530	14	11
267	4294967295	304		531	10	9
268	4294967295	127		532	13	14
269	4294967295	305		533	12	10
270	4294967295	128		534	13	12
271	4294967295	129		535	10	13
