n_ID	s_MODLE_ID	s_SCENE_NAME	s_IMAGENAME	n_SCENE_WEATHER	n_SCENE_DAYANDNIGHT	n_SCENE_TYPE	n_SCENE_SUBTYPE	n_CLINE_TYPE	s_SCENE_ICON	s_MUSIC_FILE	n_CANGLIDE	n_CANRIDE	n_LIMIT_HEIGHT	n_SAVE	n_MARKER	n_CAMERA_TYPE	n_COLLECT_MAP	n_SCENE_LV	n_VIDEO_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	BG0001	皇家港	Bg0001_air	5	15	1	0	1	Bg_MapName_Background	Theme	1	1	30000	1	1	1	201	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	BG0002	監獄流放島	Bg0002_air	1	15	2	0	2	Bg_MapName_Background	Scn0002	1	1	30000	1	2	1	202	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	BG0003	香料天堂島	Bg0003_air	4	15	2	0	3	Bg_MapName_Background	Scn0003	1	1	30000	1	3	1	203	25	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	BG0004	奴隸市場島	Bg0004_air	4	6	2	2	4	Bg_MapName_Background	Scn0004	1	1	30000	1	4	1	204	45	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	BG0005	萬惡港	Bg0005_air	6	15	2	2	5	Bg_MapName_Background	Scn0005	1	1	30000	1	5	1	205	60	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	Bg0006	海皇城寨	Bg0006_air	5	8	2	2	6	Bg_MapName_Background	Scn0006	1	1	30000	1	6	1	206	70	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	Bg0007	巫毒島	Bg0007_air	4	15	2	2	7	Bg_MapName_Background	Scn0007	1	1	30000	1	7	1	207	81	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
8	Bg0008	白銀港	Bg0008_air	3	8	2	2	8	Bg_MapName_Background	Scn0008	1	1	30000	1	8	1	208	86	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
9	Bg0009	亡都之海	Bg0009_air	2	8	2	2	9	Bg_MapName_Background	Scn0009	1	1	30000	1	9	1	209	92	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
10	Bg0010	深海聖殿第一層	Bg0010_air	5	8	2	2	10	Bg_MapName_Background	Scn0010	0	1	0	1	10	1	210	92	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
11	Bg0011	深海聖殿第二層	Bg0011_air	5	8	2	2	11	Bg_MapName_Background	Scn0010	0	1	0	1	11	1	0	95	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
14	Bg0015	地獄火山島	Bg0015_air	5	8	2	2	14	Bg_MapName_Background	Scn0015	1	1	30000	1	14	1	212	100	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
17	Bg1001	海上一艘船	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	Bg1002	海上二艘船-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
19	Bg1003	海上二艘船-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	Bg1004	海上二艘船-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
21	Bg1005	海上三艘船-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
22	Bg1006	海上三艘船-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
23	Bg1007	海上三艘船-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
24	Bg1008	空中一艘船	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
25	Bg1009	空中二艘船-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
26	Bg1010	空中三艘船-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
27	Bg1011	空中二艘船-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
28	Bg1012	空中二艘船-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
29	Bg1013	空中三艘船-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
30	Bg1014	空中三艘船-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
