n_ID	n_SCORECOUNT_MODE	s_ICON_KEYEVENT	n_TIP_KEYEVENT	n_MAX_KEYEVENT	n_STANDARD_LASTINGTIME	n_COLLECT_BONUS_SCORE	s_SCORES_DECREASE	n_RANKC_REWARD	n_RANKB_REWARD	n_RANKA_REWARD	n_RANKS_REWARD	n_RANKSS_REWARD	n_RANKSSS_REWARD
97	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
98	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
99	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
100	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
101	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
102	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
103	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
104	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
105	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
106	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
107	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
108	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
109	2		4294967295	4294967295	600	4294967295		2801056	2801057	2801058	2801059	2801060	2801061
110	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
111	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
112	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
113	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
114	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
115	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
116	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
117	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
118	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
119	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
120	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
121	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
122	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
123	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
124	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
125	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
126	2		4294967295	4294967295	600	4294967295		2801068	2801069	2801070	2801071	2801072	2801073
127	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
128	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
129	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
130	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
131	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
132	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
133	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
134	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
135	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
136	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
137	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
138	2		4294967295	4294967295	600	4294967295		2801080	2801081	2801082	2801083	2801084	2801085
139	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
140	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
141	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
142	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
143	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
