n_ID	s_VIDEO	s_VOICE
1	ANGEL_000	VF013_NPC_000;VF013_NPC_001;VF013_NPC_002
2	BISMARCK_000	VF008_NPC_000;VF008_NPC_001;VF008_NPC_002
3	DRAKE_000	VM011_NPC_000;VM011_NPC_001;VM011_NPC_002
6	JASON_000	VM010_NPC_000;VM010_NPC_001;VM010_NPC_002
7	MEDEA_000	VF005_NPC_000
8	MYRINA_000	VF016_NPC_000;VF016_NPC_001;VF016_NPC_002;VF016_NPC_003;VF016_NPC_004
9	NELSON_000	VM009_NPC_000;VM009_NPC_001
10	ODYSSEY_000	VF000_NPC_000;VF000_NPC_001
11	PLATO_000	VF002_NPC_000;VF002_NPC_001;VF002_NPC_002
12	ROLA_000	VF018_NPC_000;VF018_NPC_001
13	ROSE_000	VF006_NPC_000
