n_ID	n_SAILOR	n_MORALIZED	n_SHIP_HP	n_SHIP_BUFF	n_SHIP_VELOCITY	s_OUTFIT	f_SHIP_ROTATE_SPEED	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	0	100	200	520	290	SP_005_000	0.20000000298023224	1.00.0000	1.00.0000	1.08.0000	1.08.0000
2	1	100	1840	520	400	SP_006_000	0.2800000011920929	1.00.0000	1.00.0000	1.08.0000	1.08.0000
3	2	100	1970	520	315	SP_007_000	0.1599999964237213	1.00.0000	1.00.0000	1.08.0000	1.08.0000
4	3	100	1470	520	360	SP_008_000	0.23000000417232513	1.00.0000	1.00.0000	1.08.0000	1.08.0000
5	0	100	545	520	360	SP_009_000	0.30000001192092896	1.00.0000	1.00.0000	1.08.0000	1.08.0000
6	1	100	1365	520	370	SP_010_000	0.23999999463558197	1.00.0000	1.00.0000	1.08.0000	1.08.0000
7	2	100	1455	520	360	SP_011_000	0.25	1.00.0000	1.00.0000	1.08.0000	1.08.0000
8	3	100	2645	520	360	SP_012_000	0.25	1.00.0000	1.00.0000	1.08.0000	1.08.0000
9	0	100	1000	520	370	SP_005_000	0.28999999165534973	1.00.0000	1.00.0000	1.08.0000	1.08.0000
10	1	100	870	520	385	SP_006_000	0.33000001311302185	1.00.0000	1.00.0000	1.08.0000	1.08.0000
11	2	100	2010	520	300	SP_007_000	0.15000000596046448	1.00.0000	1.00.0000	1.08.0000	1.08.0000
12	0	100	385	520	325	SP_005_000	0.25	1.00.0000	1.00.0000	1.08.0000	1.08.0000
13	1	100	1730	520	375	SP_010_000	0.2800000011920929	1.00.0000	1.00.0000	1.08.0000	1.08.0000
14	2	100	2625	520	375	SP_007_000	0.25999999046325684	1.00.0000	1.00.0000	1.08.0000	1.08.0000
101	0	100	1620	520	450	SP_DUCK_000	0.44999998807907104	OUT	1.20.0000	OUT	1.20.0000
102	0	100	1000	520	320	SP_015_000	0.20000000298023224	1.00.0000	1.20.0000	1.20.0100	1.20.0000
103	0	100	1000	520	320	SP_014_000	0.20000000298023224	1.00.0000	1.20.0000	1.20.0100	1.20.0000
