n_ID	n_POSITIVE	n_MAX_STACK	n_STACK_PROPERTIES
1	0	1	2
2	0	1	1
3	0	99	1
4	0	99	0
5	0	5	2
6	1	1	2
7	2	1	1
8	1	1	2
9	1	1	1
10	2	3	2
11	2	1	1
12	2	3	1
13	0	1	1
14	1	1	1
15	1	1	1
16	1	1	1
17	1	1	1
18	1	1	2
19	0	1	1
20	0	1	1
21	2	1	1
22	0	99	1
23	0	99	1
24	0	1	1
25	0	99	1
26	2	3	1
27	0	1	2
28	0	1	1
29	1	5	2
30	2	1	1
31	1	5	2
32	2	1	1
33	1	1	2
34	0	1	1
35	2	1	1
36	2	1	1
37	2	1	1
38	2	1	1
39	2	1	1
40	2	1	1
41	1	1	1
42	1	1	1
43	1	1	1
44	1	1	2
45	0	99	1
46	0	99	1
47	0	99	1
48	0	99	1
49	0	99	1
50	2	1	1
51	1	1	1
52	0	1	2
53	2	1	1
54	1	1	1
55	1	1	1
56	1	1	1
57	2	1	1
58	1	1	2
59	1	1	2
60	1	1	1
61	1	1	1
62	1	1	1
63	1	1	1
64	2	1	2
65	0	99	2
66	2	1	2
67	1	1	1
68	1	1	1
69	1	1	1
70	1	1	1
71	1	4	2
72	1	1	2
73	1	5	1
74	1	1	1
75	0	1	2
120	1	1	1
121	1	1	1
122	1	1	1
123	1	1	1
124	1	1	1
125	1	1	1
126	1	1	1
127	1	1	1
128	1	1	1
129	1	1	1
130	1	1	1
131	1	1	1
132	1	1	1
133	1	1	1
134	1	1	1
135	1	1	1
136	1	1	1
137	1	1	1
138	1	1	1
139	1	1	1
140	1	1	1
141	1	1	1
142	2	1	1
143	2	1	1
144	2	1	1
145	2	1	1
146	2	1	1
147	2	1	1
148	2	1	1
149	2	1	1
150	2	1	1
151	2	1	1
152	2	1	1
153	0	1	1
154	0	1	1
155	0	1	1
156	0	1	1
157	0	1	1
158	0	1	1
159	0	1	1
160	0	1	1
161	0	1	1
162	0	1	1
163	0	99	1
326	0	1	0
500	1	1	1
501	0	1	1
552	1	1	2
554	0	1	2
556	1	1	2
604	2	1	2
605	0	1	2
900	2	1	1
901	2	1	1
976	1	1	2
977	1	1	2
978	1	1	2
979	1	1	2
980	1	1	2
981	1	1	2
982	1	1	2
983	1	1	2
984	1	1	2
985	1	1	2
986	1	1	2
987	1	1	2
988	1	1	2
989	1	1	1
990	1	1	1
991	1	1	1
992	1	1	1
993	1	1	1
994	1	1	1
995	1	1	2
996	1	1	2
997	1	1	2
998	1	1	2
999	0	999	0
1000	0	1	1
1001	0	1	1
1002	0	1	1
1003	0	1	1
1004	0	1	1
3000	1	5	2
3001	2	5	2
3002	0	1	0
3009	2	1	2
3015	2	3	2
3018	2	3	2
3021	2	3	2
3025	2	1	1
3031	2	1	2
3042	2	1	1
3043	2	1	1
3044	2	1	1
3047	2	1	1
3053	2	1	1
3062	0	1	2
3076	0	1	1
3077	0	1	1
3083	0	1	2
3084	0	1	2
3087	0	1	2
3089	0	1	2
3090	0	1	2
3091	2	6	2
3092	2	5	2
4001	2	1	1
4002	2	1	1
4003	0	1	2
4023	2	1	2
4101	1	1	1
4102	1	1	1
4103	1	1	1
4104	2	3	2
4105	1	1	2
4106	0	1	2
4170	2	5	2
4206	1	1	2
4209	2	3	2
4210	2	3	2
4212	2	1	2
4213	2	1	2
4214	2	1	2
4222	0	1	2
4280	0	1	2
4302	0	1	2
4303	1	3	2
4304	1	1	2
4305	2	1	2
4306	2	10	1
4307	2	3	1
4309	2	3	1
4312	1	3	2
4313	0	1	2
4314	1	3	2
4315	2	3	2
4317	1	1	2
4318	1	1	2
4319	0	1	2
4321	2	1	2
4370	1	3	1
4371	1	1	2
4372	1	1	1
4373	1	1	1
4374	1	1	1
4375	1	5	2
4376	0	1	2
4377	1	1	2
4378	2	10	1
4401	2	10	2
4402	0	1	2
4403	1	1	1
4404	0	1	1
4405	0	1	1
4406	1	1	1
4407	1	1	1
4408	0	1	1
4409	1	3	1
4410	2	3	1
4411	0	10	1
4412	0	1	2
4413	0	1	2
4414	1	1	1
4415	1	5	2
4501	1	1	2
4502	0	1	2
4503	2	1	2
4504	2	3	2
4505	2	3	2
4506	2	3	0
4507	1	1	2
4508	2	1	2
4509	1	1	2
4510	1	1	2
4511	1	1	2
4512	1	1	2
4513	0	1	1
4514	2	3	2
4515	0	1	2
4516	2	1	1
4517	0	1	2
4518	0	1	2
4519	0	0	0
4520	1	1	2
4570	0	1	2
5104	1	1	1
5105	1	1	1
5138	0	1	2
5139	0	1	2
5140	0	1	2
5141	0	1	2
5142	0	1	2
5161	1	1	2
7041	0	1	0
7595	0	5	2
8000	2	1	2
8025	0	1	2
8027	1	1	2
8077	0	1	2
8109	0	2	2
8127	0	1	2
8129	0	1	2
8142	1	1	2
8143	0	1	2
8172	0	1	2
8207	0	1	2
8210	0	1	2
8221	0	1	2
8500	0	1	2
8501	0	1	2
8502	0	1	2
8503	0	1	2
8504	0	1	2
8505	0	1	2
8506	1	1	2
8507	1	1	2
8508	2	1	2
8509	1	1	2
8510	1	1	2
8511	1	1	2
8512	1	1	2
8513	1	1	2
8514	1	1	2
8515	1	1	2
8516	1	1	2
8517	1	1	2
8518	1	1	2
8519	1	1	2
8520	1	1	2
8521	1	1	2
8522	1	1	2
8523	2	1	2
8524	1	1	2
8525	2	1	2
8526	1	1	2
8527	1	1	2
8528	1	1	2
8529	1	1	2
8530	1	1	2
8531	1	1	2
8532	1	1	2
8533	1	1	2
8534	1	1	2
8535	1	1	2
