n_ID	n_STATUS	n_EFFECT_RESIDENT	s_NAME	s_STALL_ITEM	n_UI_TEXT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
101	1	0	SELL文字	MAP_STALL_SET_000	1800	OUT	1.07.0000	1.07.0000	1.07.0000
102	1	2501	賽蓮	MAP_STALL_SET_001	1801	OUT	1.07.0000	1.07.0000	1.07.0000
103	1	2502	奧德賽	MAP_STALL_SET_002	1802	OUT	1.07.0000	1.07.0000	1.07.0000
104	1	2503	柏拉圖	MAP_STALL_SET_003	1803	OUT	1.07.0000	1.07.0000	1.07.0000
105	1	2504	美狄亞	MAP_STALL_SET_004	1804	OUT	1.07.0000	1.07.0000	1.07.0000
106	1	2505	蘿絲瑪莉	MAP_STALL_SET_005	1805	OUT	1.07.0000	1.07.0000	1.07.0000
107	1	2506	安潔莉娜(公主)	MAP_STALL_SET_006	1806	OUT	1.07.0000	1.07.0000	1.07.0000
108	1	2507	安潔莉娜(海盜)	MAP_STALL_SET_007	1807	OUT	1.07.0000	1.07.0000	1.07.0000
109	1	2508	哥倫布	MAP_STALL_SET_008	1808	OUT	1.07.0000	1.07.0000	1.07.0000
110	1	2509	山本五十六	MAP_STALL_SET_009	1809	OUT	1.07.0000	1.07.0000	1.07.0000
111	1	2510	蘿辣	MAP_STALL_SET_010	1810	OUT	1.07.0000	1.07.0000	1.07.0000
