n_ID	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
1	337	16	100	5	600	5	5	5	5	5	25	25	17	17	3	3	5	5	3	3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	13.0	100.0	100.0
2	351	17	100	5	600	5	5	5	5	5	26	26	18	18	4	4	5	5	4	4	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	14.0	100.0	100.0
3	373	18	100	5	600	5	5	5	5	5	28	28	19	19	4	4	6	6	4	4	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	15.0	100.0	100.0
4	403	20	100	5	600	6	6	6	6	6	30	30	21	21	5	5	6	6	5	5	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	16.0	100.0	100.0
5	439	21	100	5	600	6	6	6	6	6	33	33	23	23	5	5	7	7	5	5	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	18.0	100.0	100.0
6	483	24	100	5	600	7	7	7	7	7	36	36	25	25	5	5	8	8	5	5	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	20.0	100.0	100.0
7	534	26	100	5	600	8	8	8	8	8	40	40	28	28	6	6	9	9	6	6	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	22.0	100.0	100.0
8	593	29	100	5	600	8	8	8	8	8	44	44	31	31	6	6	10	10	6	6	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	24.0	100.0	100.0
9	659	32	100	5	600	9	9	9	9	9	49	49	34	34	7	7	11	11	7	7	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	27.0	100.0	100.0
10	732	36	100	5	600	11	11	11	11	11	55	55	38	38	7	7	12	12	7	7	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	30.0	100.0	100.0
11	812	40	100	5	600	12	12	12	12	12	61	61	43	43	8	8	14	14	8	8	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	34.0	100.0	100.0
12	900	45	100	5	600	13	13	13	13	13	68	68	47	47	9	9	15	15	9	9	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	37.0	100.0	100.0
13	995	49	100	5	600	15	15	15	15	15	75	75	52	52	10	10	17	17	10	10	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	41.0	100.0	100.0
14	1098	54	100	5	600	16	16	16	16	16	83	83	58	58	10	10	19	19	10	10	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	46.0	100.0	100.0
15	1208	60	100	5	600	18	18	18	18	18	91	91	64	64	11	11	21	21	11	11	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	51.0	100.0	100.0
16	1325	66	100	5	600	20	20	20	20	20	100	100	70	70	12	12	23	23	12	12	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	56.0	100.0	100.0
17	1449	72	100	5	600	21	21	21	21	21	109	109	76	76	13	13	25	25	13	13	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	61.0	100.0	100.0
18	1581	79	100	5	600	23	23	23	23	23	119	119	83	83	14	14	27	27	14	14	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	66.0	100.0	100.0
19	1720	86	100	5	600	26	26	26	26	26	130	130	91	91	16	16	30	30	16	16	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	72.0	100.0	100.0
20	1866	93	100	5	600	28	28	28	28	28	141	141	98	98	17	17	32	32	17	17	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	78.0	100.0	100.0
21	2020	101	100	5	600	30	30	30	30	30	153	153	107	107	18	18	35	35	18	18	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	85.0	100.0	100.0
22	2181	109	100	5	600	33	33	33	33	33	165	165	115	115	20	20	37	37	20	20	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	92.0	100.0	100.0
23	2349	117	100	5	600	35	35	35	35	35	178	178	124	124	21	21	40	40	21	21	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	99.0	100.0	100.0
24	2525	126	100	5	600	38	38	38	38	38	191	191	133	133	23	23	43	43	23	23	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	106.0	100.0	100.0
25	2708	135	100	5	600	41	41	41	41	41	205	205	143	143	25	25	47	47	25	25	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	114.0	100.0	100.0
26	2898	144	100	5	600	43	43	43	43	43	219	219	153	153	26	26	50	50	26	26	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	122.0	100.0	100.0
27	3096	154	100	5	600	46	46	46	46	46	234	234	164	164	29	29	54	54	29	29	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	131.0	100.0	100.0
28	3301	165	100	5	600	50	50	50	50	50	250	250	175	175	31	31	57	57	31	31	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	140.0	100.0	100.0
29	3513	175	100	5	600	53	53	53	53	53	266	266	186	186	33	33	61	61	33	33	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	149.0	100.0	100.0
30	3732	186	100	5	600	56	56	56	56	56	282	282	197	197	36	36	65	65	36	36	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	158.0	100.0	100.0
31	3959	197	100	5	600	59	59	59	59	59	299	299	209	209	38	38	68	68	38	38	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	167.0	100.0	100.0
32	4193	209	100	5	600	63	63	63	63	63	317	317	222	222	41	41	73	73	41	41	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	177.0	100.0	100.0
33	4435	221	100	5	600	67	67	67	67	67	336	336	235	235	44	44	77	77	44	44	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	188.0	100.0	100.0
34	4684	234	100	5	600	70	70	70	70	70	354	354	248	248	47	47	81	81	47	47	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	198.0	100.0	100.0
35	4940	247	100	5	600	74	74	74	74	74	374	374	261	261	50	50	86	86	50	50	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	209.0	100.0	100.0
36	5203	260	100	5	600	78	78	78	78	78	394	394	275	275	53	53	90	90	53	53	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	220.0	100.0	100.0
37	5474	273	100	5	600	82	82	82	82	82	414	414	290	290	57	57	95	95	57	57	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	232.0	100.0	100.0
38	5752	287	100	5	600	87	87	87	87	87	435	435	305	305	61	61	100	100	61	61	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	244.0	100.0	100.0
39	6037	301	100	5	600	91	91	91	91	91	457	457	320	320	65	65	105	105	65	65	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	256.0	100.0	100.0
40	6330	316	100	5	600	95	95	95	95	95	479	479	335	335	70	70	110	110	70	70	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	268.0	100.0	100.0
