n_ID	n_QUEST_CASH	n_QUEST_EXP	n_QUEST_SP
1	2	90	45
2	4	120	60
3	6	150	75
4	8	180	90
5	10	210	105
6	12	240	120
7	14	270	135
8	16	300	150
9	18	330	165
10	20	375	187
11	22	490	245
12	24	542	271
13	26	595	297
14	28	647	323
15	30	700	350
16	32	880	440
17	34	960	480
18	36	1040	520
19	38	1120	560
20	40	1200	600
21	42	4320	2160
22	44	4590	2295
23	46	4860	2430
24	48	5130	2565
25	50	5400	2700
26	52	6300	3150
27	54	6675	3337
28	56	7050	3525
29	58	7425	3712
30	60	10400	5200
31	62	10900	5450
32	64	11400	5700
33	66	11900	5950
34	68	12400	6200
35	70	12900	6450
36	72	13400	6700
37	74	14000	7000
38	76	14600	7300
39	78	15200	7600
40	80	15800	7900
41	82	16400	8200
42	84	17100	8550
43	86	22250	11125
44	88	23125	11562
45	90	24000	12000
46	92	24875	12437
47	94	25875	12937
48	96	26875	13437
49	98	27875	13937
50	100	28875	14437
51	102	29875	14937
52	104	31000	15500
53	106	32125	16062
54	108	33250	16625
55	110	34375	17187
56	112	35500	17750
57	114	36750	18375
58	116	45600	22800
59	118	47100	23550
60	120	48600	24300
61	122	50100	25050
62	124	52050	26025
63	126	54000	27000
64	128	56100	28050
65	130	58200	29100
66	132	60450	30225
67	134	62850	31425
68	136	65250	32625
69	138	67800	33900
70	140	70500	35250
71	142	73200	36600
72	144	76050	38025
73	146	79050	39525
74	148	82200	41100
75	150	85350	42675
76	152	88650	44325
77	154	92100	46050
78	156	95700	47850
79	158	99450	49725
80	160	103350	51675
81	162	107250	53625
82	164	111300	55650
83	166	115500	57750
84	168	119850	59925
85	170	124350	62175
86	172	129000	64500
87	174	133800	66900
88	176	138750	69375
89	178	144000	72000
90	180	149400	74700
91	182	154950	77475
92	184	160800	80400
93	186	166800	83400
94	188	173100	86550
95	190	179550	89775
96	192	186300	93150
97	194	193350	96675
98	196	200550	100275
99	198	208050	104025
100	200	215400	107700
101	202	223050	111525
102	204	269500	134750
103	206	279125	139562
104	208	289100	144550
105	210	299425	149712
106	212	310100	155050
107	214	321125	160562
108	216	332675	166337
109	218	344575	172287
110	220	407800	203900
111	222	421600	210800
112	224	435800	217900
113	226	450600	225300
114	228	465800	232900
115	230	481600	240800
116	232	497800	248900
117	234	514600	257300
118	236	532000	266000
119	238	550000	275000
120	240	568600	284300
121	242	587800	293900
122	244	607600	303800
123	246	628000	314000
124	248	649000	324500
125	250	670600	335300
126	252	692800	346400
127	254	715600	357800
128	256	739000	369500
129	258	763000	381500
130	260	787600	393800
131	262	812800	406400
132	264	838800	419400
133	266	865600	432800
134	268	893200	446600
135	270	921600	460800
136	272	950800	475400
137	274	980800	490400
138	276	1011600	505800
139	278	1043200	521600
140	280	1075600	537800
141	282	1109000	554500
142	284	1143400	571700
143	286	1178800	589400
144	288	1215200	607600
145	290	1252600	626300
146	292	1291000	645500
147	294	1330400	665200
148	296	1371000	685500
149	298	1412800	706400
150	300	1455800	727900
151	302	1500000	750000
152	304	1545400	772700
153	306	1592000	796000
154	308	1640000	820000
155	310	1689400	844700
156	312	1740200	870100
157	314	1792400	896200
158	316	1846000	923000
159	318	1901200	950600
160	320	1958000	979000
161	322	2016400	1008200
162	324	2076400	1038200
163	326	2138000	1069000
164	328	2201400	1100700
165	330	2266600	1133300
166	332	2333600	1166800
167	334	2402400	1201200
168	336	2473200	1236600
169	338	2546000	1273000
170	340	2620800	1310400
171	342	2697600	1348800
172	344	2776600	1388300
173	346	2857800	1428900
174	348	2941200	1470600
175	350	3027000	1513500
176	352	3115200	1557600
177	354	3205800	1602900
178	356	3299000	1649500
179	358	3394800	1697400
180	360	3493200	1746600
181	362	3594400	1797200
182	364	3698400	1849200
183	366	3805400	1902700
184	368	3915400	1957700
185	370	4028400	2014200
186	372	4144600	2072300
187	374	4264000	2132000
188	376	4386800	2193400
189	378	4513000	2256500
190	380	4642800	2321400
191	382	4776200	2388100
192	384	4913400	2456700
193	386	5054400	2527200
194	388	5199400	2599700
195	390	5348400	2674200
196	392	5501600	2750800
197	394	5659000	2829500
198	396	5820800	2910400
199	398	5987200	2993600
200	400	6158200	3079100
201	402	6334000	3167000
202	404	6514800	3257400
203	406	6700600	3350300
204	408	6891600	3445800
205	410	7088000	3544000
206	412	7289800	3644900
207	414	7497200	3748600
208	416	7710400	3855200
209	418	7929600	3964800
210	420	8155000	4077500
211	422	8386800	4193400
212	424	8625000	4312500
213	426	8869800	4434900
214	428	9121400	4560700
215	430	9380000	4690000
216	432	9645800	4822900
217	434	9919000	4959500
218	436	10199800	5099900
219	438	10488400	5244200
220	440	10785000	5392500
221	442	11089800	5544900
222	444	11403200	5701600
223	446	11725400	5862700
224	448	12056600	6028300
225	450	12397000	6198500
226	452	12747000	6373500
227	454	13106800	6553400
228	456	13476600	6738300
229	458	13856800	6928400
230	460	14247600	7123800
231	462	14649400	7324700
232	464	15062400	7531200
233	466	15487000	7743500
234	468	15923400	7961700
235	470	16372000	8186000
236	472	16833200	8416600
237	474	17307200	8653600
238	476	17794400	8897200
239	478	18295200	9147600
240	480	18810000	9405000
241	482	19339200	9669600
242	484	19883200	9941600
243	486	20442400	10221200
244	488	21017200	10508600
245	490	21608000	10804000
246	492	22215400	11107700
247	494	22839800	11419900
248	496	23481600	11740800
249	498	24141400	12070700
250	500	24819600	12409800
251	502	25516800	12758400
252	504	26233400	13116700
253	506	26970000	13485000
254	508	27727200	13863600
255	510	28505600	14252800
