n_ID	n_MOBEXP	n_SP	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
1	6	3	106	1	100	5	600	5	5	5	5	5	4	4	0	0	10	10	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
2	8	4	121	1	100	5	600	6	6	6	6	6	7	7	1	1	12	12	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
3	10	5	140	1	100	5	600	7	7	7	7	7	8	8	1	1	13	13	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
4	12	6	163	1	100	5	600	8	8	8	8	8	8	8	1	1	14	14	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
5	14	7	191	1	100	5	600	9	9	9	9	9	9	9	1	1	15	15	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
6	16	8	222	2	100	5	600	10	10	10	10	10	11	11	1	1	16	16	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
7	18	9	262	2	100	5	600	11	11	11	11	11	12	12	1	1	18	18	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
8	20	10	306	3	100	5	600	12	12	12	12	12	14	14	2	2	19	19	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
9	22	11	357	3	100	5	600	13	13	13	13	13	16	16	2	2	21	21	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
10	25	12	421	4	100	5	600	14	14	14	14	14	19	19	2	2	22	22	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
11	28	14	497	4	100	5	600	16	16	16	16	16	21	21	3	3	24	24	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
12	31	15	583	5	100	5	600	18	18	18	18	18	24	24	3	3	26	26	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
13	34	17	678	6	100	5	600	20	20	20	20	20	27	27	4	4	29	29	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
14	37	18	792	7	100	5	600	22	22	22	22	22	31	31	4	4	31	31	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
15	40	20	915	8	100	5	600	24	24	24	24	24	35	35	5	5	34	34	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
16	44	22	1054	9	100	5	600	26	26	26	26	26	39	39	5	5	37	37	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
17	48	24	1201	11	100	5	600	28	28	28	28	28	44	44	6	6	40	40	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
18	52	26	1372	12	100	5	600	30	30	30	30	30	49	49	7	7	43	43	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
19	56	28	1569	14	100	5	600	32	32	32	32	32	55	55	8	8	47	47	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
20	60	30	1771	16	100	5	600	34	34	34	34	34	76	76	11	11	50	50	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	100.0
21	64	32	2007	18	100	5	600	37	37	37	37	37	84	84	12	12	54	54	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	6.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	100.0
22	68	34	2251	20	100	5	600	40	40	40	40	40	93	93	13	13	59	59	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	6.5	0.0	1.100000023841858	1.100000023841858	1.0	0.0	0.0	0.0	100.0
23	72	36	2525	22	100	5	600	43	43	43	43	43	102	102	15	15	63	63	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	7.0	0.0	1.2000000476837158	1.2000000476837158	1.0	0.0	0.0	0.0	100.0
24	76	38	2814	24	100	5	600	46	46	46	46	46	113	113	16	16	68	68	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	7.5	0.0	1.2999999523162842	1.2999999523162842	1.0	0.0	0.0	0.0	100.0
25	80	40	3138	27	100	5	600	49	49	49	49	49	124	124	18	18	74	74	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	8.0	0.0	1.399999976158142	1.399999976158142	1.0	0.0	0.0	0.0	100.0
26	84	42	3478	29	100	5	600	52	52	52	52	52	134	134	20	20	79	79	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	8.5	0.0	1.5	1.5	1.0	0.0	0.0	0.0	100.0
27	89	44	3857	32	100	5	600	55	55	55	55	55	144	144	21	21	86	86	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	9.0	0.0	1.600000023841858	1.600000023841858	1.0	0.0	0.0	0.0	100.0
28	94	47	4265	36	100	5	600	58	58	58	58	58	155	155	23	23	92	92	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	9.5	0.0	1.7000000476837158	1.7000000476837158	1.0	0.0	0.0	0.0	100.0
29	99	49	4694	39	100	5	600	61	61	61	61	61	167	167	25	25	100	100	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	10.0	0.0	1.7999999523162842	1.7999999523162842	1.0	0.0	0.0	0.0	100.0
30	104	52	5143	42	100	5	600	64	64	64	64	64	179	179	26	26	107	107	0	0	0	0	0.5	0.5	0.5	0.5	0.0	0.0	10.5	0.0	1.899999976158142	1.899999976158142	1.0	0.0	0.0	0.0	100.0
31	109	54	5636	46	100	5	600	68	68	68	68	68	192	192	28	28	115	115	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	11.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	100.0
32	114	57	6174	50	100	5	600	72	72	72	72	72	205	205	30	30	123	123	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	11.5	0.0	2.0999999046325684	2.0999999046325684	1.0	0.0	0.0	0.0	100.0
