n_ID	n_ID_STORE	n_ITEMID	s_QUANTITY	n_TYPE	n_VALUE_X	n_VALUE_Y	n_VALUE_Z
1	1	2600513	2;1	1	5	60	0
2	1	2600514	2;1	1	10	300	0
3	1	2600044	2;1	1	8	60	0
4	1	2600045	2;3	1	8	60	0
5	1	2600046	2;3	1	8	60	0
6	1	2600701	2;10	1	10	60	0
7	1	2401451	2;1	1	12	90	0
9	1	2410094	1;1	1	10	4000	0
10	1	2410095	1;1	1	10	4000	0
11	1	2410096	1;1	1	10	4000	0
12	1	2410067	1;1	1	15	5000	0
13	1	2410068	1;1	1	15	5000	0
14	1	2410069	1;1	1	15	5000	0
15	1	2410109	1;1	1	15	6000	0
16	1	2410110	1;1	1	15	6000	0
17	1	2410111	1;1	1	15	6000	0
18	1	2410160	1;1	1	20	7000	0
19	1	2410161	1;1	1	20	7000	0
20	1	2410162	1;1	1	20	7000	0
21	1	2410124	1;1	1	20	9000	0
22	1	2410125	1;1	1	20	9000	0
23	1	2410126	1;1	1	20	9000	0
101	2	2400501	2;5	2	360	0	0
102	2	2400502	2;5	2	1260	0	0
103	2	2400503	2;5	2	3960	0	0
104	2	2400504	2;5	2	8460	0	0
105	2	2400505	2;5	2	15660	0	0
106	2	2400507	2;5	2	360	0	0
107	2	2400508	2;5	2	1260	0	0
108	2	2400509	2;5	2	3960	0	0
109	2	2400510	2;5	2	8460	0	0
110	2	2400511	2;5	2	15660	0	0
111	2	2400513	2;5	2	360	0	0
112	2	2400514	2;5	2	1260	0	0
113	2	2400515	2;5	2	3960	0	0
114	2	2400516	2;5	2	8460	0	0
115	2	2400517	2;5	2	15660	0	0
201	3	2600057	2;1	2	360	0	0
202	3	2600058	2;1	2	1260	0	0
203	3	2600059	2;1	2	3960	0	0
204	3	2600060	2;1	2	8460	0	0
301	4	2401022	2;1	0	0	0	0
302	4	2208981	2;1	0	0	0	0
303	4	2208982	2;1	0	0	0	0
304	4	2401021	2;1	0	0	0	0
305	4	2600019	2;1	0	0	0	0
306	4	2400815	2;1	0	0	0	0
307	4	2400817	2;1	0	0	0	0
308	4	2400818	2;1	0	0	0	0
309	4	2400819	2;1	0	0	0	0
310	4	2400816	2;1	0	0	0	0
9001	9001	2200013	1;2	0	0	0	0
9002	9001	2200014	2;5	1	2	15	0
9003	9001	2200015	2;5	0	0	0	0
9004	9001	2600003		0	0	0	0
