n_ID	n_ID_STORE	n_ID_ITEM	s_QUANTITY	n_ID_GOOD1	n_Q_GOOD1	n_ID_GOOD2	n_Q_GOOD2	n_ID_GOOD3	n_Q_GOOD3	n_ID_GOOD4	n_Q_GOOD4	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	2401001		2601201	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
2	1	2401002		2601202	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	1	2401003		2601203	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
4	1	2401004		2601204	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
5	1	2401005		2601205	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
6	1	2401101		2601226	5	2601201	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
7	1	2401102		2601227	5	2601202	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
8	1	2401103		2601228	5	2601203	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
9	1	2401104		2601229	5	2601204	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
10	1	2401105		2601230	5	2601205	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
11	1	2401201		2601226	5	2601201	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
12	1	2401202		2601227	5	2601202	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
13	1	2401203		2601228	5	2601203	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
14	1	2401204		2601229	5	2601204	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
15	1	2401205		2601230	5	2601205	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
16	1	2400551		2601201	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
17	1	2400561		2601201	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
18	1	2400571		2601201	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
19	1	2400552		2601202	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
20	1	2400562		2601202	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
21	1	2400572		2601202	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
22	1	2400553		2601203	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
23	1	2400563		2601203	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
24	1	2400573		2601203	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
25	1	2400554		2601204	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
26	1	2400564		2601204	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
27	1	2400574		2601204	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
28	1	2400555		2601205	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
29	1	2400565		2601205	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
30	1	2400575		2601205	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
31	1	2406971		2601226	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
