n_ID	n_ID_STORE	n_ID_ITEM1	n_ID_ITEM2	n_ID_ITEM3	n_ID_ITEM4	n_ID_ITEM5	n_ID_ITEM6	n_ID_ITEM7	n_ID_ITEM8	n_ID_ITEM9	n_ID_ITEM10	n_ID_ITEM11	n_ID_ITEM12	n_ID_ITEM13	n_ID_ITEM14	n_ID_ITEM15	n_ID_ITEM16	n_ID_ITEM17	n_ID_ITEM18	n_ID_ITEM19	n_ID_ITEM20	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	2400084	2401024	2401025	2401026	2401027	2401028	2400901	2401014	2400061	2400036	2400037	2400038	2400042	2401501	2600001	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
2	2	2401020	2208997	2208998	2401019	2600018	2400803	2400808	2400809	2400810	2400807	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
3	3	2503005	2503006	2503007	2503008	2503009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
4	4	2405101	2405104	2405107	2405110	2405102	2405105	2405108	2405111	2405103	2405106	2405109	2405112	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
5	5	2200009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
6	6	2200210	2200410	2200610	2200810	2201010	2201210	2200211	2200411	2200611	2200811	2201011	2201211	2200212	2200412	2200612	2200812	2201012	2201212	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
7	7	2400007	2400017	2600191	2600192	2600193	2600194	2600195	2600196	0	0	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
8	8	2401041	2401042	2401043	2401044	2401045	2401046	2401047	2401048	2401049	2401050	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
101	101	2400401	2400402	2400403	2400404	2400405	2400406	0	0	0	2401501	2401502	2401503	2401504	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
102	102	0	2400434	2400435	2400437	2400438	2400439	0	0	0	2400443	2400444	2400445	2400446	0	0	2400449	2400450	2400451	2400452	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
201	201	2401278	2401279	2401280	2401281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
301	301	2410016	2410017	2410018	2410022	2410023	2410024	2410031	2410032	2410033	2410064	2410065	2410066	2410091	2410092	2410093	2410163	2410164	2410165	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
9901	9901	2206003	2206004	2206005	2206006	2206007	2206008	2206009	2600044	2600045	2600046	0	0	0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
