n_ID	n_TYPE	n_ALLOTPOINT	n_ALLNOT_SHOW	n_ITEM1	n_ITEM2	n_ITEM3	n_ITEM4	n_ITEM5	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	15	0	2300001	2300002	2300003	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	1	15	0	2300013	2300014	2300015	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	1	15	0	2300025	2300026	2300027	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	1	15	0	2300037	2300038	2300039	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	1	15	0	2300082	2300083	2300084	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	1	15	0	2300004	2300005	2300006	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	1	15	0	2300019	2300020	2300021	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	1	15	0	2300028	2300029	2300030	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	1	15	0	2300040	2300041	2300042	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	1	15	0	2300085	2300086	2300087	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
51	1	15	0	2300239	2300240	2300241	0	0	OUT	1.07.0000	1.08.0000	1.08.0000
52	1	15	0	2300242	2300243	2300244	0	0	OUT	1.08.0000	1.08.0000	1.08.0000
101	1	15	0	2300049	2300050	2300051	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
102	1	15	0	2300064	2300065	2300066	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
103	1	15	0	2300097	2300098	2300099	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
104	1	15	0	2300121	2300122	2300123	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	1	15	0	2300112	2300113	2300114	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
201	1	15	0	2300073	2300074	2300075	0	0	OUT	1.08.0000	1.08.0000	1.08.0000
202	1	15	0	2300076	2300077	2300078	0	0	OUT	1.08.0000	1.08.0000	1.08.0000
203	1	15	0	2300079	2300080	2300081	0	0	OUT	1.08.0000	1.08.0000	1.08.0000
301	1	15	0	2300091	2300092	2300093	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
302	1	15	0	2300007	2300008	2300009	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
303	1	15	0	2300046	2300047	2300048	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
304	1	15	0	2300106	2300107	2300108	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
305	1	15	0	2300016	2300017	2300018	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
501	1	15	0	2300052	2300053	2300054	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
502	1	15	0	2300115	2300116	2300117	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
503	1	15	0	2300230	2300231	2300232	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
504	1	15	0	2300236	2300237	2300238	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
505	1	15	0	2300034	2300035	2300036	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
701	1	15	0	2300010	2300011	2300012	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
702	1	15	0	2300022	2300023	2300024	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
703	1	15	0	2300031	2300032	2300033	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
704	1	15	0	2300043	2300044	2300045	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
705	1	15	0	2300088	2300089	2300090	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
801	1	15	0	2300070	2300071	2300072	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
802	1	15	0	2300118	2300119	2300120	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
901	1	15	0	2300067	2300068	2300069	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
902	1	15	0	2300094	2300095	2300096	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
903	1	15	0	2300109	2300110	2300111	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
904	1	15	0	2300233	2300234	2300235	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
905	1	15	0	2300124	2300125	2300126	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1001	1	0	0	2300127	2300128	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1002	1	0	0	2300129	2300130	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1004	1	0	0	2300134	2300135	2300136	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1005	1	0	0	2300143	2300144	2300145	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1006	1	0	0	2300146	2300147	2300148	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1007	1	0	0	2300137	2300138	2300139	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
1008	1	0	0	2300149	2300150	2300151	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
1010	1	0	0	2300140	2300141	2300142	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1011	1	0	0	2300131	2300132	2300133	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
1012	1	0	0	2300158	2300159	2300160	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
1013	1	0	0	2300161	2300162	2300219	0	0	1.06.0000	1.06.0000	1.07.0000	1.07.0000
1014	1	0	0	2300207	2300208	2300209	0	0	OUT	1.08.0000	1.08.0000	1.08.0000
1015	1	0	0	2300213	2300214	2300215	0	0	OUT	1.08.0000	1.08.0000	1.08.0000
1020	1	0	0	0	2300276	2300277	0	0	OUT	OUT	OUT	1.31.0000
1021	1	0	0	0	2300279	0	0	0	OUT	OUT	OUT	1.31.0000
1031	1	0	0	2303001	2303002	0	0	0	OUT	1.00.0000	1.10.0000	1.20.0000
1032	1	0	0	2303004	2303005	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
1033	1	0	0	2303006	2303007	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
1034	1	0	0	2303008	2303009	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
1051	1	0	0	2300220	2300221	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
1052	1	0	0	2300222	2300223	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
1053	1	0	0	2300224	2300225	2300226	0	0	1.13.0000	1.07.0000	1.07.0000	1.07.0000
1054	1	0	0	2300227	2300228	2300229	0	0	1.13.0000	1.07.0000	1.07.0000	1.07.0000
2501	1	15	0	2302001	2302002	2302003	2302004	2302005	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2502	1	15	0	2302201	2302202	2302203	2302204	2302205	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2601	1	0	0	2302501	2302502	2302503	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
3001	2	50	0	2606101	2606007	2606043	2606021	2606044	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3002	2	50	0	2606002	2606004	2606030	2606024	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3501	2	0	0	2606033	2606034	2606035	2606045	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3502	2	0	0	2606046	0	0	0	0	OUT	1.20.0000	OUT	1.20.0000
3503	2	0	0	2606201	2606999	0	0	0	OUT	1.40.0000	1.40.0000	1.40.0000
4001	3	15	0	2607002	2607022	2607028	2607034	2607064	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4002	3	15	0	2607008	2607015	2607017	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4003	3	15	0	2607019	2607029	2607039	2607069	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4004	3	15	0	2607032	2607036	2607053	2607057	2607066	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4005	3	15	0	2607001	2607006	2607011	2607023	2607035	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4006	3	15	0	2607007	2607021	2607051	2607059	2607061	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4007	3	15	0	2607016	2607030	2607054	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4008	3	15	0	2607009	2607013	2607026	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4009	3	15	0	2607003	2607025	2607043	2607063	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4010	3	15	0	2607012	2607033	2607056	2607062	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4011	3	15	0	2607004	2607010	2607020	2607070	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4012	3	15	0	2607044	2607046	2607065	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4013	3	15	0	2607014	2607018	2607024	2607031	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4014	3	15	0	2607005	2607027	2607037	2607050	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4015	3	15	0	2607040	2607055	2607060	2607067	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4016	3	15	0	2607038	2607045	2607052	2607058	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4017	3	15	0	2607041	2607047	2607048	2607049	2607068	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4501	3	15	0	2607071	2607072	2607073	2607074	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4502	3	15	0	2607075	2607076	2607077	2607078	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4503	3	15	0	2607079	2607080	2607081	2607082	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4504	3	15	0	2607083	2607084	2607085	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4801	3	15	0	2607042	2607086	2607087	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4901	3	0	0	2607088	2607089	2607090	2607091	0	1.06.0000	1.06.0000	1.07.0000	1.07.0000
4902	3	0	0	2607092	2607093	0	0	0	1.13.0000	1.07.0000	1.07.0000	1.07.0000
5001	4	100	0	2608001	2608006	2608012	2608005	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5501	4	0	0	2608013	2608002	2608010	2608003	0	1.06.0000	1.06.0000	1.07.0000	1.07.0000
5901	4	0	0	2608014	0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
6001	5	0	0	2302703	2302700	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
