n_ID	n_UI_MESSAGE_ID	n_LEFTBUTTON_ID	n_RIGHTBUTTON_ID	n_SECONDS_PROGESSBAR	n_PRIORITY	n_CONTROL	s_WINDOWSIZE
1	770	1	2	30	2	3	
2	393	5	6	120	2	3	
3	138	1	2	30	2	3	
4	846	1	2	20	2	3	
5	592	1	2	0	3	3	260;140
6	589	1	2	30	2	3	
7	146	1	2	60	2	3	
8	275	1	2	60	2	3	
9	155	1	2	60	2	3	
10	252	1	2	60	2	3	
11	167	1	2	30	2	3	
12	716	1	2	30	2	3	
13	148	1	2	30	2	3	
14	912	1	2	0	2	3	300;150
16	915	1	2	0	2	3	260;140
17	633	1	2	0	2	3	260;140
19	1078	1	2	0	2	3	
20	1131	1	2	0	2	3	
21	1132	1	2	0	2	3	260;140
22	1133	1	2	0	2	3	260;140
23	1134	1	2	0	2	3	260;140
24	1135	1	2	0	2	3	300;150
25	1136	1	2	0	2	3	300;150
26	1279	1	2	0	2	3	260;140
27	1499	1	2	0	3	3	
51	173	5	6	60	2	3	
52	171	1	2	0	3	2	260;140
53	184	1	2	0	3	3	260;140
54	186	1	2	0	3	3	260;140
55	889	1	2	0	3	3	300;150
56	891	1	2	60	3	3	
57	888	1	2	60	3	3	
58	890	1	2	60	3	3	
59	684	1	2	60	3	3	
60	115	5	6	60	2	3	
61	683	1	2	0	3	3	260;140
62	812	1	2	0	3	3	260;140
63	685	1	2	0	3	3	260;140
64	813	1	2	0	3	3	
65	814	1	2	0	3	3	
66	358	1	2	0	3	3	260;140
67	359	1	2	0	3	3	300;150
68	564	1	2	0	3	3	260;140
69	565	1	2	0	3	3	260;140
70	137	1	2	60	2	3	
71	1599	1	2	60	2	3	
72	1630	1	2	0	3	3	300;150
101	372	1	2	0	3	3	260;140
102	373	1	2	0	3	3	260;140
103	464	1	2	0	3	3	260;140
104	759	1	2	0	3	3	260;140
105	142	1	2	0	3	3	
106	395	1	2	0	3	3	260;140
107	523	1	2	0	3	3	260;140
108	986	1	2	0	3	3	260;140
109	987	1	2	0	3	3	260;140
110	364	1	2	0	3	3	
111	1003	1	2	0	3	3	260;140
112	937	1	2	0	3	3	260;140
113	1000	1	2	0	3	3	260;140
114	909	1	2	0	3	3	260;140
115	1070	1	2	0	2	2	260;140
116	298	1	2	20	3	0	
117	1235	1	2	0	3	3	260;140
118	1258	1	2	0	3	3	260;140
119	1265	1	2	0	3	3	260;140
120	1266	1	2	0	3	3	260;140
121	1277	1	2	0	2	3	260;140
122	1069	1	2	0	3	3	
123	979	1	2	0	3	0	260;140
124	1379	1	2	0	3	3	260;140
125	1382	1	2	0	3	3	
126	1383	1	2	0	3	3	
127	1508	1	2	0	3	3	300;150
128	1385	1	2	0	3	3	260;140
129	1533	1	2	0	3	3	300;150
130	1536	1	2	0	3	0	260;140
131	1541	1	2	0	3	3	260;140
132	1581	1	2	0	3	3	300;150
133	1584	1	2	0	3	3	300;150
134	1623	1	2	0	3	3	260;140
135	1624	1	2	0	3	3	260;140
136	1626	1	2	0	3	3	260;140
137	1647	1648	1649	0	1	2	300;150
138	1668	1	2	0	2	3	260;140
139	1643	1	2	0	3	3	400;220
140	1691	1	2	0	2	3	
141	1701	1	2	0	3	3	300;150
142	1711	1	2	0	3	3	260;140
143	1719	1	2	0	3	3	300;150
144	1749	1	2	0	2	3	260;140
145	1756	1	2	0	2	3	300;150
146	1761	1	2	0	1	3	260;140
147	1743	1	2	0	1	3	260;140
148	1771	1	2	0	3	3	400;200
149	1776	1	2	0	3	3	260;140
150	1779	1	2	0	3	3	300;150
151	1780	1	2	0	3	3	300;150
152	1788	1	2	0	3	3	260;140
153	1855	1	2	0	3	3	260;140
154	1886	1	2	0	3	3	260;140
155	1972	1	2	0	3	3	260;140
996	0	1	2	0	3	3	260;140
997	0	1	2	0	3	3	300;150
998	0	1	2	0	3	3	400;200
999	0	1	2	0	3	3	
