n_ID	s_NAME_VARIABLE	f_VALUE_VARIABLE
1	DEADLY_HEIGHT	3000.0
2	NODAM_HEIGHT	1000.0
3	SLIDE_HEIGHT	60.0
4	MINING_SUCCESS	100.0
5	MOB_SLIDE_HEIGHT	90.0
6	TURNROUND_LIMIT_SPEED	100.0
7	BACKWARD_SPEED	0.5
8	GLIDE_FALL_SPEED	233.0
9	EXTREMIS_SPEED	0.05999999865889549
10	ACCUMULATE_POWER_TIME	1.5
11	STR_DAMMIN_PHYSICS	5.0
12	STR_PENETRATE_PHYSICS	0.0
14	STR_STUN	0.0
15	AGI_DAMPLUS_PHYSICS	3.5
16	AGI_DODGE	0.0
17	AGI_ANTI_POWERHIT	0.0
18	AGI_ABSORB_PHYSICS	0.0
19	CON_HPMAX	66.0
20	CON_AC_MAGIC	0.0
21	CON_AC_PHYSICS	0.0
22	CON_ANTI_STUN	0.0
23	PER_HITRATE	0.0
24	PER_POWERHIT	0.0
25	PER_DAMPLUS_MAGIC	3.5
26	PER_CURSE	0.0
27	INT_DAMMIN_MAGIC	5.0
28	INT_PENETRATE_MAGIC	0.0
29	INT_ABSORB_MAGIC	0.0
30	INT_ANTI_CURSE	0.0
31	RUN_SPEED	700.0
32	NORMALJUMP_HEIGHT	175.0
33	NORMALJUMP_DISTANCE	350.0
34	POWERJUMP_HEIGHT	325.0
35	POWERJUMP_DISTANCE	750.0
36	GLIDE_SPEED	735.0
37	HELP_AUTOPLAY	3.0
38	EXTREMIS_TIME	20.0
39	DURATION_CPR	5.0
40	RANGE_CPR	150.0
41	DODGE_JUMP	2.200000047683716
42	IDENTIFY_TIME	2.5
43	RATIO_AC_MOB	0.10000000149011612
44	RATIO_AC_PLAYER	0.10000000149011612
45	DAM_POWERHIT	1.5
46	MULTIPLY_BACKSTAB	0.5
47	TIMEBAR_LEARN_SKILL	1.3200000524520874
48	DISCOUNT_CLASS	0.5
49	DECOMPOSITION_TIME	3.0
50	ENHANCE_TIME	1.5
51	EXP_ChangeTo_GuildCredit	0.5
52	PET_PICKUP	0.5
53	 ACTIVITY_CATCHTHEGOLD_1	0.800000011920929
54	 ACTIVITY_RACING_1	0.800000011920929
55	NEXT_USE	0.30000001192092896
56	SOUL_RESTORE_RATE	50.0
57	SOUL_WEAKEN_RATE	1.0
58	TRADE_FEE	15.0
59	STORAGE_FEE_12hr	2.0
60	STORAGE_FEE_24hr	3.0
61	STORAGE_FEE_48hr	5.0
62	TRUST_FEE	15.0
63	VARIABLE_CRYSTAL	13.5
64	ACTIVITY_HITSTHEMOLE_2	0.5
65	ACTIVITY_FOLLOWMELEAD_1	0.5
66	GUILD_ROLEMODEL_APPEAR_MEMBERLV1	0.0
67	OFFLINEQST_ INCREASE _EACH_LV	20.0
68	CULTURED_TIME	2.0
69	LUCKY_CULTURED	10.0
70	LUCKY_CRYSTAL	50.0
71	GATHER_TIME	1.5
72	EXP_PARTYSHARE	1.100000023841858
73	 ACTIVITY_CATCHTHEGOLD_2	0.800000011920929
74	 ACTIVITY_CATCHTHEGOLD_3	0.5
75	 ACTIVITY_CATCHTHEGOLD_4	0.30000001192092896
76	 ACTIVITY_CATCHTHEGOLD_5	0.6000000238418579
77	 ACTIVITY_CATCHTHEGOLD_6	0.4000000059604645
78	 ACTIVITY_RACING_2	0.30000001192092896
79	 ACTIVITY_RACING_3	0.20000000298023224
80	 ACTIVITY_RACING_4	0.10000000149011612
81	 ACTIVITY_RACING_5	0.5
82	 ACTIVITY_RACING_6	0.4000000059604645
83	ACTIVITY_HITDISHES_2	0.800000011920929
84	ACTIVITY_HITDISHES_3	0.5
85	ACTIVITY_HITDISHES_4	0.30000001192092896
86	ACTIVITY_HITDISHES_5	0.6000000238418579
87	ACTIVITY_HITDISHES_6	0.4000000059604645
88	ACTIVITY_CHOOSEONE_1	10.0
89	ACTIVITY_CHOOSEONE_2	30.0
90	GUILDMEMBER_SALARY_PERCENTAGE	0.5
91	NAMEBOARD_PERCENT_FAR	10.0
92	NAMEBOARD_PERCENT_CLOSE	1.0
93	SAILORBODY_MIN	0.699999988079071
94	SAILORBODY_MAX	1.2999999523162842
95	LUCKYENHANCE_TIME	2.0
96	RANGE_PICKUP	600.0
97	REMAKE_TIME	5.0
98	DROP_AREA	4.0
99	GVGRESULT_PERCENTAGE	5.5
100	GUILD_RANK_PERCENTAGE_1	100000.0
101	GUILD_RANK_PERCENTAGE_2	1.0
102	GUILD_RANK_PERCENTAGE_3	300.0
103	GUILD_PAID_DAILY_A	50.0
104	GUILD_PAID_DAILY_B	20.0
105	GUILD_PAID_DAILY_C	10.0
106	GUILD_PAID_DAILY_D	1.0
107	COLLECT_SCRAP_1_WEIGHT	3.0
108	COLLECT_SCRAP_2_WEIGHT	10.0
109	COLLECT_SCRAP_3_WEIGHT	10.0
110	COLLECT_SCRAP_4_WEIGHT	10.0
111	COLLECT_SCRAP_5_WEIGHT	10.0
112	COLLECT_SCRAP_6_WEIGHT	10.0
113	COLLECT_SCRAP_7_WEIGHT	12.0
114	COLLECT_SCRAP_8_WEIGHT	15.0
115	COLLECT_SCRAP_9_WEIGHT	20.0
116	COLLECT_SCRAP_MAP_WEIGHT	50.0
117	FITTINGROOM_MAX_DISTANCE	650.0
118	FITTINGROOM_MIN_DISTANCE	90.0
119	MIX_RATE	50.0
120	FITTINGROOM_DEFAULT_HEIGHT	80.0
121	SAILOR_POINTADD	0.5
122	SAILOR_POINTADDMAX	25.0
123	FITTINGROOM_DEFAULT_DISTANCE	650.0
124	FITTINGROOM_ROTATE_UNIT	500.0
125	MIX_TIME	2.5
126	TRANSFER_ITEM_RATIO	25.0
127	RESURRECT_TOWN	0.4000000059604645
128	LEARNSKILL_TIME	0.5
129	BROADCAST_MOVE	1.0
130	ACTIVITY_PUZZLE_N	150.0
131	ACTIVITY_PUZZLE_X	1.5
132	MP_CURVE_PERCENTAGE	20.0
133	GUILD_OFFLINE_MODEL_PERCENTAGE	0.6000000238418579
134	ACTIVITY_GEM_CARD1	2.0
135	LETTER_BOTTLE_RATE	50.0
136	ACTIVITY_LINK_1	2.0
137	HEIGHT_STAMP	250.0
138	GUILDMEMBER_GVG_REWARD_PERCENTAGE	0.5
139	GUILD_SALARY_RANKING_WEIGHTED_1	5.0
140	GUILD_SALARY_RANKING_WEIGHTED_2	1.600000023841858
141	GUILD_SALARY_RANKING_WEIGHTED_3	1.2999999523162842
142	GUILD_SALARY_RANKING_WEIGHTED_4	1.0
143	FITTINGROOM_ROTATE_OBJECT_UNIT	10.0
144	VARIABLE_DECOMPOSITION	0.125
145	RARE_DECOMPOSITION	0.05000000074505806
146	RATE_WQ_DC	0.30000001192092896
147	RATE_GQ_DC	1.5
148	RATE_BQ_DC	3.0
149	RATE_PQ_DC	5.0
150	INSTANCE_FRIENDSHIP_BONUS	0.20000000298023224
151	WQ_VALUE	0.10000000149011612
152	GQ_VALUE	0.5
153	BQ_VALUE	1.0
154	PQ_VALUE	1.5
155	RANGE_TALKVSNPC_ADD	150.0
156	RANGE_TALKVSNPC_MUTI	1.0
157	CREDIT_GUILDMEMBER_IN_PARTY	1.100000023841858
158	SCALE_GM	1.2999999523162842
159	PVP_BONUS_SP	0.5
160	TALK_TIME	3.0
161	INCREASESPEED_TIME	7.0
162	DECREASESPEED_TIME	3.0
163	DECOMPOSITION_RATIO	25.0
164	GLIDE_SPEED_LIMIT	3.0
165	EXP_FEEBLE_SAFEZONE	5.0
166	EXP_FEEBLE_PERCENT	15.0
167	MUL_PVP	80.0
168	IDENTIFY_FEE_VALUE	0.20000000298023224
169	EXPADD_GREW	2.0
170	MONEYADD_SEAGET	2.0
171	SOUL_WEAKENRATE_VIP	0.5
172	SHIP_REBORN_HP_PERCENT	0.10000000149011612
173	DISABLE_POWERJUMP_HEIGHT	100.0
174	COST_GLIDEUP	200.0
175	TAX_TRADE	3.0
176	TAX_STALL	5.0
177	SPEED_GLIDEUP	582.0
