n_ID	s_NAME_VARIABLE	n_VALUE_VARIABLE
1	RANGE_FOLLOW	500
2	RANGE_FOLLOWMAX	2000
3	RANGE_TRADE	1000
4	RANGE_TALKVSNPC	600
5	CAMERA_RANGE_INDOOR	800
6	CAMERA_RANGE_EXTEND	2500
7	CAMERA_RANGE_DUNGEON	1200
8	CAMERA_RANGE_DEFAULT	500
9	TIMEFORINVITE_TRADE	60
10	MAX_CHAR_COUNT	5
11	CD_TAG_DROPS	5
12	INSTANCE_COUNTED_LASTINGTIME	30
13	INSTANCE_RANKC_SCORE	0
14	INSTANCE_RANKB_SCORE	60
15	INSTANCE_RANKA_SCORE	80
16	INSTANCE_RANKS_SCORE	90
17	INSTANCE_RANKSS_SCORE	95
18	INSTANCE_RANKSSS_SCORE	99
19	BLINK_TIME	5
20	MESSAGE NUMBER	20
21	TIMEFORINVITE_PARTY	60
22	BACKPACK_BASIC	32
23	BACKPACK_RENT	80
24	BACKPACK_VIP	80
25	BACKPACK_QUEST	40
26	BASIC_ABILITY	5
27	GUILD_SET_LEVEL	15
28	GUILD_SET_MONEY	4000
29	STAMINAMAX	100
30	COMMUNITY_FRIENDS_MAX	30
31	COMMUNITY_BLACKLIST_MAX	30
32	FINGER_GUESSING_AGAIN	3
33	COMMUNITY_MAILBOX_MAX	50
34	TIMEFORINVITE_friend	60
35	NUMBER_REACHABLE_OFFLINEQST_INCREASE_EACHLV	3
37	LUSTER_MAX	99
38	LUSTER_DEPLETION	1
39	NUMBER_REACHABLE_OFFLINEQST_DAILY	3
40	NUMBER_APPEAR_OFFLINEQST_DAILY	1
41	GUILDMEMBER_DAILY_PAYMENT	10
42	Guild_Extra_GuildCredit_Per_10_Lvdifferent	200
43	STATUSPOINT_RESETLEVEL	41
44	STATUSPOINT_RESETSPEND	5
45	WAREHOUSE_MONEYMAX	100000000
46	PACKAGE_DISPLAY	50
47	Guild_Have_ISLAND	3
48	GUILDSKILL_TOTAL_NEED_TIMES	20
49	Guild_Vehicle_Cost_For_Each_Call	300
50	WAREHOUSE_P_BASIC	40
51	WAREHOUSE_P_EXTEND	80
52	DAILY_1_1	1800
53	DAILY_1_2	2400
54	DAILY_1_3	3000
55	DAILY_2_1	1200
56	GUILDTANK_FOR_CHIEF	3
57	Guild_BreakUp_Member_Amount	10
58	Guild_BreakUp_Days_Amount	7
59	ACTIVITY_HITSTHEMOLE_1	20
60	Guild_LevelUp_Need_Extra_Condition_1	8
61	Guild_LevelUp_Need_Extra_Condition_2	9
62	Guild_LevelUp_Need_Extra_Condition_3	10
63	ELEMENT_EARTH	2600007
64	ELEMENT_WATER	2600008
65	ELEMENT_FIRE	2600009
66	ELEMENT_WIND	2600010
67	MIXLV_3	75
68	MIXLV_4	110
69	GUILD_EXP_ACTIVITY	5000
70	NAMEBOARD_RANGE_FAR	1
71	NAMEBOARD_RANGE_CLOSE	100
72	NAMEBOARD_RANGE_DISAPPEAR	6000
73	Guild_Vehicle_Size_When_Online_Member_Under_A	40
74	Guild_Vehicle_Size_When_Online_Member_Under_B	60
75	Guild_Vehicle_Size_When_Online_Member_Under_C	80
76	Guild_Vehicle_Size_When_Online_Member_Under_D	100
77	Guild_Vehicle_Size_When_Online_Member_Under_E	120
78	CHANNEL_SAY_RANGE	5000
79	SAILOR_RANKSCORE1	6
80	SAILOR_RANKSCORE2	21
81	SAILOR_RANKSCORE3	36
82	ACTIVITY_DAILYACT _INTERVAL	120
83	ACTIVITY_INTERVAL_WEEKENDACT	180
