n_ID	n_TYPE	n_VARYVALUE	f_PERCENTAGE
1	31	5	0.0
2	31	20	0.0
3	31	5	0.0
4	31	15	0.0
5	31	60	0.0
6	31	10	0.0
7	12	2	30.0
8	12	3	30.0
9	12	4	30.0
10	4	25	0.0
11	31	40	0.0
12	9	2	0.0
13	9	4	0.0
14	9	8	0.0
15	9	64	0.0
16	9	128	0.0
17	9	256	0.0
18	10	5	0.0
19	10	10	0.0
20	10	15	0.0
21	10	20	0.0
22	10	25	0.0
23	10	30	0.0
24	31	50	0.0
25	2	6310002	0.0
26	15	25	0.0
27	2	6310476	0.0
28	2	6310518	0.0
29	2	6310560	0.0
30	2	6310602	0.0
31	2	6310644	0.0
32	2	6310477	0.0
33	2	6310519	0.0
34	2	6310561	0.0
35	2	6310603	0.0
36	2	6310645	0.0
37	3	6304000	0.0
38	3	6303999	0.0
39	3	6303998	0.0
40	3	6303997	0.0
41	3	6303996	0.0
42	15	5	0.0
43	15	10	0.0
44	15	15	0.0
45	15	20	0.0
46	16	1	0.0
47	31	30	0.0
48	3	6303992	0.0
49	3	6303993	0.0
50	3	6303994	0.0
51	3	6303995	0.0
52	0	0	0.0
53	5	2200203	0.0
54	5	2200403	0.0
55	5	2200603	0.0
56	5	2200803	0.0
57	5	2201003	0.0
58	5	2201203	0.0
59	7	120	5.0
60	0	0	0.0
61	5	2204029	0.0
62	5	2204229	0.0
63	5	2204429	0.0
64	5	2204633	0.0
65	5	2204833	0.0
66	0	0	0.0
67	0	0	0.0
68	0	0	0.0
69	0	0	0.0
70	0	0	0.0
71	16	0	0.0
72	5	2200204	0.0
73	5	2200205	0.0
74	5	2200404	0.0
75	5	2200405	0.0
76	5	2200604	0.0
77	5	2200605	0.0
78	5	2200804	0.0
79	5	2200805	0.0
80	5	2201004	0.0
81	5	2201005	0.0
82	5	2201204	0.0
83	5	2201205	0.0
84	3	6303501	0.0
85	3	6303502	0.0
86	3	6303503	0.0
87	3	6303504	0.0
88	3	6303505	0.0
89	3	6303506	0.0
90	3	6303507	0.0
91	3	6303508	0.0
92	3	6303509	0.0
93	3	6303510	0.0
94	3	6303511	0.0
95	3	6303512	0.0
96	3	6303513	0.0
97	3	6303514	0.0
98	3	6303515	0.0
99	3	6303516	0.0
100	3	6303517	0.0
101	3	6303518	0.0
102	37	0	0.0
103	37	1	0.0
104	37	2	0.0
105	37	3	0.0
106	37	4	0.0
111	27	1	0.0
112	27	2	0.0
113	27	3	0.0
114	27	4	0.0
121	5	2201403	0.0
122	5	2201404	0.0
123	5	2201405	0.0
124	3	6303519	0.0
125	3	6303520	0.0
126	3	6303521	0.0
1201	12	1	0.0
1202	12	2	0.0
1203	12	3	0.0
1204	12	4	0.0
1205	12	5	0.0
1206	12	6	0.0
9001	3	6303015	0.0
9002	3	6309501	0.0
9003	2	6309004	0.0
9004	3	6309503	0.0
9005	31	4	0.0
9006	3	6309604	0.0
9007	10	10	0.0
9009	4	25	0.0
9014	4	240	0.0
9015	24	31	0.0
9016	5	2209986	0.0
9017	15	15	33.0
9018	15	31	0.0
9019	5	2209984	0.0
9051	4	10	0.0
9052	4	20	0.0
9061	2	6310067	0.0
9062	2	6310091	0.0
9063	2	6310077	0.0
9064	2	6310291	0.0
9065	2	6310386	0.0
9066	2	6310305	0.0
9067	3	6302001	0.0
9068	3	6302093	0.0
9069	3	6302437	0.0
9070	3	6302485	0.0
9071	3	6302329	0.0
9072	3	6302665	0.0
9073	3	6302813	0.0
9074	3	6302917	0.0
9075	3	6302677	0.0
9076	3	6302817	0.0
9077	3	6302909	0.0
9078	3	6302685	0.0
9079	3	6302873	0.0
9080	3	6302949	0.0
9081	3	6302717	0.0
9082	3	6302885	0.0
9083	3	6302973	0.0
9084	3	6302010	0.0
9085	3	6302074	0.0
9086	3	6302334	0.0
9087	3	6302238	0.0
9088	3	6302334	0.0
9089	3	6302666	0.0
9090	3	6302834	0.0
9091	3	6302918	0.0
9092	3	6302678	0.0
9093	3	6302818	0.0
9094	3	6302910	0.0
9095	3	6302686	0.0
9096	3	6302874	0.0
9097	3	6302950	0.0
9098	3	6302718	0.0
9099	3	6302886	0.0
9100	3	6302974	0.0
