n_ID	n_PROPERTIES	n_SEATS	s_NAMEBOARD	n_SEAT1	n_SEAT2	n_SEAT3	n_SEAT4	n_SEAT5	n_SEAT6
11	897	1	1;1	11	0	0	0	0	0
12	1017	6	1;0	12	12	12	12	12	12
101	929	1	1;1	11	0	0	0	0	0
102	897	1	1;1	11	0	0	0	0	0
103	1917	2	1;1	11	11	0	0	0	0
3000	825	1	0;0	3033	0	0	0	0	0
3001	889	6	1;0	12	12	12	12	12	12
3002	889	6	1;0	12	12	12	12	12	12
3003	889	1	1;0	3000	0	0	0	0	0
3004	889	1	1;0	12	0	0	0	0	0
3005	889	1	1;0	3059	0	0	0	0	0
3006	889	1	1;0	3060	0	0	0	0	0
3007	889	1	2;2	5138	0	0	0	0	0
3008	1917	1	1;0	5139	0	0	0	0	0
3009	1917	1	1;0	5140	0	0	0	0	0
3010	889	1	1;0	8541	0	0	0	0	0
3011	1917	1	1;0	8575	0	0	0	0	0
3012	1401	1	1;0	8026	0	0	0	0	0
3013	889	1	1;0	7557	0	0	0	0	0
3014	889	1	1;0	7558	0	0	0	0	0
3015	889	1	1;0	7559	0	0	0	0	0
3016	889	1	1;0	7560	0	0	0	0	0
3017	889	1	1;0	7561	0	0	0	0	0
3018	881	1	1;0	3064	0	0	0	0	0
3019	881	1	1;0	3065	0	0	0	0	0
5137	1977	1	1;1	5144	0	0	0	0	0
5138	1977	1	1;1	5145	0	0	0	0	0
5139	1977	1	1;1	5146	0	0	0	0	0
5140	1977	1	1;1	5147	0	0	0	0	0
5141	1977	1	1;1	5148	0	0	0	0	0
5142	1977	1	1;1	5149	0	0	0	0	0
5143	1977	1	1;1	5150	0	0	0	0	0
5144	1977	1	1;1	5151	0	0	0	0	0
5145	1977	1	1;1	5152	0	0	0	0	0
5146	1977	1	1;1	5153	0	0	0	0	0
5147	1977	1	1;1	5154	0	0	0	0	0
7501	897	1	1;0	7508	0	0	0	0	0
7502	1017	6	1;0	7510	7510	7510	7510	7510	7510
7503	897	1	1;0	7509	0	0	0	0	0
7504	897	1	1;0	7506	0	0	0	0	0
7505	897	1	1;0	7507	0	0	0	0	0
7507	897	1	1;0	7514	0	0	0	0	0
7511	897	1	1;0	7512	0	0	0	0	0
7521	897	1	1;0	7574	0	0	0	0	0
7522	897	1	1;0	7574	0	0	0	0	0
7523	897	1	1;0	7574	0	0	0	0	0
7524	897	1	1;0	7574	0	0	0	0	0
7525	897	1	1;0	7574	0	0	0	0	0
7526	897	1	1;0	7574	0	0	0	0	0
7527	897	1	1;0	7574	0	0	0	0	0
7528	897	1	1;0	7574	0	0	0	0	0
7529	897	1	1;0	7574	0	0	0	0	0
7551	929	1	1;0	7554	0	0	0	0	0
7552	897	1	1;0	7555	0	0	0	0	0
7553	1917	2	1;0	7556	7556	0	0	0	0
7554	929	1	1;0	7574	0	0	0	0	0
7568	1917	1	1;0	7570	0	0	0	0	0
7569	897	1	1;0	7571	0	0	0	0	0
7600	889	1	2;2	7601	0	0	0	0	0
7636	776	1	1;0	7604	0	0	0	0	0
7637	776	1	1;0	7606	0	0	0	0	0
8507	1849	1	1;1	8507	0	0	0	0	0
8511	1849	1	1;1	8511	0	0	0	0	0
8517	1849	1	1;1	8517	0	0	0	0	0
8518	1849	1	1;1	8518	0	0	0	0	0
8522	1849	1	1;1	8522	0	0	0	0	0
8525	1849	1	1;1	8525	0	0	0	0	0
8535	1849	1	1;1	8535	0	0	0	0	0
8536	1849	1	1;1	8536	0	0	0	0	0
8763	1849	1	1;1	8763	0	0	0	0	0
8765	1849	1	1;1	8765	0	0	0	0	0
8789	1841	1	1;1	8789	0	0	0	0	0
9911	384	1	1;1	9010	0	0	0	0	0
9912	384	1	1;1	9011	0	0	0	0	0
9913	384	1	1;1	9012	0	0	0	0	0
9914	384	1	1;1	9013	0	0	0	0	0
9992	1792	1	1;1	9901	0	0	0	0	0
9993	1792	1	1;1	9902	0	0	0	0	0
9997	929	1	0;0	9907	0	0	0	0	0
