n_ID	n_PREPOSITIVE	n_AMITYDEMAND	n_TYPE	n_VAR1	n_FINISHED	n_LEVEL	f_REWARD_EXP	f_REWARD_MONEY	f_REWARD_SP	n_REWARD_AMITY	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
7	0	300	2	1007	3	80	3.5	3.5	3.5	300	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	0	800	2	1010	15	90	3.5	3.5	3.5	300	1.01.0000	1.07.0000	1.07.0000	1.07.0000
9	0	1400	2	1013	15	100	3.5	3.5	3.5	300	1.01.0000	1.07.0000	1.07.0000	1.07.0000
10	0	2100	2	1016	15	110	3.5	3.5	3.5	300	1.01.0000	1.07.0000	1.07.0000	1.07.0000
11	0	2900	2	1020	15	115	3.5	3.5	3.5	300	1.01.0000	1.07.0000	1.07.0000	1.07.0000
12	0	5000	2	1008	25	115	5.0	5.0	5.0	500	1.10.0000	1.07.0000	1.07.0000	1.07.0000
13	0	5000	2	1011	25	115	5.0	5.0	5.0	500	1.10.0000	1.07.0000	1.07.0000	1.07.0000
14	0	5000	2	1014	25	115	5.0	5.0	5.0	500	1.10.0000	1.07.0000	1.07.0000	1.07.0000
15	0	5000	2	1017	25	115	5.0	5.0	5.0	500	1.10.0000	1.07.0000	1.07.0000	1.07.0000
16	0	5000	2	1021	25	115	5.0	5.0	5.0	500	1.10.0000	1.07.0000	1.07.0000	1.07.0000
22	0	0	1	0	10	41	0.0	0.0	1.2000000476837158	20	1.00.0000	1.07.0000	1.07.0000	1.07.0000
23	22	0	1	0	25	46	0.0	0.0	2.0	50	1.00.0000	1.07.0000	1.07.0000	1.07.0000
24	23	0	1	0	50	46	0.0	0.0	4.0	100	1.00.0000	1.07.0000	1.07.0000	1.07.0000
25	24	0	1	0	100	46	0.0	0.0	8.0	200	1.00.0000	1.07.0000	1.07.0000	1.07.0000
