n_ID	n_TYPE	n_SCENE	n_FOLLOW	s_LUASCRIPT	n_LEVEL_QUEST	n_LEVEL_EXP	n_NEXT	n_VARI_1	n_VARI_2	n_VARI_3	n_VARI_4	n_VARI_5	n_VARI_6	n_VARI_7	n_VARI_8	n_VARI_9	n_VARI_10	n_VARI_11	n_VARI_12	n_VARI_13	n_VARI_14	n_VARI_15	n_VARI_16	n_VARI_17	n_VARI_18	n_VARI_19	n_VARI_20	s_VARI_1	s_VARI_2	n_REWARD_ITEM1	n_REWARD_NUM1	n_REWARD_ITEM2	n_REWARD_NUM2	n_REWARD_ITEM3	n_REWARD_NUM3	n_REWARD_ITEM4	n_REWARD_NUM4	n_REWARD_ITEM5	n_REWARD_NUM5	n_REWARD_ITEM6	n_REWARD_NUM6	n_REWARD_CHOOSE1	n_REWARD_CHOOSENUM1	n_REWARD_CHOOSE2	n_REWARD_CHOOSENUM2	n_REWARD_CHOOSE3	n_REWARD_CHOOSENUM3	n_REWARD_CHOOSE4	n_REWARD_CHOOSENUM4	n_REWARD_CHOOSE5	n_REWARD_CHOOSENUM5	n_REWARD_CHOOSE6	n_REWARD_CHOOSENUM6	f_CASH	f_EXP	f_SP	n_GM_SWITCH	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
12	20	0	0	Q_TELEPORT_WITH_VEHICLE1	10	20	0	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
13	25	0	0	Q_ENTER_INSTANCE2	20	30	0	102	103	104	2056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
24	1	1	0	Q_CON_NEW	10	15	721	1071	0	0	7	1	0	20	8	0	0	0	0	175	804	0	0	630	803	0	0	_F_TALK_000	Scn0016a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
25	1	1	0	Q_INSTANCE_KILL1	10	15	0	721	9001	8552	572	1	91	0	0	0	0	8502	0	0	0	804	176	570	0	803	175	_F_HAPPY_000	_F_SAD_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
26	1	1	0	Q_CON1	10	15	27	25	2608007	1	10	2401006	1	11	29	0	0	0	0	637	0	0	628	0	0	0	629	_F_FLEX_000	_F_HAPPY_000	2608007	1	2401006	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
27	1	1	0	Q_CON1	10	18	28	26	0	0	0	0	0	0	0	0	0	0	0	0	168	0	630	0	170	0	0	_F_TALK_000	_F_SAD_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
28	1	1	0	Q_CON1	10	18	29	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	632	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
29	25	0	0	Q_ENTER_INSTANCE1	10	20	0	28	994	2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
30	1	1	0	Q_CON_NEW	10	18	994	28	0	0	2	884	2	3	8072	0	0	0	0	0	552	0	169	0	0	0	0	_F_FLEX_000	_F_FLEX_000	2600502	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
31	1	1	0	Q_CON1	10	18	32	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	_F_FLEX_000	_F_TALK_000	2401206	3	2600341	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
