n_ID	n_NPC_TALK1	n_PLAYER_ANSWER1_1	n_QUEST_FLAG1_1	n_PLAYER_ANSWER1_2	n_QUEST_FLAG1_2	n_PLAYER_ANSWER1_3	n_QUEST_FLAG1_3	n_PLAYER_ANSWER1_4	n_QUEST_FLAG1_4	n_NPC_TALK2	n_PLAYER_ANSWER2_1	n_QUEST_FLAG2_1	n_PLAYER_ANSWER2_2	n_QUEST_FLAG2_2	n_PLAYER_ANSWER2_3	n_QUEST_FLAG2_3	n_PLAYER_ANSWER2_4	n_QUEST_FLAG2_4	n_NPC_TALK3	n_PLAYER_ANSWER3_1	n_QUEST_FLAG3_1	n_PLAYER_ANSWER3_2	n_QUEST_FLAG3_2	n_PLAYER_ANSWER3_3	n_QUEST_FLAG3_3	n_PLAYER_ANSWER3_4	n_QUEST_FLAG3_4	n_NPC_TALK4	n_PLAYER_ANSWER4_1	n_QUEST_FLAG4_1	n_PLAYER_ANSWER4_2	n_QUEST_FLAG4_2	n_PLAYER_ANSWER4_3	n_QUEST_FLAG4_3	n_PLAYER_ANSWER4_4	n_QUEST_FLAG4_4	n_NPC_TALK5	n_PLAYER_ANSWER5_1	n_QUEST_FLAG5_1	n_PLAYER_ANSWER5_2	n_QUEST_FLAG5_2	n_PLAYER_ANSWER5_3	n_QUEST_FLAG5_3	n_PLAYER_ANSWER5_4	n_QUEST_FLAG5_4	n_NPC_ACCEPTED	n_PLAYER_ACCEPTED	n_NPC_COMPLETEL1	n_PLAYER_COMPLETEL1	n_NPC_COMPLETEL2	n_PLAYER_COMPLETEL2	n_NPC_COMPLETEL3	n_PLAYER_COMPLETEL3	n_NPC_BONUS	n_BONUS_QUEST_FLAG	s_ROLE_TALK	s_ROLE_ACCEPTED	s_ROLE_COMPLETE	s_ROLE_BONUS
1	1	2	1	3	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	7	8	0	0	0	0	9	2				
2	1	2	0	3	1	4	0	0	0	5	6	1	7	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	11	12	13	14	0	0	15	2				
3	1	2	0	3	0	4	0	0	0	5	6	0	7	0	8	0	0	0	9	10	1	11	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	15	16	17	18	0	0	19	2				
4	1	2	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	7	8	0	0	0	0	9	2				
5	1	2	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	7	8	0	0	0	0	9	2				
6	1	2	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	5	6	0	7	0	8	0	0	0	9	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	13	14	15	16	0	0	17	2				
7	1	2	0	3	0	4	0	0	0	5	6	0	7	0	8	0	0	0	9	10	0	0	0	0	0	0	0	11	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	15	16	17	18	19	20	21	2				
8	1	2	0	3	0	4	0	0	0	5	6	0	7	0	0	0	0	0	8	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	12	13	14	15	16	17	18	2				
9	1	2	0	3	0	4	0	0	0	5	6	1	7	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	11	12	0	0	0	0	13	2				
10	1	2	1	3	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	7	8	0	0	0	0	9	2				
