n_ID	s_QUEST_NAME	s_BRIEFING	s_QUEST_INFO_BRIEF	s_WORD1	s_WORD2	s_WORD3	s_WORD4	s_WORD5	s_WORD6	s_WORD7	s_WORD8	s_WORD9	s_WORD10	s_WORD11	s_WORD12	s_WORD13	s_WORD14	s_WORD15	s_WORD16	s_WORD17	s_WORD18	s_WORD19	s_WORD20	s_WORD21	s_WORD22	s_WORD23	s_WORD24	s_WORD25	s_WORD26	s_WORD27	s_WORD28	s_WORD29	s_WORD30	s_WORD31	s_WORD32	s_WORD33	s_WORD34	s_WORD35	s_WORD36	s_WORD37	s_WORD38	s_WORD39	s_WORD40	s_WORD41	s_WORD42	s_WORD43	s_WORD44	s_WORD45	s_WORD46	s_WORD47	s_WORD48	s_WORD49	s_WORD50
1	รอดจากหายนะ		โชคดีที่เจ้าพบร่างที่คุ้นเคยบนหาดทราย ไปพบ<text style="79" path="184">[52500184]</text>พูดคุยกับเขา	ฮือ......เจ็บจังเลย! ข้าเจ็บจังเลย......เอ? $V1 เจ้าตกลงมาเหมือนกันงั้นเหรอ! ช่วยข้าที......ข้าบาดเจ็บสาหัส ช่วยตามหมอที!	พวกเราหลงมาในเกาะร้าง จะหาหมอจากที่ไหน?	เจ้าไม่เห็นเหรอว่าเรือพวกเราจมแล้ว?	ข่าวร้าย คนในเรือตายหมด	......	......	......หมดสิ้นแล้ว ข้าตายแน่ๆ ......ไม่ยุติธรรมเลย เพราะอะไรเจ้าถึงโชคดีตกลงไปในทะเล ส่วนข้ากลับลงบนพื้นดินแข็งๆ?	การที่ข้ารอดจากหายนะ บางทีมันอาจเป็นชะตาที่ลิขิตไว้?	......ข้าไม่ยอม ข้าหล่อกว่าเจ้าแท้ๆ แถมยังเก่งกว่าเจ้าด้วย แถมยังมีสาวๆ เยอะกว่าเจ้าด้วย คนที่ควรมีชีวิตอยู่ต่อต้องเป็นข้าถึงจะถูก!......เอ? ทำไมเจ้าต้องเอาอาวุธของข้าไปด้วย?																																									
2	สัตว์ตายเพราะอาหาร		<text style="79" path="192">[52500192]</text>3 ตัวกำลังเตรียมโจมตีพวกเจ้า ทำให้พวกมันล่าถอยพร้อมช่วยเหลือ<text style="79" path="184">[52500184]</text>(หากการล็อคอินของผู้เล่นขัดข้อง กรุณาลบภารกิจก่อนทำการรับใหม่)	ว้าว! Harpy กลุ่มนั้นไม่ยอมปล่อยตัวพวกเรา ยังล้อมเข้ามาด้วย พวกมันไม่ปล่อยให้ข้ารอดแน่ ข้าอยากกินเนื้อของพวกมัน......	อย่าเพิ่งเครียด เจ้ายังไม่ตายซักหน่อย	ไม่ต้องกลัว! ข้าจัดการ Harpy เอง!	ในเมื่อเจ้าตายแล้ว เป็นอาหารให้ Harpy เถอะ!	นี่! พวกเจ้า Harpy ฟังให้ดีนะ ข้าได้ยินว่าเนื้อเจ้านี่น่ากิน! พวกเจ้ากินเขาก้พอ ปล่อยข้าไปเถอะ!	อยากกินข้า ไม่ง่ายขนาดนั้นหรอก!	เจ้าบ้านี่แล้งน้ำใจจริงๆ	เจ้าหลบไปก่อน ข้าจะจัดการ Harpy เอง!	อย่ากินข้า !พวกเจ้า Harpy ชั่วร้าย!	ข้าขอจัดการHarpyก่อนค่อยว่ากันนะ!	......ดวงเจ้านี่ซวยจริงๆ ชะตาขาดแล้วละมั้ง! น่าเสียดายที่ข้าจะตายอีกไม่ช้า ไม่งั้นข้าคงไปผจญภัยกับเจ้า	ไปสู่สุคติเถอะนะ! พวกพ้องของข้า	นี่! เจ้าจะรีบให้ข้าตายไปไหน! ขอเวลาข้าพักหายใจก่อนเถอะ!	ทำไมเมื่อครู่ไม่มาสู้ด้วยกัน?	เจ้าโทษข้าเหรอ!......ทำดีไม่ได้ดี ข้าจะให้โอกาสเจ้าได้สะสมพลังต่อสู้ มันสามารถช่วยเพิ่มความสามารถให้กับเจ้าได้																																			
3	อุดมการณ์ความอยู่รอด		เจ้าอธิษฐานให้<text style="79" path="184">[52500184]</text> จากนั้นตามหาร่างในป่าอย่าง<text style="79" path="185">[52500185]</text>เพื่อสนทนา..	......ทำไมสีของฟ้าถึงมืดขนาดนี้? ทำมันข้าถึงรู้สึกหนาว?......ถึงเวลาของข้าแล้วงั้นเหรอ?......$V1 แม้ว่าข้าจะไม่ได้รู้จักเจ้ามากนัก แต่ถ้าหากเจ้าสามารถรดอดไปได้ เจ้าช่วยบอกแฟนข้าด้วย......คำสั่งเสียของข้าคือ......	เจ้าจะบอกว่า......เจ้ารักเธอใช่ไหม?	......ข้าจะร้องไห้อยู่แล้ว	ว่ามาสิ! ข้าจะบอกคำสั่งเสียให้เจ้าเอง	......เจ้าไปบอกแฟนข้าทีว่า อย่าคิดว่าข้าจะไม่รู้เรื่องที่เธอทำนะ!	เจ้าต้องการบอกเธอเองไหม	วางใจ ข้าจะดูแลแฟนของเจ้าอย่างดี	เรียบร้อย! ข้าคิดบัญชีให้เจ้าแล้วนะ!	เฮ้อ......ชาตินี้ข้าทำเรื่องชั่วมามากเหลือเกิน ก่อนตายข้าขอทำเรื่องดีๆ กับเจ้าสักเรื่องนะ! ข้าว่าที่ชายฝั่งมีร่างของคนอยู่ บางทีเขาสามารถช่วยให้เจ้ามีชีวิตรอดในเกาะร้างนี่ได้.....เจ้าไปสิ! ขอให้บั้นปลายชีวิตของข้า ได้อยู่เงียบๆ คนเดียวเถอะนะ?	ทนหน่อยนะ ข้าจะตามคนมาช่วย	ข้าไม่รบกวนเจ้าแล้วล่ะ	......ร่างบนเกาะนั่นดูแปลกๆ นะ	......	......	......นี่! เจ้ามองอะไร! เจ้าไม่รู้หรือไงว่ากำลังพูดอยู่กับทัมเบิลวีด?	ข้าไม่ใช่ทัมเบิลวีดธรรมดา ข้าไม่ได้ชื่อว่า<text style="79">[52500185]</text>	ข้าสนิทกับเจ้างั้นเหรอ?อย่ามาตั้งชื่อให้คนอื่นส่งๆ แบบนี้สิ และขอบอกตรงๆ นะ ตอนนี้เจ้าไม่ได้กำลังพูดอยู่กับข้า	ไม่งั้นจะให้ข้าทำอะไรอยู่ล่ะ?	เฮ้อ......น่าสงสารจริงๆ วนเวียนอยู่บนเกาะยังไม่ได้ครึ่งวัน หูข้าก็แว่วซะแล้ว																															
4	สหายบนเกาะร้าง		<text style="79" path="185">[52500185]</text>สมุนที่ปรากฏตัวขึ้นอย่างกะทันหัน เจ้าสนทนากับ<text style="79" path="185">[52500185]</text>อย่างอดทน	เจ้าถือว่าข้าเป็นเพื่อน เป็นอาการทางจิตวิทยาอย่างหนึ่ง เพราะเจ้าถูกปล่อยไว้บนเกาะร้าง เจ้าจึงมีอาการแบบนี้	ข้าอยากฟังความเห็นที่เป็นประโยชน์หน่อย	ขอร้องเจ้าฉลาดหน่อยนะ ว่าเพราะอะไรถึงมีเครื่องหมาย SOS อยู่บนทราย? คิดดูสิ ว่านี่หมายความว่าไง?	เกาะร้างนี่มีคนเร่ร้อนเหมือนข้าเด้วย?	......	......	ดูท่าสมองเจ้าจะโง่กว่าทัมเบิลวีดซะอีก เลิกพูดจาบ้าบอ พยุงข้าขึ้นมาก่อน พวกเราจะได้ไปหาคนอื่นๆ ที่เหลือบนเกาะร้าง!	มีเจ้าอยู่ทำให้ข้าสบายใจ	ขอเตือนเจ้านะ ตอนที่ดึงข้าขึ้นมา อย่าใช้แรงมากเกินไป ไม่งั้นข้ากรีดเสียงร้องแน่!																																									
5	แค้นของ Robinson		จากคำอธิบายของ<text style="79" path="185">[52500185]</text> เจ้าพบผู้เคราะห์ร้าย--Dommes<text style="79" path="187">[52500187]</text> สนทนากับเขาเพื่อหาเบาะแส	<text style="79">[52500185]</text>! เจ้ากล้าทรยศข้า ไปร่วมมือกับเขา เจ้าไม่ละอายต่อข้าเลยเหรอ?	บอกมาตามตรง <text style="79">[52500185]</text>เป็นแค่ทัมเบิลวีดใช่ไหม......	ห้ามเจ้าลบหลู่เขา! <text style="79">[52500185]</text>เป็นคนที่ร่วมทุกข์ร่วมสุขกับข้าบนเกาะร้าง มิตรภาพนี้ไม่ใช่อะไรที่เจ้ามาทำลายได้ง่ายๆ!	ต้องโกรธขนาดนี้เลย?	......	......	เจ้าบ้า ผิดคนแล้ว คนที่ผ่านสงครามมามากคือข้าต่างหาก ชื่อเสียงของข้าเลื่องลือมากเลยนะ	นี่เจ้าตั้งขึ้นเองใช่ไหม?	คนที่กล้าหัวเราะเยาะข้าครั้งก่อน มันถูกข้าเตะขึ้นไปบนดวงจันทร์เรียบร้อยแล้ว เจ้าน่ะ คิดดีแล้วเหรอที่ทำให้ข้าโกรธ!																																									
6	สวรรค์นักพเนจร		ตาม<text style="79" path="187">[52500187]</text>มุ่งหน้าไปยังค่ายที่พักเขา ตามหาเบาะแส ฟังว่า<text style="79" path="187">[52500187]</text>จะพูดอย่างไร (หากการล็อคอินของผู้เล่นขัดข้อง กรุณาลบภารกิจก่อนทำการรับใหม่)	......เฮือก......เฮือก......เฮือก......เจ้าบ้านี่ นึกไม่ถึงว่าข้าจะล้มเจ้าไม่ได้!	อย่าเพิ่งโกรธเลยนะ? ข้าไม่อยากรังแกคนแก่	......เมื่อครู่ข้าสูญเสียการควบคุม ตอนนี้ไม่เป็นไรแล้ว! นี่! เด็กใหม่......ดูเจ้าหมดสภาพเลยนะ เจ้าคือผู้รอดชีวิตที่เพิ่งตกลงมาใช่ไหม?	คือคนที่รอดจากปาระประสบเหมือนกันเหรอ?	เรียกข้าอา ข้ายังอายุน้อยเลยนะ .... บ้าจริง ทำเอาข้าหมดแรงเลย	เกาะร้างนี่มีที่ที่สวยแบบนี้อยู่ด้วย	เห็นเจ้า.....ข้าก็หมดแรงแล้ว!	ทำไมข้าถึงไม่เห็นคนอื่นๆ เลย?	อย่าใจร้อน อยากคุยกับข้ายังมีเวลา ภาษิตว่า:  [อยู่บ้านพึ่งพ่อแม่ อยู่ในป่าต้องพึ่ง<text style="79">[52500187]</text>] ค่ายของข้าอยู่ข้างหน้านี่เอง ต่อไปเจ้าก็พักกับข้านี่แหละ ตามข้ามาสิ!	ช่วยนำทางที!	......	......	ถึงค่ายพักของข้าแล้ว! ที่นี่เป็นพื้นที่ของข้า ทุกคนที่นี่ต้องฟังข้า ใครเชื่อฟังก็จะได้กินของฟรี ใครไม่ฟัง ใบไม้ซักใบก็อย่าหวัง	ข้าอยากไปจากเกาะนี่	ฮะฮ่า ข้าลอยมายังเกาะนี่ตั้งแต่เมื่อ 50 ปีที่แล้ว ถ้าออกไปได้ข้าออกไปตั้งนานแล้ว	......ข้าไม่รอหรอกตั้ง 50 ปี	วันแรกเจ้าก็ทนไม่ไหวแล้วเหรอ! แล้วต่อไปเจ้าจะทนได้ยังไง!......รอข้าเดี๋ยว ข้าขอไปอาบน้ำก่อน จากนั้นข้ามีงานสำคัญที่ต้องมอบหมายให้เจ้า																																	
7	บันทึกการเอาตัวรอดในป่า		เพื่อไปจากที่นี่ ตามหา<text style="109">[51300001]</text>5 อัน นำไปมอบให้กับ<text style="79" path="189">[52500189]</text>	อาบน้ำที่นี่สบายจัง......เจ้าอยากอาบด้วยไหม? แต่เจ้าต้องช่วยข้าจัดการเรื่องบางอย่างก่อนนะ	ให้ข้าได้ช่วยเจ้าเถอะ!	ข้าขึ้เกียจให้สมอง ขอเป็นงานง่ายๆ นะ	สิ่งที่ข้าอยากทำที่สุดตอนนี้ คือออกจากเกาะนี่	อย่าเหมาว่าข้ามาพักผ่อนทีเกาะนี่นะ? ข้าอยากไปจากที่นี่เหมือนกัน จึงคิดส่งโคมลอยปเนสัญญาณ......น่าเสียดายที่ทิศทางลมไม่ถูก โคมลอยไปติดที่ต้นไม้หมดเลย เจ้าช่วยข้าเอาลงมาทีได้ไหม?	ขอเพียงออกไปจากเกาะแห่งนี้ได้ จะให้ข้าทำอะไรก็ยอม	หวังว่าจะไม่มีอันตราย	ช่วยนำทางทีได้ไหม?	เมื่อเดินผ่านสะพานที่ค่ายที่พัก ก็จะถึงยังป่า ใช่แล้ว เจ้ากลัวอุรังอุตังไหม? เพราะนั่นเป็นพื้นที่ของ<text style="79">[52500193]</text> หากพวกเขาขัดขวางเจ้า เจ้าก็ต้องใช้<text style="79">[52500185]</text>จัดการพวกมันให้ปลิวไปเลย!	ได้โคมมาแล้วไงต่อ?	ข้าจะรอเจ้าอยู่บนนี้ จะได้มาปล่อยโคมลอยด้วยกัน! รีบไปสิ! ไม่ว่าจะใช้วิธีไหน เจ้าต้องเก็บโคมลอยกลับมาให้ข้าให้หมด!	ข้าจะไปรวบรวมโคมที่ป่านะ!	มันเป็นโคมลอยที่ข้าทำเองกับมือ ห้ามไม่ให้ขาดแม้แต่อันเดียว!	ต้องเรียกเก็บโคมลอยกลับมาทั้งหมด	เจ้าบ้าคนมือหนัก ทำโคมลอยเสียหายซะแล้ว! แบบนี้โคมลอยก็ลอยขึ้นฟ้าไม่ได้แล้วน่ะสิ	ข้ามได้ทำมันพังนะ	ดูท่าข้าคงต้องซ่อมโคมนี่......นี่! เจ้าเห็นอักษรบนโคมไหม? ลานมือข้าสวยมากใช่ไหม!	เหมือนเคยเห็นอักษรนี่ที่ไหนมาก่อน	ดูท่าเจ้าคงเห็นจดหมายในขวดแก้วของข้าแล้วสินะ น่าเสียดายที่ยังไม่มีใครช่วยข้า	Rubenny คือ...?	โอ้ย น่าเบื่อจะตาย! ข้าว่านะสาวๆ บนเกาะน่ะสวยกว่าเยอะเลย																													
8	ตำนาน Poseidon Island		<text style="79" path="189">[52500189]</text>เล่าเรื่องเกาะนี้ให้เจ้า รีบไล่ตาม<text style="79" path="189">[52500189]</text>ไปเพื่อสอบถามความจริง! (หากการล็อคอินของผู้เล่นขัดข้อง กรุณาลบภารกิจก่อนทำการรับใหม่)	ก่อนที่ข้าจะมาถึงยังเกาะนี้ เคยมีกะลาสีพูดถึงที่นี่ พวกเขาเรียกเกาะแห่งนี้ว่า<text>[52300139]</text> ตำนานเล่าว่าขณะที่ Poseidon สร้างมหาสมุทร ที่นี่เป็นเกาะที่เกิดขึ้นแห่งแรก และ Poseidon ก็เคยใช้ชีวิตที่นี่	ท่านเคยพบ Poseidon เหรอ?	เจ้าเชื่อเรื่องในตำนานแบบนี้ด้วยเหรอ?	......ข้าไม่สนประวัติของเกาะนี่หรอก	แม้ว่าข้าจะไม่เคยเจอตัว Poseidon แต่ข้าเคยได้ต่อสู้กับ Ocean Blue Witch เจ้าเห็นลานบูชานั่นไหม? นั่นเป็นพื้นที่ต้องห้ามของ Ocean Blue Witch หากบุกเข้าไปเจ้าจะถูกเธอจับไปบูชายัญให้ Poseidon 	เกาะที่น่ากลัวแห่งนี้ เราจะต้องหนีออกไปให้เร็วที่สุด	Ocean Blue Witch คือใคร?	เจ้าสนใจเรื่องของ Ocean Blue Witch ขนาดนี้เลยเหรอ? ตามข้ามา ข้าจะสอนทักษะเฉพาะให้เจ้าเอง	ขอคำชี้แนะด้วย	......	......	ในหีบสมบัตินี้ ได้เก็บศาตราเทพของ Poseidon เอาไว้ ขอเพียงมีอาวุธเหล่านี้ แม้ว่าจะเป็น Ocean Blue Witch ก็ยังไม่สามารถเอาชนะเจ้าได้ ข้าขอมอบให้เจ้า!	ขอบคุณ ข้ามเกรงใจละนะ	อย่าหาว่าข้าไม่เตือน แถวนี้มีหมูป่าอยู่เยอะมาก เจ้าต้องระวังให้ดี	ข้าจำได้ว่าเจ้าเลี้ยงอยู่ตัวนึง	ใช่แล้ว! เจ้าไม่เห็นเหรอว่ามันหายไป? ไม่มีใครทำถูกใจข้าเลย เหอะเหอะ......	รอยยิ้มเจ้าประหลาดจริงๆ	......เรียบร้อย! เจ้าเปิดหีบสมบัติไปนะ ข้าจะกลับไปที่ค่าย ถ้าเจ้ามีโอกาสได้พบกับ Ocean Blue Witch อย่าลืมช่วยสั่งสอนเธอที ข้าพา Willeson C16449ไปก่อนล่ะ ข้าไม่ยอมให้เพื่อเก่าข้าเป็นเครื่องมือของใครหรอก																																
9	ของทดลองแม่มด		เธอคือ Witch ในตำนานเหรอ? ไปพบ<text style="79" path="190">[52500190]</text>เพื่อสอบถามหาความจริง	......<text style="79">[52500187]</text>ส่งของทดลองมาอีกแล้วเหรอ? ขอข้าดูหน่อย......ของทดลองนี่เป็นตัวผู้! หวังว่าคราวนี้จะอยู่ได้นานหน่อยนะ	ข้าไม่ใช่ของทดลองนะ	ดูให้ดี ข้าแมนเต็มร้อยนะ!	......เจ้าคือ Ocean Blue Witch ในตำนานวินะ?	น่ารำคาญจริงๆ! อย่าคิดว่าเป็นมนุษย์แล้วจะเจ๋งนะ พวกเจ้าไม่ต่างจาก Sea Cockroach หรอก......เร็วเข้า เตรียมรับการทดลองเถอะ!	เดี๋ยวก่อน ข้ายังงงอยู่เลย	เจ้ากำลังทำการทดลองอะไรอยู่กันแน่?	หากเจ้าไม่ใช่มนุษย์ แล้วเจ้าเป็นอะไร?	......	......	เจ้าเป็นสิ่งทดลองที่พิเศษทีเดียว เพราะตัวทดลองอื่นๆ มักจะกรีดร้องและพยายามหนี จนข้าต้องไปตามจับมาทุกครั้ง แล้วจับโยนเข้าไปในประตูแห่งเบอร์มิวด้า	......เจ้าใช้สิทธิ์อะไรจับคนมาทดลองเนี่ย?	......ข้าจะยอมตอบคำถามเจ้าสักครั้ง ข้าคือบุตรสาวของ Atlas แห่ง Poseidon  <text style="79">[52500190]</text> ผู้พิทักษ์ประตูแห่งเบอร์มิวด้า ข้ากำลังใช้<text>[51300408]</text>ช่วยเหลือโลกใบนี้																																					
10	ช่วงชิง Poseidon Instrument		เหมือนคนชุดดำจะชิงของสำคัญของ<text style="79" path="191">[52500191]</text>ไป โปรดรีบไปหา<text style="79" path="191">[52500191]</text>เพื่อสอบถามรายละเอียด	มันกล้าชิง<text>[51300408]</text>ของข้าไป!	ข้าไม่รู้จักเขา	เขาดูแข็งแกร่งดีนะ	<text>[51300408]</text>สำคัญกับเจ้ามากเหรอ?	......	......	เกินไปแล้ว <text>[51300408]</text>คืออาวุธที่ท่านพ่อเหลือทิ้งไว้ให้กับข้า มันสามารถเปิด Bermuda Gate ได้เพื่อเดินทางไปยังสถานที่ต่างๆ ภายในโลก ข้าไม่อาจปล่อยให้มันตกไปอยู่ในมือของคนชั่วแน่! เจ้าโปรดช่วยข้าชิงมันกลับมาที!	เพราะอะไรถึงเป็นข้า?	เมื่อครู่เจ้ายังต่อสู้กับเขาอยู่เลยไม่ใช่เหรอ? แม้ว่าจะมีสุดยอดอาวุธ แต่เจ้าจะต้องมีของทดลองวิเศษอยู่แน่ๆ ข้าคิดอย่างนั้น...																																									
