n_ID	s_NAME	s_TIP
1	Kraken:Lv30	กำจัด Kraken ที่ Atlantis ส่งภารกิจ และได้รับ Hunter Rubik's Cube
10	Crew:Lv.40	ได้รับ Gobao จากรางวัลภารกิจ และเก็บไว้ที่ชั้นวางของ
20	Penfriend:Lv.45	เพิ่มเพื่อนทางจดหมาย 5 คน
30	Lucky Collect:Lv50	เก็บ Meteor Brass Ring 3 อัน
40	Brewing:Lv.55	หมักเหล้า 10 ขวด
50	Treasure Map:Lv.60	ผ่านแผนที่ขุมทรัพย์ 5 อัน
60	Strengthen:Lv65	ตีบวกสำเร็จ 30 ครั้ง
70	Pirate Flagship:Lv70	ขับไล่ Pirate Flagship ที่ Outer space Ocean ส่งภานกิจ และได้รับ Pirate Rubik Cube
80	Dungeon Treasure Map:Lv75	ผ่านแผนที่ขุมทรัพย์ Rough Sea Fortress
90	Evolution:Lv.80	ผสมสัตว์สวยงามสำเร็จ 3 ตัว ได้รับ Crew-Nalu Sase และเก็บไว้ในชั้นวางของ
100	SaLv.age:Lv.80	สำรวจใน Outer Space Ocean ได้รับ [Ice Fish Fossil] 1 ตัว
110	Conqueror:Lv85	ได้รับความสำเร็จเกี่ยวกับการบิน 6 อย่าง
120	Challenge Again:Lv90	กำจัด Floating Island Jellyfish เพื่อนในทีมไม่มีใครบาดเจ็บหนัก
130	Treasure:Lv.100	ได้รับสมบัติ Hammer of Judgment, Poseidon servant, Ancyn Grip
140	Dragon Merchant:Lv115	ซื้อ Seabed Crusader Rubik's Cube ที่ Sky Dragon Trader และเปิดให้ได้ Crew-Tuna เก็บลงชั้นวางของ
150	Poseidon Gold:Lv.120	ได้รับ Poseidon Gold 1000 แท่ง
160	Ultimate Target:Lv???	สะสมสมบัติทั้งแปด
1001	Navy Recruit	ผ่านการฝึกฝนและแจ้งพิธีการ
1002	Training Master	เมื่อผ่านการฝึกฝน และเริ่มการต่อสู้
1051	Silently Cultivation	คะแนนความสำเร็จถึง 100 คะแนน
1052	Touch Everyting	คะแนนความสำเร็จถึง 500 คะแนน
1053	Forever Endure	คะแนนความสำเร็จถึง 1000 คะแนน
1101	Part Time!	ได้รับตำแหน่งพิเศษ
1102	Melt Crystal Plate EXP ansion	เปิดช่องถาดหลอม 15 ช่อง
1103	Thank Support!	ใช้จ่ายคุกกี้ 500 แต้ม
1104	Go back to where you came from	ใช้จ่าย Token 100 แต้ม
1105	Penny and penny laid up will be many	ได้รับ Token ฟรี 15 ครั้ง
1106	Water live people Life!	ใช้ยาฟื้นฟู HP 10,0000 แต้ม
1107	Burn universe	ฟื้นคืนชีพที่เดิม 20 ครั้ง
1108	Enhanced Lv.10	ตีบวกเครื่องสวมใส่สีขาวเลเวล 10
1109	Lucky guy	Lucky Gathering 10 ครั้ง
1110	Enhanced Lv.12	ตีบวกเครื่องสวมใส่ 1 อย่างถึงเลเวล 12
1111	Burn Universe (2)	คืนชีพที่เดิม ใช้ได้ 50 ครั้ง
1201	Conquest Port Royal 	เหาะเหินใน Port Royal 1 ครั้ง เป็นเวลา 31 วินาที
1202	Conquest Prison Exile Island 	เหาะเหินใน Prison Exile Island 1 ครั้ง เป็นเวลา 41 วินาที
1203	Conquest Spice Paradise Island 	เหาะเหินใน Spice Paradise Island 1 ครั้ง เป็นเวลา 40 วินาที
