n_ID	s_NAME	s_MAINTIP	s_TRIGGEREDTIP
2001	Good		
2002	Refined		
2003	Graceful		
2004	Extreme		
2005	Good		
2006	Refined		
2007	Graceful		
2008	Extreme		
2009	Good		
2010	Refined		
2011	Graceful		
2012	Extreme		
2013	Good		
2014	Refined		
2015	Graceful		
2016	Extreme		
2017	Good		
2018	Refined		
2019	Graceful		
2020	Extreme		
2021	Good		
2022	Refined		
2023	Graceful		
2024	Extreme		
2025	Good		
2026	Refined		
2027	Graceful		
2028	Extreme		
2029	Good		
2030	Refined		
2031	Graceful		
2032	Extreme		
2033	Good		
2034	Refined		
2035	Graceful		
2036	Extreme		
2037	Good		
2038	Refined		
2039	Graceful		
2040	Extreme		
2041	Good		
2042	Refined		
2043	Graceful		
2044	Extreme		
2045	Good		
2046	Refined		
2047	Graceful		
2048	Extreme		
2049	Good		
2050	Refined		
2051	Graceful		
2052	Extreme		
2053	Good		
2054	Refined		
2055	Graceful		
2056	Extreme		
2057	Good		
2058	Refined		
2059	Graceful		
2060	Extreme		
2061	Good		
2062	Refined		
2063	Graceful		
2064	Extreme		
2065	Good		
2066	Refined		
2067	Graceful		
2068	Extreme		
2069	Good		
2070	Refined		
2071	Graceful		
2072	Extreme		
2073	Good		
2074	Refined		
2075	Graceful		
2076	Extreme		
2077	Good		
2078	Refined		
2079	Graceful		
2080	Extreme		
2081	Good		
2082	Refined		
2083	Graceful		
2084	Extreme		
2085	Good		
2086	Refined		
2087	Graceful		
2088	Extreme		
2089	Good		
2090	Refined		
2091	Graceful		
2092	Extreme		
2093	Good		
2094	Refined		
2095	Graceful		
2096	Extreme		
2097	Good		
2098	Refined		
2099	Graceful		
2100	Extreme		
2101	Good		
2102	Refined		
2103	Graceful		
2104	Extreme		
2105	Good		
2106	Refined		
2107	Graceful		
2108	Extreme		
2109	Good		
2110	Refined		
2111	Graceful		
2112	Extreme		
2113	Good		
2114	Refined		
2115	Graceful		
2116	Extreme		
2117	Good		
2118	Refined		
2119	Graceful		
2120	Extreme		
2121	Good		
2122	Refined		
2123	Graceful		
2124	Extreme		
2125	Good		
2126	Refined		
2127	Graceful		
2128	Extreme		
2129	Good		
2130	Refined		
2131	Graceful		
2132	Extreme		
2133	Good		
2134	Refined		
2135	Graceful		
2136	Extreme		
2137	Good		
2138	Refined		
2139	Graceful		
2140	Extreme		
2141	Good		
2142	Refined		
2143	Graceful		
2144	Extreme		
2145	Good		
2146	Refined		
2147	Graceful		
2148	Extreme		
2149	Good		
2150	Refined		
2151	Graceful		
2152	Extreme		
2153	Good		
2154	Refined		
2155	Graceful		
2156	Extreme		
2157	Good		
2158	Refined		
2159	Graceful		
2160	Extreme		
2161	Good		
2162	Refined		
2163	Graceful		
2164	Extreme		
2165	Good		
2166	Refined		
2167	Graceful		
2168	Extreme		
2169	Good		
2170	Refined		
2171	Graceful		
2172	Extreme		
2173	Good		
2174	Refined		
2175	Graceful		
2176	Extreme		
2177	Good		
2178	Refined		
2179	Graceful		
2180	Extreme		
2181	Good		
2182	Refined		
2183	Graceful		
2184	Extreme		
2185	Good		
2186	Refined		
2187	Graceful		
2188	Extreme		
2189	Good		
2190	Refined		
2191	Graceful		
2192	Extreme		
2193	Good		
2194	Refined		
2195	Graceful		
2196	Extreme		
2197	Good		
2198	Refined		
2199	Graceful		
2200	Extreme		
2201	Good		
2202	Refined		
2203	Graceful		
2204	Extreme		
2205	Good		
2206	Refined		
2207	Graceful		
2208	Extreme		
2209	Good		
2210	Refined		
2211	Graceful		
2212	Extreme		
2213	Good		
2214	Refined		
2215	Graceful		
2216	Extreme		
2217	Good		
2218	Refined		
2219	Graceful		
2220	Extreme		
2221	Good		
2222	Refined		
2223	Graceful		
2224	Extreme		
2225	Good		
2226	Refined		
2227	Graceful		
2228	Extreme		
2229	Good		
2230	Refined		
2231	Graceful		
2232	Extreme		
2233	Good		
2234	Refined		
2235	Graceful		
2236	Extreme		
2237	Good		
2238	Refined		
2239	Graceful		
2240	Extreme		
2241	Good		
2242	Refined		
2243	Graceful		
2244	Extreme		
2245	Good		
2246	Refined		
2247	Graceful		
2248	Extreme		
2249	Good		
2250	Refined		
2251	Graceful		
2252	Extreme		
2253	Good		
2254	Refined		
2255	Graceful		
2256	Extreme		
2257	Good		
2258	Refined		
2259	Graceful		
2260	Extreme		
2261	Good		
2262	Refined		
2263	Graceful		
2264	Extreme		
2265	Good		
2266	Refined		
2267	Graceful		
2268	Extreme		
2269	Good		
2270	Refined		
2271	Graceful		
2272	Extreme		
2273	Good		
2274	Refined		
2275	Graceful		
2276	Extreme		
2277	Good		
2278	Refined		
2279	Graceful		
2280	Extreme		
2281	Good		
2282	Refined		
2283	Graceful		
2284	Extreme		
2285	Good		
2286	Refined		
2287	Graceful		
2288	Extreme		
2289	Good		
2290	Refined		
2291	Graceful		
2292	Extreme		
2293	Good		
2294	Refined		
2295	Graceful		
2296	Extreme		
2297	Good		
2298	Refined		
2299	Graceful		
2300	Extreme		
2301	Good		
2302	Refined		
2303	Graceful		
2304	Extreme		
2305	Good		
2306	Refined		
2307	Graceful		
2308	Extreme		
2309	Good		
2310	Refined		
2311	Graceful		
2312	Extreme		
2313	Good		
2314	Refined		
2315	Graceful		
2316	Extreme		
2317	Good		
2318	Refined		
2319	Graceful		
2320	Extreme		
2321	Good		
2322	Refined		
2323	Graceful		
2324	Extreme		
2325	Good		
2326	Refined		
2327	Graceful		
2328	Extreme		
2329	Good		
2330	Refined		
2331	Graceful		
2332	Extreme		
2333	Good		
2334	Refined		
2335	Graceful		
2336	Extreme		
2337	Good		
2338	Refined		
2339	Graceful		
2340	Extreme		
2341	Good		
2342	Refined		
2343	Graceful		
2344	Extreme		
2345	Good		
2346	Refined		
2347	Graceful		
2348	Extreme		
2349	Good		
2350	Refined		
2351	Graceful		
2352	Extreme		
2353	Good		
2354	Refined		
2355	Graceful		
2356	Extreme		
2357	Good		
2358	Refined		
2359	Graceful		
2360	Extreme		
2361	Good		
2362	Refined		
2363	Graceful		
2364	Extreme		
2365	Good		
2366	Refined		
2367	Graceful		
2368	Extreme		
2369	Good		
2370	Refined		
2371	Graceful		
2372	Extreme		
2373	Good		
2374	Refined		
2375	Graceful		
2376	Extreme		
2377	Good		
2378	Refined		
2379	Graceful		
2380	Extreme		
2381	Good		
2382	Refined		
2383	Graceful		
2384	Extreme		
2385	Good		
2386	Refined		
2387	Graceful		
2388	Extreme		
2389	Good		
2390	Refined		
2391	Graceful		
2392	Extreme		
2393	Good		
2394	Refined		
2395	Graceful		
2396	Extreme		
2397	Good		
2398	Refined		
2399	Graceful		
2400	Extreme		
2401	Good		
2402	Refined		
2403	Graceful		
2404	Extreme		
2405	Good		
2406	Refined		
2407	Graceful		
2408	Extreme		
2409	Good		
2410	Refined		
2411	Graceful		
2412	Extreme		
2413	Good		
2414	Refined		
