n_ID	s_ACTNAME	s_EXPLAIN_TEXT	s_CONDITIONS
1	Knowledge Master	ใครคือนักอนุรักษ์สมบัติที่ชำนาญที่สุดในโลก?ตอบคำถามให้ถูกในระยะเวลาที่กำหนดสามารถได้รับคะแนน ตอบคำถามถูกต้องต่อเนื่องจะเพิ่มคะแนนมากขึ้น! คลิกลงทะเบียนที่หน้าหลักเพื่อเข้าร่วมการตอบคำถามเลย!	ไม่มี
2	Whac-a-mole	บนเรือมีหนูสกปรกเพ่นพ่าน แถมยังกินเสบียงของเราอีก ยังไม่พอ ยังกัดเรือของเราเสียหาย รีบลงทะเบียนมากำจัดหนูกันเถอะ ดูว่าใครจะได้หนูมากกว่ากัน!	ไม่มี
3	Bejeweled	อัญมณีแวววาวอยู่ตรงหน้า เรียงให้สีเหมือนกันเพื่อทำลาย ก็สามารถได้รับอัญมณีล้ำค่า คลิกลงทะเบียนเพื่อเริ่มเกมกันเลย!	ไม่มี
4	Same	หารูปที่เหมือนกัน และคลิกจับคู่ สามารถทำลายรูปทั้งสองได้! คลอกลงทะเบียนเพื่อนเล่นเกมเลย!	ไม่มี
5	#Take Gold		ไม่มี
6	#Guild War		ไม่มี
7	#Knowledge Puzzle		จะต้องเป็นทีม 6 คน
8	Jigsaw	ลากภาพลงในช่องว่าง เพื่อประกอบรูปให้เหมือนรูปเดิม เล่นมากเท่าไหร่คะแนนก็มากเท่านั้น!	ไม่มี
9			ไม่มี
10	#Gambling Boat Barrel		ไม่มี
11			จำนวนเงินเดิมพันสูงสุด 9999
12	#Follow me		ไม่มี
13			
14	#Pirate Regatta		
15	#Shoot Dish		
16	#Gambling Boat-large or small		จำนวนเงินเดิมพันสูงสุด 9999
17	finger-Guessing		
