n_ID	s_TITLE_BUFF	s_DESCRIPTION	s_CACULATE
1	Sea Mile	ท่านอยู่ในทะเล ไม่สามารถใช้สกิลหรือต่อสู้ได้	
17	debuff_3	debuff_3	
18	debuff_10	debuff_10	
19	debuff_11	debuff_11	
20	Net Power Up	ค่า HP สูงสุด และสเตตัสทั้งหมดของท่านเพิ่มขึ้น 5%	
21	buff_2	buff_2	
22	buff_3	buff_3	
23	buff_4	buff_4	
24	buff_5	buff_5	
25	buff_6	buff_6	
26	buff_7	buff_7	
27	buff_8	buff_8	
28	buff_9	buff_9	
29	buff_10	buff_10	
30	buff_11	buff_11	
31	buff_12	buff_12	
32	buff_13	buff_13	
33	buff_14	buff_14	
34	buff_15	buff_15	
35	buff_16	buff_16	
36	buff_17	buff_17	
37	buff_18	buff_18	
38	buff_19	buff_19	
39	buff_20	buff_20	
40	buff_21	buff_21	
41	debuff_1	debuff_1	
42	debuff_2	debuff_2	
44	debuff_4	debuff_4	
45	debuff_5	debuff_5	
46	debuff_6	debuff_6	
47	debuff_7	debuff_7	
48	debuff_8	debuff_8	
49	debuff_9	debuff_9	
50	debuff_10	debuff_10	
89	Wound Healing	เมื่ออยู่ในสถานะต่อเนื่อง หากโดนโจมตีจะตายทันที!	
101	Losers	ท่านถูกผู้เล่นอื่นฆ่า ท่านแพ้ หากฆ่า Losers จะไม่ได้รางวัล PVP ใดๆ	
104			ADD_DAMMIPHYSICS(1)
140			
144			ADD_DAMPLUS_PHYSICS(1)
162			
182			ADD_AC_PHYSICS(1)
201			
298	 Soul Gather 	สถานะ Soul Gather เมื่อใช้สกิลจะได้รับพลังยิ่งใหญ่	
301	Regenaration	เพิ่มความเร็วในการฟื้นฟูค่าเวทย์ $ADD_RECOVER_STAMINA ในเวลาที่ต่อเนื่อง	ADD_RECOVER_STAMINA(1)
500	Rebirth Protection	ท่านเกิดใหม่ใน Arena ตอนนี้ท่านจะไม่โดนโจมตี	
552	Armor Warship	เสริมพลังป้องกัน ลดความเสียหายที่ได้รับ 50%。	
