n_ID	s_NAME
1	ทรงผม 1; สีผม 1
2	ใบหน้า 1
3	ทรงผม 1; สีผม 1
4	ใบหน้า 1
6	ทรงผม 2; สีผม 1
7	ทรงผม 3; สีผม 1
8	ส่วนหัว 1
9	ส่วนหัว 2
10	ส่วนหัว 3
11	ส่วนหัว 1
12	ส่วนหัว 2
13	ส่วนหัว 3
14	ใบหน้า 2
15	ใบหน้า 3
16	ใบหน้า 1
17	ใบหน้า 2
18	ใบหน้า 3
19	ใบหน้า 1
20	ใบหน้า 2
21	ใบหน้า 3
23	ใบหน้า 2
24	ใบหน้า 3
25	ใบหน้า 1
26	ใบหน้า 2
27	ใบหน้า 3
28	ใบหน้า 1
29	ใบหน้า 2
30	ใบหน้า 3
32	ทรงผม 2; สีผม 1
33	ทรงผม 3; สีผม 1
34	ทรงผม 4; สีผม 1
35	ทรงผม 5; สีผม 1
36	ทรงผม 6; สีผม 1
37	ทรงผม 7; สีผม 1
38	ทรงผม 8; สีผม 1
39	ทรงผม 9; สีผม 1
40	ทรงผม 10; สีผม 1
41	ทรงผม 4; สีผม 1
42	ทรงผม 5; สีผม 1
43	ทรงผม 6; สีผม 1
44	ทรงผม 7; สีผม 1
45	ทรงผม 8; สีผม 1
46	ทรงผม 9; สีผม 1
47	ทรงผม 10; สีผม 1
62	ทรงผม 1; สีผม 2
63	ทรงผม 1; สีผม 3
64	ทรงผม 1; สีผม 4
65	ทรงผม 1; สีผม 5
66	ทรงผม 1; สีผม 6
69	ทรงผม 2; สีผม 2
70	ทรงผม 2; สีผม 3
71	ทรงผม 2; สีผม 4
72	ทรงผม 2; สีผม 5
73	ทรงผม 2; สีผม 6
76	ทรงผม 3; สีผม 2
77	ทรงผม 3; สีผม 3
78	ทรงผม 3; สีผม 4
79	ทรงผม 3; สีผม 5
80	ทรงผม 3; สีผม 6
83	ทรงผม 4; สีผม 2
84	ทรงผม 4; สีผม 3
85	ทรงผม 4; สีผม 4
86	ทรงผม 4; สีผม 5
87	ทรงผม 4; สีผม 6
90	ทรงผม 5; สีผม 2
91	ทรงผม 5; สีผม 3
92	ทรงผม 5; สีผม 4
93	ทรงผม 5; สีผม 5
94	ทรงผม 5; สีผม 6
97	ทรงผม 6; สีผม 2
98	ทรงผม 6; สีผม 3
99	ทรงผม 6; สีผม 4
100	ทรงผม 6; สีผม 5
101	ทรงผม 6; สีผม 6
104	ทรงผม 7; สีผม 2
105	ทรงผม 7; สีผม 3
106	ทรงผม 7; สีผม 4
107	ทรงผม 7; สีผม 5
108	ทรงผม 7; สีผม 6
111	ทรงผม 8; สีผม 2
112	ทรงผม 8; สีผม 3
113	ทรงผม 8; สีผม 4
114	ทรงผม 8; สีผม 5
115	ทรงผม 8; สีผม 6
118	ทรงผม 9; สีผม 2
119	ทรงผม 9; สีผม 3
120	ทรงผม 9; สีผม 4
121	ทรงผม 9; สีผม 5
122	ทรงผม 9; สีผม 6
125	ทรงผม 10; สีผม 2
126	ทรงผม 10; สีผม 3
127	ทรงผม 10; สีผม 4
128	ทรงผม 10; สีผม 5
129	ทรงผม 10; สีผม 6
132	ทรงผม 1; สีผม 2
133	ทรงผม 1; สีผม 3
134	ทรงผม 1; สีผม 4
135	ทรงผม 1; สีผม 5
136	ทรงผม 1; สีผม 6
139	ทรงผม 2; สีผม 2
140	ทรงผม 2; สีผม 3
141	ทรงผม 2; สีผม 4
142	ทรงผม 2; สีผม 5
143	ทรงผม 2; สีผม 6
146	ทรงผม 3; สีผม 2
147	ทรงผม 3; สีผม 3
148	ทรงผม 3; สีผม 4
149	ทรงผม 3; สีผม 5
150	ทรงผม 3; สีผม 6
153	ทรงผม 4; สีผม 2
154	ทรงผม 4; สีผม 3
155	ทรงผม 4; สีผม 4
156	ทรงผม 4; สีผม 5
157	ทรงผม 4; สีผม 6
160	ทรงผม 5; สีผม 2
161	ทรงผม 5; สีผม 3
162	ทรงผม 5; สีผม 4
163	ทรงผม 5; สีผม 5
164	ทรงผม 5; สีผม 6
167	ทรงผม 6; สีผม 2
168	ทรงผม 6; สีผม 3
169	ทรงผม 6; สีผม 4
170	ทรงผม 6; สีผม 5
171	ทรงผม 6; สีผม 6
174	ทรงผม 7; สีผม 2
175	ทรงผม 7; สีผม 3
176	ทรงผม 7; สีผม 4
177	ทรงผม 7; สีผม 5
178	ทรงผม 7; สีผม 6
181	ทรงผม 8; สีผม 2
182	ทรงผม 8; สีผม 3
183	ทรงผม 8; สีผม 4
184	ทรงผม 8; สีผม 5
185	ทรงผม 8; สีผม 6
188	ทรงผม 9; สีผม 2
189	ทรงผม 9; สีผม 3
190	ทรงผม 9; สีผม 4
191	ทรงผม 9; สีผม 5
192	ทรงผม 9; สีผม 6
195	ทรงผม 10; สีผม 2
196	ทรงผม 10; สีผม 3
197	ทรงผม 10; สีผม 4
198	ทรงผม 10; สีผม 5
199	ทรงผม 10; สีผม 6
202	
203	
204	
1001	
1002	
1003	
1004	
1005	
1006	
1007	
1008	
1009	
1010	
1011	
1012	
1013	
1014	
10000	ส่วนหัว 1
10001	ใบหน้า 1; ดวงตา 1
10002	ใบหน้า 1; ดวงตา 2
10003	ใบหน้า 1; ดวงตา 3
10004	ใบหน้า 1; ดวงตา 4
10005	ใบหน้า 1; ดวงตา 5
10021	ใบหน้า 2; ดวงตา 1
10022	ใบหน้า 2; ดวงตา 2
10023	ใบหน้า 2; ดวงตา 3
