n_ID	s_REPLACEMENT	s_ICON
1	ร้องไห้	Icon_Emotion_Cry
2	เขิลอาย	Icon_Emotion_Shy
3	รัก	Icon_Emotion_Love
4	เงิน	Icon_Emotion_Money
5	โกรธ	Icon_Emotion_Angry
6	แฮ๊ปปี้	Icon_Emotion_Happy
7	แอบหัวเราะ	Icon_Emotion_Crafty
8	ตาย	Icon_Emotion_Dead
9	มึน	Icon_Emotion_Faint
10	หวาน	Icon_Emotion_Sweet
11	เสียใจ	Icon_Emotion_Sad
12	เบื่อ	Icon_Emotion_Bored
13	เหนื่อย	Icon_Emotion_Tired
14	กลัว	Icon_Emotion_Scared
15	ตื่นเต้น	Icon_Emotion_Excited
16	XD	Icon_Emotion_XD
17	Orz	Icon_Emotion_Orz
18	สงสัย	Icon_Emotion_Question
19	เท่ห์	Icon_Emotion_Cool
20	ร้อนแรง	Icon_Emotion_Hot
21	ขำขัน	Icon_Emotion_Laugh
22	หนาว	Icon_Emotion_Cold
23	ผีหลอก	Icon_Emotion_Ghost
24	กล้าหาญ	Icon_Emotion_Courage
25	อักอ่วน	Icon_Emotion_Embarrassed
26	หลับ	Icon_Emotion_Sleep
27	คาดหวัง	Icon_Emotion_ EXP ect
28	สุขใจ	Icon_Emotion_Happiness
29	แช่แข็ง	Icon_Emotion_Freeze
30	เลือดไหล	Icon_Emotion_Blood
31	ชัยชนะ	Icon_Emotion_Ya
32	อ้วก	Icon_Emotion_Spew
33	สรรเสริญ	Icon_Emotion_Praise
34	คลั่ง	Icon_Emotion_Furious
35	ปิติ	Icon_Emotion_Joyful
36	ยินดี	Icon_Emotion_Cheerful
37	หดหู่	Icon_Emotion_Despondent
38	ไร้กังวล	Icon_Emotion_Carefree
