n_ID	s_Reward_Explain	s_TITLE	s_Content_1	s_Content_2	s_Content_3	s_Content_4	s_Content_5
1		Sea Phantom	บาปกำเนิดคือ [โลภะ] นิสัยเย็นชา หยิ่งผยอง และไม่แคร์คนอื่น	เรือธงของเขาเป็นเรือกระโหลก เดี๋ยวปรากฎตัว เดี๋ยวหายวับเหมือนผีสาง ไม่มีใครรู้ถึงเส้นทางเขามันได้	เขามีพลังของโพไซดอน ดั่งเสือคลั่งติดปีก ล่าสมบัติมาแล้วทุกทิศทาง ไม่มีใครหยุดเขาได้	เขาเป็นกัปตันด้านมืด เพื่อสมบัติแล้วเขาจะไม่คิดถึงเรื่องใดๆทั้งสิ้น	ตำนานกล่าวว่าเขาเคยเป็นกาดิเอเตอร์มาก่อน แต่ประวัติที่แท้จริงของเขาไม่อาจมีใครรู้ได้
2		Nelson	บาปกำเนิดคือ [โทสะ] แต่เขาไม่ใช่คนที่โมโหไปเรื่อยเปื่อย เขาจะโกรธเกี้ยวในเรื่องที่จริงจังเท่านั้น	เข้าเกิดในตระกูลราชวงศ์แห่ง Atlantis และด้วยความที่เป็นคนเก่งด้านการสงครามจึงได้เป็นผู้บัญชาการทหารเรือราชวงค์	ความสามารถของเขายอดเยี่ยม เป็นคนทะเยอทะยาน แม้แต่ราชาแห่ง Atlantis ก็ยังนับถือเขา	อยู่ในใจกลาง Atlantis ไม่แปลกใจเลยที่ทุกคนชื่นชอบเขา	เขามีสุนทรียศาสตร์กล้าหาญ ไม่ชอบหน้าคนชั่ว เป็นศัตรูกับโจรสลัด เรือธงของเขาคือ Intrepid
3		Odyssey	บาปกำเนิดคือ [อัตตา] นับถือตนเอง มีนิสัยที่ไม่เคยยอมรับความพ่ายแพ้ และเธอจะไม่ยอมให้ใครมาแกล้งเธอได้อย่างแน่นอน	เกิดที่เกาะยากไร้เล็กๆแห่งหนึ่งใน Outer Space Ocean เป็นคนที่โหยหาอิสระ เธอไม่ชอบให้ใครมาบังคับตั้งแต่เด็ก	เธอเป็นกัปตันเรือโจรสลัด Ulysses เธอมีพรสวรรค์ผู้นำ แต่ก็มีคนบอกว่าเธอหยิ่งอยู่นะ	มีครั้งหนึ่งที่ทำให้เรือเธออับปาง เนื่องจาก Jason หักหลังเธอ จากนั้นเธอจึงไม่ไว้ใจใครอีกเลย	เรื่องที่เล่าต่อๆ กันมาในมหาสมุทร กล่าวว่าเธอเป็นแม่มดโจรสลัดที่ดูดเลือดเป็นอาหาร แต่นั่นอาจเป็นตำนานไว้ข่มขู่พวกทหารเรือก็เป็นได้
4		Plato	บาปกำเนิดคือ [ตระกะ] เธอชื่นชอบในการใฝ่หาความรู้ คำปฏิญาณของเธอจะกลืนกินความรู้ทุกอย่างในโลก	เธอมักวางท่าว่าเธอเก่งกาจ และมองว่าทุกคนเป็นไอ้โง่	เธอขึ้นเป็นนายกฯ ตัวแต่ยังอายุ 15 เป็นคนแรกที่มีพรสวรรค์ที่สุดใน  Atlantis 	เธออยากจะทำให้โลกนี้กลายเป็นยูโทเปียของเธอ คือทุกคนต้องอยู่ใต้คำบังคับบัญชาของเธอตลอด	เธอเป็นคนรู้รอบ เก่งในด้านคิดคำนวน ไม่ว่าเธอจะคิดผิดยังไงเธอก็ต้องเถียงให้ถูกอยู่ดี
5		Jason	บาปกำเนิดคือ [ราคะ] เขาเป็นพวกหื่นกาม เห็นสาวสวยเป็นไม่ได้	ความความทะเยอทะยานของเขา มีอิธิพลต่อท้องสมุทรเท่านี้ยังไม่พอ เขายังชอบทำให้ใครๆหลายๆคนผิดหวัง	เขาเคยเป็นรองกัปตันของเรือโจรสลัด Ulysses เนื่องจากหลงรัก Odyssey และโดนปฏิเสธ จึงหักหลังเธอ	ความสำเร็จครั้งยิ่งใหญ่ของเขาคือ การขับไล่ทหารเรือที่ท่าเรือทางตะวันออก และอุปโลกน์ตนเองว่าเป็นราชาโจรสลัด	เขาคิดว่าตัวเขาเองไม่มีที่ติ แต่ใครๆก็รู้ แม้กระทั่งลูกเรือของเขายังรู้เลยว่าเขาเป็นคนกลัว Medea เมียของเขามาก
6		Medea	บาปกำเนิดคือ [ริษยา] ในจิตใจดั่งมีไฟเดือดดาลอยู่ตลอด นางไม่ชอบให้ใครมายิ่งใหญ่กว่าหรือสวยไปกว่านาง	นางเป็นลูกเรือของ [กลุ่มโจรสลัด Ulysses] และหักหลัง Odyssey เนื่องจาก Odyssey เธอนางรักกว่านาง	นางมีพลังเวทย์มนต์แข็งกล้า การต่อสู้ที่ท่าเรือทางตะวันออกครั้งนั้น หากไม่มีนาง Jason ทำไม่สำเร็จอย่างแน่นอน	นางไม่ชอบออกไปเดินเตร็ดเตร่ นางจะอยู่ควบคุมที่ Poseidon Hall แม้แต่ Jason ยังต้องทำตามคำสั่งของนาง	ด้วยความรักแล้ว นางยอมทำทุกอย่างบนโลกนี้
7		Drake	บาปกำเนิดคือ [เกียจคร้าน] เป็นคนเฉื่อยแฉะละเลย ไม่ชอบความท้าทาย และขี้เกียด เรื่องที่เขาชื่นชอบที่สุดคือการนอนเฉยๆ	เขาเป็นโจรอากาศอิสระ ไม่มีใครคอยสั่ง ท้องฟ้านั่นล่ะคือพื้นดินของเขา	เขาไม่สนใจในอำนาจและสมบัติ เขาสนใจแค่ผู้หญิงสวยๆเท่านั้น และเขาก็เป็นที่ชื่นชอบของหญิงเหล่านั้นด้วย	ตำนวนกล่าวว่า เขาเกิดที่ Lost Eden เป็นผู้ลี้ภัยจากเมืองท้องฟ้า และมีเลือดผสมของราชา	ในกลุ่ม Drake Hijack ลูกเรือกว่าครึ่งเป็นผู้หญิง และพวกเธอแทบทุกคนก็หลงรักเขา
8		Siren	ในตำนานเหล่ากะลาสี เธอคือปีศาจที่น่ากลัวที่สุดในมหาสมุทร หากไม่พอใจอะไรใครสามารถคว่ำเรือลำนั้นได้ในพริบตาเลยหล่ะ	ในนิทานการสร้างโลก เธอคือธิดาของเทพแห่งท้องทะเล	เธอดูแลในเรื่องความสมดุลของโลกแห่งทะเล มีชีวิตอมตะ ไม่แก่และไม่ตาย	เธอมีนิสัยที่บริสุทธิ์ผุดผ่อง ในขณะเดียวกันเธอก็ง๊องแง๊งเหมือนเด็ก ไม่ค่อยรู้เรื่องทางด้านโลกเท่าไหร่	เธอพยายามฝึกฝนทุกวัน หวังว่าวันหนึ่งสามารถคิดวิธีช่วยโลกฝบนี้ได้
9		Rosemary	ถึงแม้ว่าจะเป็นเจ้าหญิงแห่ง Atlantis แต่ความฝันของเธอคือการได้ครองรักกับนักเดินเรือธรรมดาๆทั่วไปที่พร้อมจะออกผจญโลกกว้างไปด้วยกัน	เธอเป็นน้องฝาแฝดของ Angelina ไม่มีความคิดที่แน่วแน่เป็นของตัวเอง เธอเชื่อฟังคำสั่งของพี่สาวเธอตลอด	เธอไว้ใจและทำตามคำสั่งของ Nelson ตลอดมา แม้ว่าจะโดนผู้คนกล่าวหาว่าเป็นหุ่นเชิดก็ตาม เธอก็ไม่ได้ใส่ใจเลยแม้แต่น้อย	เธอเป็นคนที่ไม่ค่อยเก่งเท่าไหร่นัก ไม่ชอบใช้ความสามารถ และไม่ชอบการคิด สิ่งที่เธอชอบทำมากที่สุดคือการนั่งเหม่อ	เป็นหนึ่งในทายาทของอาณาจักร ทำให้พ่อของเธอหนักใจเป็นอย่างยิ่ง อาณาจักร Atlantis อาจจะล่มสลายด้วยน้ำมือของเธอก็เป็นได้
10		Angelina	ดูเหมือนเป็นผู้หญิงที่อ่อนแอ แต่ภายในมีความคิดแค้น และมีสายเลือดของโจรสลัด	เธอเป็นพี่ฝาแฝดของ Rosemary ถึงแม้ว่าจะใช้ให้น้องทำนู่นทำนี่ทั้งวัน แต่เธอก็รักน้องเธอมาก	ทุกคนไว้วางใจให้เธอได้เป็นผู้ปกครองเมือง Atlantis ในภายภาคหน้า	แต่ที่น่าตกใจคือการถูก Sea Phantom ลักพาตัวไป เป็นความใฝ่ฝันของเธอเลยล่ะ	เพื่อความรักแล้วเธอสามารถเสียสละได้ทุกสิ่ง ไม่ว่าสิ่งนั้นจะสำคัญไปกว่าการเป็นเจ้าหญิงก็ตาม
