n_ID	s_TITLE	s_TIP
1	Success Rate	เมื่อหลอมผลึก เพิ่มอัตราสำเร็จ 30%
2	กระโดด VIP	สามารถใช้กระโดด VIP สามารถกระโดดได้สูงมากๆ!
3	กระโดด VIP	สามารถใช้กระโดด VIP สามารถกระโดดได้สูงมากๆ!
4	Refined Guarantee	เพิ่มจำนวนประกันการหลอม
5	กระโดด VIP	สามารถใช้กระโดด VIP สามารถกระโดดได้สูงมากๆ!
8	EXP Stone Lv.1( Element Exchange)	Exp ที่ได้จากการต่อสู้ +2%
9	EXP Stone Lv.2( Element Exchange)	Exp ที่ได้จากการต่อสู้ +4%
10	EXP Stone Lv.3( Element Exchange)	Exp ที่ได้จากการต่อสู้ +6%
11	EXP Stone Lv.4( Element Exchange)	Exp ที่ได้จากการต่อสู้ +8%
12	EXP Stone Lv.5( Element Exchange)	Exp ที่ได้จากการต่อสู้ +10%
13	Skill Stone Lv.1( Element Exchange)	แต้มสกิลที่ได้จากการต่อสู้ +2%
14	Skill Stone Lv.2( Element Exchange)	แต้มสกิลที่ได้จากการต่อสู้ +4%
15	Skill Stone Lv.3( Element Exchange)	แต้มสกิลที่ได้จากการต่อสู้ +6%
16	Skill Stone Lv.4( Element Exchange)	แต้มสกิลที่ได้จากการต่อสู้ +8%
17	Skill Stone Lv.5( Element Exchange)	แต้มสกิลที่ได้จากการต่อสู้ +10%
73	Growing Soul Lv.1	EXP ที่ได้จากการต่อสู้ +2%
74	Growing Soul Lv.2	EXP ที่ได้จากการต่อสู้ +4%
75	Growing Soul Lv.3	EXP ที่ได้จากการต่อสู้ +6%
76	Growing Soul Lv.4	EXP ที่ได้จากการต่อสู้ +8%
77	Growing Soul Lv.5	EXP ที่ได้จากการต่อสู้ +10%
78	Growing Soul Lv.6	EXP ที่ได้จากการต่อสู้ +12%
79	Growing Soul Lv.7	EXP ที่ได้จากการต่อสู้ +14%
80	Growing Soul Lv.8	EXP ที่ได้จากการต่อสู้ +16%
81	Growing Soul Lv.9	EXP ที่ได้จากการต่อสู้ +18%
82	Growing Soul Lv.10	EXP ที่ได้จากการต่อสู้ +20%
85	Bag Hire	ได้รับบริการเช่ากระเป๋า 40 ช่อง
86	Lucky Strengthen	การตีบวกครั้งต่อไป มีโอกาสได้รับLucky Strengthen
