n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
1	Experience Sword Soul	ขอบขวัญที่ผู้เชี่ยวชาญให้ มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
2	Create Character Blade			
3	Create Character Hammer			
4	Create Character Shield			
5	Create Character Pumice			
6	Create Character Short Gun			
7	Create Character Rabbit			
8	Create Character Staff			
9	Sword Soul	Sword Soul ที่หาซื้อได้จากร้านค้า มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น: 10	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
10	Sword Soul	Sword Soul ที่ตีบวกถึงขั้นสูงสุด แต่ว่านานแล้วที่ไม่ใช้มัน จะต้องใช้คนที่มีความสามารถมาฟื้นฟูมัน แต่ก็อาจอยู่ได้แค่ 3 ชั่วโมงเท่านั้น	ค่าตีบวกของSword Soulที่สวมใส่อยู่จะช่วยให้อาวุธมีพลังมากขึ้น!(เลเวลตีบวกของอาวุธไม่สามารถเยอะไปกว่าจำนวนสูงสุดของเลเวลตีบวกสูงสุดของอาวุธได้)	
11	High Sword Soul	มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น: 15\nเมื่อตีบวก Sword Soul ถึงเลเวล 16 แล้ว เมื่อใช้สกิลจะมีโอกาสได้รับค่าถดถอย 1 แต้ม เมื่อค่าถดถอยถึง 100 แต้ม Sword Soul จะถูกลดเลเวลลงมา 1 เลเวล สามารถใช้ [Energy Crystal] มาฟื้นฟูค่าถดถอยได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
12	High Sword Soul	มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น：15\nเมื่อตีบวก Sword Soul ถึงเลเวล 16 แล้ว เมื่อใช้สกิลจะมีโอกาสได้รับค่าถดถอย 1 แต้ม เมื่อค่าถดถอยถึง 100 แต้ม Sword Soul จะถูกลดเลเวลลงมา 1 เลเวล สามารถใช้ [Energy Crystal] มาฟื้นฟูค่าถดถอยได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
13	God Sword Soul	มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น：20\nเมื่อตีบวก Sword Soul ถึงเลเวล 16 แล้ว เมื่อใช้สกิลจะมีโอกาสได้รับค่าถดถอย 1 แต้ม เมื่อค่าถดถอยถึง 100 แต้ม Sword Soul จะถูกลดเลเวลลงมา 1 เลเวล สามารถใช้ [Energy Crystal] มาฟื้นฟูค่าถดถอยได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
14	God Sword Soul	มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น：20\nเมื่อตีบวก Sword Soul ถึงเลเวล 16 แล้ว เมื่อใช้สกิลจะมีโอกาสได้รับค่าถดถอย 1 แต้ม เมื่อค่าถดถอยถึง 100 แต้ม Sword Soul จะถูกลดเลเวลลงมา 1 เลเวล สามารถใช้ [Energy Crystal] มาฟื้นฟูค่าถดถอยได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
15	Holy Sword Soul	มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น：25\nเมื่อตีบวก Sword Soul ถึงเลเวล 16 แล้ว เมื่อใช้สกิลจะมีโอกาสได้รับค่าถดถอย 1 แต้ม เมื่อค่าถดถอยถึง 100 แต้ม Sword Soul จะถูกลดเลเวลลงมา 1 เลเวล สามารถใช้ [Energy Crystal] มาฟื้นฟูค่าถดถอยได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
