n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
1	Admiral-Headdress	ชุดระดับต้นของอาชีพ Sharpshooter		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
2	Admiral-Armor	ชุดระดับต้นของอาชีพ Sharpshooter		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
3	Admiral-Legging	ชุดระดับต้นของอาชีพ Sharpshooter		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
4	Splendid Yuppie-Headdress	ชุดระดับสูงของอาชีพ Sharpshooter		เปิด Expert Class Capsule จะมีโอกาสได้รับ
5	Splendid Yuppie-Armor	ชุดระดับสูงของอาชีพ Sharpshooter		เปิด Expert Class Capsule จะมีโอกาสได้รับ
6	Splendid Yuppie-Legging	ชุดระดับสูงของอาชีพ Sharpshooter		เปิด Expert Class Capsule จะมีโอกาสได้รับ
7	Round Red Day-Headdress	สีแดงดั่งดวงตะวันทอแสง		เปิด Arcane Capsule จะมีโอกาสได้รับ
8	Round Red Day-Armor	สีแดงดั่งดวงตะวันทอแสง		เปิด Arcane Capsule จะมีโอกาสได้รับ
9	Round Red Day-Legging	สีแดงดั่งดวงตะวันทอแสง		เปิด Arcane Capsule จะมีโอกาสได้รับ
10	Flying Eagle-Headdress	เมื่อใส่แล้ว ดั่งลอยล่องอยู่กลางมหาสมุทร		เปิด Glory Capsule จะมีโอกาสได้รับ
11	Flying Eagle-Armor	เมื่อใส่แล้ว ดั่งลอยล่องอยู่กลางมหาสมุทร		เปิด Glory Capsule จะมีโอกาสได้รับ
12	Flying Eagle-Legging	เมื่อใส่แล้ว ดั่งลอยล่องอยู่กลางมหาสมุทร		เปิด Glory Capsule จะมีโอกาสได้รับ
13	Sailor Suit-Headdress	ชุดระดับต้นของอาชีพ Solar Priest		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
14	Sailor Suit-Armor	ชุดระดับต้นของอาชีพ Solar Priest		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
15	Sailor Suit-Legging	ชุดระดับต้นของอาชีพ Solar Priest		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
16	Elegant England-Headdress	ยามบ่ายแบบนี้ ของว่างแบบไหนจะทำให้คนดูหรูหราได้อีก		เปิด Arcane Capsule จะมีโอกาสได้รับ
17	Elegant England-Armor	ยามบ่ายแบบนี้ ของว่างแบบไหนจะทำให้คนดูหรูหราได้อีก		เปิด Arcane Capsule จะมีโอกาสได้รับ
18	Elegant England-Legging	ยามบ่ายแบบนี้ ของว่างแบบไหนจะทำให้คนดูหรูหราได้อีก		เปิด Arcane Capsule จะมีโอกาสได้รับ
19	Sentimental Scout-Headdress	ชุดระดับสูงของอาชีพ Solar Priest		เปิด Expert Class Capsule จะมีโอกาสได้รับ
20	Sentimental Scout-Armor	ชุดระดับสูงของอาชีพ Solar Priest		เปิด Expert Class Capsule จะมีโอกาสได้รับ
21	Sentimental Scout-Legging	ชุดระดับสูงของอาชีพ Solar Priest		เปิด Expert Class Capsule จะมีโอกาสได้รับ
22	Soul Tutor-Headdress	นักผจญภัยที่หายตัวไป จงหลับให้สบายในคำอวยพรของข้าเถิด		เปิด Glory Capsule จะมีโอกาสได้รับ
23	Soul Tutor-Armor	นักผจญภัยที่หายตัวไป จงหลับให้สบายในคำอวยพรของข้าเถิด		เปิด Glory Capsule จะมีโอกาสได้รับ
24	Soul Tutor-Legging	นักผจญภัยที่หายตัวไป จงหลับให้สบายในคำอวยพรของข้าเถิด		เปิด Glory Capsule จะมีโอกาสได้รับ
25	Pirate Attire-Headdress	ชุดระดับต้นของอาชีพ Gladiator		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
26	Pirate Attire-Armor	ชุดระดับต้นของอาชีพ Gladiator		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
27	Pirate Attire-Legging	ชุดระดับต้นของอาชีพ Gladiator		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
28	Impossible Blue Sky-Headdress	ชุดระดับสูงของอาชีพ Gladiator		เปิด Expert Class Capsule จะมีโอกาสได้รับ
29	Impossible Blue Sky-Armor	ชุดระดับสูงของอาชีพ Gladiator		เปิด Expert Class Capsule จะมีโอกาสได้รับ
30	Impossible Blue Sky-Legging	ชุดระดับสูงของอาชีพ Gladiator		เปิด Expert Class Capsule จะมีโอกาสได้รับ
31	Fury Wild Tiger-Headdress	มันไม่ใช่แต่ภายนอก มันเข้าถึงจิตวิญญาณ		เปิด Glory Capsule จะมีโอกาสได้รับ
32	Fury Wild Tiger-Armor	มันไม่ใช่แต่ภายนอก มันเข้าถึงจิตวิญญาณ		เปิด Glory Capsule จะมีโอกาสได้รับ
33	Fury Wild Tiger-Legging	มันไม่ใช่แต่ภายนอก มันเข้าถึงจิตวิญญาณ		เปิด Glory Capsule จะมีโอกาสได้รับ
34	Glory Army Of Light-Headdress	ชุดที่เทพเคยใส่มาก่กอน ผู้มีเกียรติเท่านั้นที่จะครอบครองมัน		เปิด Old Capsule จะมีโอกาสได้รับ
35	Glory Army Of Light-Armor	ชุดที่เทพเคยใส่มาก่กอน ผู้มีเกียรติเท่านั้นที่จะครอบครองมัน		เปิด Old Capsule จะมีโอกาสได้รับ
36	Glory Army Of Light-Legging	ชุดที่เทพเคยใส่มาก่กอน ผู้มีเกียรติเท่านั้นที่จะครอบครองมัน		เปิด Old Capsule จะมีโอกาสได้รับ
37	Knight Soldier-Headdress	ชุดระดับต้นของอาชีพ Knight		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
38	Knight Soldier-Armor	ชุดระดับต้นของอาชีพ Knight		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
39	Knight Soldier-Legging	ชุดระดับต้นของอาชีพ Knight		เปิด Beginner Class Capsule จะมีโอกาสได้รับ
40	Royal Officer-Headdress	ชุดระดับสูงของอาชีพ Knight		เปิด Expert Class Capsule จะมีโอกาสได้รับ
41	Royal Officer-Armor	ชุดระดับสูงของอาชีพ Knight		เปิด Expert Class Capsule จะมีโอกาสได้รับ
42	Royal Officer-Legging	ชุดระดับสูงของอาชีพ Knight		เปิด Expert Class Capsule จะมีโอกาสได้รับ
43	Heavy Armor Priest-Headdress	กายของเราสามารถฝึกได้ ข้าจะต้องพยายาม		เปิด Glory Capsule จะมีโอกาสได้รับ
