n_ID	s_TIP_SUBJECT	s_TIP_WORDS
1	Crack Spacetime	เหมาะกับเลเวล 30~38
2	Crack Spacetime	เหมาะกับเลเวล 30~38
3	Crack Spacetime	เหมาะกับเลเวล 40~48
4	Crack Spacetime	เหมาะกับเลเวล 40~48
5	Crack Spacetime	เหมาะกับเลเวล 50~58
6	Crack Spacetime	เหมาะกับเลเวล 50~58
7	Crack Spacetime	เหมาะกับเลเวล 50~58
8	Crack Spacetime	เหมาะกับเลเวล 50~58
9	Crack Spacetime	เหมาะกับเลเวล 60~68
10	Crack Spacetime	เหมาะกับเลเวล 60~68
11	Crack Spacetime	เหมาะกับเลเวล 60~68
12	Crack Spacetime	เหมาะกับเลเวล 60~68
13	Crack Spacetime	เหมาะกับเลเวล 70~78
14	Crack Spacetime	เหมาะกับเลเวล 70~78
15	Crack Spacetime	เหมาะกับเลเวล 70~78
16	Crack Spacetime	เหมาะกับเลเวล 70~78
17	Crack Spacetime	เหมาะกับเลเวล 70~78
18	Crack Spacetime	เหมาะกับเลเวล 70~78
19	Crack Spacetime	เหมาะกับเลเวล 80~88
20	Crack Spacetime	เหมาะกับเลเวล 80~88
21	Crack Spacetime	เหมาะกับเลเวล 80~88
99998	Crack Spacetime	ใช้ทดสอบ
99999	Crack Spacetime	ใช้ทดสอบ
