n_ID	s_TITLE	s_CONTENT	s_ITEM_TEXT_1	s_ITEM_TEXT_2	s_ITEM_TEXT_3	s_ITEM_TEXT_4	s_ITEM_TEXT_5	s_ITEM_TEXT_6	s_ITEM_TEXT_7	s_ITEM_TEXT_8	s_ITEM_TEXT_9	s_ITEM_TEXT_10
1	หมักเหล้า	เมื่อตัวละครเลเวล 30 สามารถไปที่ [52300001] หา <text style="101" path="624">[52500624]</text> เพื่อส่งภารกิจ จากนั้นสามารถเปิดคลังเหล้าได้จาก <text style="101" path="624">[52500624]</text> เตรียมวัตถุดิบให้พร้อม แล้วมาหมักเหล้าชนิดต่างๆ สามารถได้รับพลังและค่าประสบการณ์เพิ่มอีกด้วย! 	สูตรหมักเหล้าระดับสูง จะต้องหาวิธีเพื่อที่จะเอามันมาให้ได้	สูตรหมักเหล้าระดับสูง จะต้องหาวิธีเพื่อที่จะเอามันมาให้ได้	สูตรหมักเหล้าระดับสูง จะต้องหาวิธีเพื่อที่จะเอามันมาให้ได้	สูตรหมักเหล้าระดับสูง จะต้องหาวิธีเพื่อที่จะเอามันมาให้ได้						
2	ตีบวก	เมื่อตัวละครเลเวล 31 สามารถไปที่ [52300001] หา <text style="101" path="797">[52500797]</text> เขาจะอธิบายเกี่ยวกับการตีบวกให้ท่าน	เพียงแค่ใส่ Sword Soul ที่ตีบวกแล้ว ไม่ว่าจะเป็นอาวุธอะไรก็มีประโยชน์มาก									
3	ถาดหลอมผลึก	เมื่อตัวละครเลเวล 31 สามารถไปที่ [52300001] หา <text style="101" path="799">[52500799]</text> เพื่ออ่านคำอธิบายเกี่ยวกับถาดหลอมผลึกและไอเทมอื่นๆที่เกี่ยวข้อง	เพียงแค่ใช้หัวใจ ทุกคนก็สามารถได้รับผลึกคุณภาพสูงในการฝังประดับได้	เพียงแค่ใช้หัวใจ ทุกคนก็สามารถได้รับผลึกคุณภาพสูงในการฝังประดับได้	เพียงแค่ใช้หัวใจ ทุกคนก็สามารถได้รับผลึกคุณภาพสูงในการฝังประดับได้	เพียงแค่ใช้หัวใจ ทุกคนก็สามารถได้รับผลึกคุณภาพสูงในการฝังประดับได้						
4	การเดินเรือ	เมื่อตัวละครเลเวลถึง 30 และทำภารกิจ <text style="101" path="183">[52500183]</text> แล้ว จะได้รับเรือ สามารถเริ่มการเดินเรือได้										
5	ผสมสัตว์เลี้ยง	เมื่อตัวละครเลเวล 55 สามารถไปที่ [52300001] หา <text style="101" path="798">[52500798]</text> เพื่อฟังคำอธิบายเกี่ยวกับการผสมและไอเทมอื่นๆที่เกี่ยวข้องได้	จะต้องเสียสละสัตว์เลี้ยง 2 ตัวที่ไม่เหมือนกัน จึงจะมีโอกาสได้รับ	จะต้องเสียสละสัตว์เลี้ยง 3 ตัวที่ไม่เหมือนกัน จึงจะมีโอกาสได้รับ	จะต้องเสียสละสัตว์เลี้ยง 4 ตัวที่ไม่เหมือนกัน จึงจะมีโอกาสได้รับ							
6	หลอมซ้ำ	เมื่อตัวละครเลเวล 80 สามารถไปที่ [52300001] หา<text style="101" path="800">[52500800]</text> เขาจะอธิบายเกี่ยวกับการหลอมซ้ำให้ท่านฟัง!										
7	ย้อมสีเครื่องสวมใส่	เมื่อตัวละครเลเวล 16 สามารถไปที่ [52300001] หา <text style="101" path="801">[52500801]</text>  เขาจะอธิบายเกี่ยวกับการย้อมสีให้ท่านฟัง!	Color Paint จะต้องซื้อใน Guild Island เท่านั้น									
8	เหาะเหิน	ในแต่ละฉากจะมี <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text> จากการเหาะเหินต่างกัน หากทำสำเร็จจะได้รับ EXP จำนวนมาก~										
9	Sky Dragon Trader	เงินเยอะจนไม่รู้จะเอาไปทำอะไรใช้ไหม? ไปหา [52500834] เพื่อซื้อของสิ! เมื่อซื้อได้จำนวนหนึ่ง จะได้รับ EXP <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text> เป็นรางวัลด้วยนะ!										
10	หมักเหล้า-ความสำเร็จ	นอกจากจะเพิ่ม BUFF แล้ว ในการหมักเหล้าจะได้รับค่าประสบการณ์ <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text> อีกด้วยงั้นเหรอ？										
