n_ID	s_NAME	s_TIP
1	Newborn	หลักฐานการออกจาก Desert Island สำเร็จ
2	Saint	ฆ่าไม่ตาย
3	Every Day Auction	ทดสอบ3
4	Drug Pot	หากยังมีน้ำบนตัวข้า ข้าก็ไม่ต่ายง่ายๆหรอก!
5	Strong	
6	My companion are so many	
7	Singled Al Timo	
8	9509 Killer	ทดสอบ8
9	9510 Killer	ทดสอบ9
10	9511 Killer	ทดสอบ10
11	9512 Killer	ทดสอบ11
12	Achievement 12 Complete	Achievement 12
13	Achievement 13 Complete	Achievement 13
14	Achievement 14 Complete	Achievement 14
15	Achievement 15 Complete	Achievement 15
16	Achievement 16 Complete	Achievement 16
17	Achievement 17 Complete	Achievement 17
18	Achievement 18 Complete	Achievement 18
19	Achievement 19 Complete	Achievement 19
20	Achievement 20 Complete	Achievement 20
21	Achievement 21 Complete	Achievement 21
22	Achievement 22 Complete	Achievement 22
23	Achievement 23 Complete	Achievement 23
24	Achievement 24 Complete	Achievement 24
25	Achievement 25 Complete	Achievement 25
26	Achievement 26 Complete	Achievement 26
27	Achievement 27 Complete	Achievement 27
28	Achievement 28 Complete	Achievement 28
29	Achievement 29 Complete	Achievement 29
30	Achievement 30 Complete	Achievement 30
31	Achievement 31 Complete	Achievement 31
32	Achievement 32 Complete	Achievement 32
33	Achievement 33 Complete	Achievement 33
34	Achievement 34 Complete	Achievement 34
35	Achievement 35 Complete	Achievement 35
36	Achievement 36 Complete	Achievement 36
37	Achievement 37 Complete	Achievement 37
38	Achievement 38 Complete	Achievement 38
39	Achievement 39 Complete	Achievement 39
40	Achievement 40 Complete	Achievement 40
1001	New Recruits	
1002	Seeking a team	
1053	Forever Endure	
1106	Drug Pot	หากยังมีน้ำบนตัวข้า ข้าก็ไม่ต่ายง่ายๆหรอก!
1107	Saint	ฆ่าไม่ตาย
1202	Exile Island King	ฆ่าไม่ตาย
1203	Paradise Island King	ฆ่าไม่ตาย
1206	Ocean City King	ฆ่าไม่ตาย
1208	Silver Harbour King	
1211	Volcano Island King	
1213	Sunset City King	
1252	Conquer Port Royal 	
1254	Conquer Exile Island	
1256	Conquer Paradise Island	
1258	Conquer Slave Island	
1260	Conquer Evil Port 	
1262	Conquer Ocean City	
1304	Sky Supremacy	
1403	Economy Prosperity Committee	
2202	Sinner	
2203	Beheaded 1000	
2204	Gutman	
2704	Winner Champion	
2707	Arena Ares	
2710	Legend Warrior	
2715	Army Chief	
2806	Reviving	
4201	Wilderness Bartender	
4205	In wine there is truth	
4209	Drank Drank Drunk	
4305	Big spender	
5005	My companion are so many	
6001	CB Pirates King	
6051	Halloween Pumpkin King	
6101	In The Dark Island	
6102	Far exceed one's power	
6151	White Christmas	
6152	Santa Claus	
9980	Title 1	ใช้ทดสอบ Title 1
9981	Title 2	ใช้ทดสอบ Title 2
9982	Title 3	ใช้ทดสอบ Title 3
9983	Title 4	ใช้ทดสอบ Title 4
9984	Title 5	ใช้ทดสอบ Title 5
9985	Title 6	ใช้ทดสอบ Title 6
9986	Title 7	ใช้ทดสอบ Title 7
9987	Title 8	ใช้ทดสอบ Title 8
9988	Title 9	ใช้ทดสอบ Title 9
9989	Title 10	ใช้ทดสอบ Title 10
9990	Title 11	ใช้ทดสอบ Title 11
9991	Title 12	ใช้ทดสอบ Title 12
9992	Title 13	ใช้ทดสอบ Title 13
9993	Title 14	ใช้ทดสอบ Title 14
9994	Title 15	ใช้ทดสอบ Title 15
9995	Title 16	ใช้ทดสอบ Title 16
9996	Title 17	ใช้ทดสอบ Title 17
9997	Title 18	ใช้ทดสอบ Title 18
9998	Title 19	ใช้ทดสอบ Title 19
9999	Title 20	ใช้ทดสอบ Title 20
