n_ID	s_GUILDSKILL_TYPE_NAME	s_GUILDSKILL_NAME	s_GUILDSKILL_EXPLAIN
1	อัตราดรอปของในการต่อสู้	+1%	เมื่อการต่อสู้จบ อัตราการดรอป +1%
3	อัตราดรอปของในการต่อสู้	+2%	เมื่อการต่อสู้จบ อัตราการดรอป +2%
5	อัตราดรอปของในการต่อสู้	+3%	เมื่อการต่อสู้จบ อัตราการดรอป +3%
7	อัตราดรอปของในการต่อสู้	+4%	เมื่อการต่อสู้จบ อัตราการดรอป +4%
9	อัตราดรอปของในการต่อสู้	+5%	เมื่อการต่อสู้จบ อัตราการดรอป +5%
10	ค่า EXP ในการต่อสู้	+1%	เมื่อการต่อสู้จบ ได้รับค่า EXP +1%
11	ค่า EXP ในการต่อสู้	+2%	เมื่อการต่อสู้จบ ได้รับค่า EXP +2%
12	ค่า EXP ในการต่อสู้	+3%	เมื่อการต่อสู้จบ ได้รับค่า EXP +3%
13	ค่า EXP ในการต่อสู้	+4%	เมื่อการต่อสู้จบ ได้รับค่า EXP +4%
14	ค่า EXP ในการต่อสู้	+6%	เมื่อการต่อสู้จบ ได้รับค่า EXP +6%
15	ค่า EXP ในการต่อสู้	+7%	เมื่อการต่อสู้จบ ได้รับค่า EXP +7%
16	ค่า EXP ในการต่อสู้	+8%	เมื่อการต่อสู้จบ ได้รับค่า EXP +8%
17	ค่า EXP ในการต่อสู้	+9%	เมื่อการต่อสู้จบ ได้รับค่า EXP +9%
18	ค่า EXP ในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับค่า EXP +10%
19	แต้มสกิลในการต่อสู้	+1%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +1%
20	แต้มสกิลในการต่อสู้	+2%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +2%
21	แต้มสกิลในการต่อสู้	+3%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +3%
22	แต้มสกิลในการต่อสู้	+4%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +4%
23	แต้มสกิลในการต่อสู้	+5%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +5%
24	แต้มสกิลในการต่อสู้	+6%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +6%
25	แต้มสกิลในการต่อสู้	+8%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +8%
26	แต้มสกิลในการต่อสู้	+9%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +9%
27	แต้มสกิลในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +10%
28	ค่าความดีในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับค่าความดี +10%
30	ค่าความดีในการต่อสู้	+20%	เมื่อการต่อสู้จบ ได้รับค่าความดี +20%
32	ค่าความดีในการต่อสู้	+30%	เมื่อการต่อสู้จบ ได้รับค่าความดี +30%
34	ค่าความดีในการต่อสู้	+40%	เมื่อการต่อสู้จบ ได้รับค่าความดี +40%
36	ค่าความดีในการต่อสู้	+50%	เมื่อการต่อสู้จบ ได้รับค่าความดี +50%
37	ค่าความสนิทเพื่อน	+5%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +5%
39	ค่าความสนิทเพื่อน	+10%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +10%
41	ค่าความสนิทเพื่อน	+20%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +20%
43	ค่าความสนิทเพื่อน	+25%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +25%
45	ค่าความสนิทเพื่อน	+30%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +30%
46	กำหนดเวลาเพิ่ม EXP 	+1000	ทุกๆ 5 นาที ได้รับ EXP +1000
47	กำหนดเวลาเพิ่ม EXP 	+1500	ทุกๆ 5 นาที ได้รับ EXP +1500
48	กำหนดเวลาเพิ่ม EXP 	+3000	ทุกๆ 5 นาที ได้รับ EXP +3000
49	กำหนดเวลาเพิ่ม EXP 	+3500	ทุกๆ 5 นาที ได้รับ EXP +3500
50	กำหนดเวลาเพิ่ม EXP 	+5000	ทุกๆ 5 นาที ได้รับ EXP +5000
51	กำหนดเวลาเพิ่ม EXP 	+6000	ทุกๆ 5 นาที ได้รับ EXP +6000
52	กำหนดเวลาเพิ่ม EXP 	+8000	ทุกๆ 5 นาที ได้รับ EXP +8000
53	กำหนดเวลาเพิ่ม EXP 	+9000	ทุกๆ 5 นาที ได้รับ EXP +9000
54	กำหนดเวลาเพิ่ม EXP 	+10000	ทุกๆ 5 นาที ได้รับ EXP +10000
55	กำหนดเวลาเพิ่มแต้มสกิล	+500	ทุกๆ 5 นาที ได้รับแต้มสกิล +500
56	กำหนดเวลาเพิ่มแต้มสกิล	+750	ทุกๆ 5 นาที ได้รับแต้มสกิล +750
57	กำหนดเวลาเพิ่มแต้มสกิล	+1500	ทุกๆ 5 นาที ได้รับแต้มสกิล +1500
58	กำหนดเวลาเพิ่มแต้มสกิล	+1750	ทุกๆ 5 นาที ได้รับแต้มสกิล +1750
59	กำหนดเวลาเพิ่มแต้มสกิล	+2500	ทุกๆ 5 นาที ได้รับแต้มสกิล +2500
60	กำหนดเวลาเพิ่มแต้มสกิล	+3000	ทุกๆ 5 นาที ได้รับแต้มสกิล +3000
61	กำหนดเวลาเพิ่มแต้มสกิล	+4000	ทุกๆ 5 นาที ได้รับแต้มสกิล +4000
62	กำหนดเวลาเพิ่มแต้มสกิล	+4500	ทุกๆ 5 นาที ได้รับแต้มสกิล +4500
63	กำหนดเวลาเพิ่มแต้มสกิล	+5000	ทุกๆ 5 นาที ได้รับแต้มสกิล +5000
64	ค่าพลังตัวละคร	+1	ค่าสเตตัสพลังของตัวละคร +1
65	ค่าพลังตัวละคร	+3	ค่าสเตตัสพลังของตัวละคร +3
66	ค่าพลังตัวละคร	+5	ค่าสเตตัสพลังของตัวละคร +5
67	ค่าพลังตัวละคร	+8	ค่าสเตตัสพลังของตัวละคร +8
68	ค่าพลังตัวละคร	+15	ค่าสเตตัสพลังของตัวละคร +15
69	ค่าพลังตัวละคร	+20	ค่าสเตตัสพลังของตัวละคร +20
70	ค่าพลังตัวละคร	+40	ค่าสเตตัสพลังของตัวละคร +40
71	ค่าพลังตัวละคร	+45	ค่าสเตตัสพลังของตัวละคร +45
72	ค่าพลังตัวละคร	+55	ค่าสเตตัสพลังของตัวละคร +55
