n_ID	s_CONTENT	s_Summary	s_HowToDo
1	แนะนำมือใหม่		
2	ฟังก์ชั่นสังคม		
3	เกี่ยวกับการต่อสู้		
4	ฟังก์ชั่นเดินเรือ		
5	ไอเทม		
6	ฟังก์ชั่นอื่นๆ		
100	หน้าหลัก		
101	ดำเนินเกม		
102	แผนที่ใหญ่		
103	ภารกิจ		
104	ข้อมูลตัวละคร		
105	สัตว์เลี้ยง		
200	เพื่อน		
201	ทีม		
202	กิลด์		
300	เครื่องสวมใส่		
301	สกิล		
302	ดันเจี้ยน		
400	การเดินเรือ		
500	เก็บไอเทม		
501	ฟังก์ชั่นแลกเปลี่ยน		
502	ร้านค้า		
600	เก็บสะสม		
601	ผลิต		
1000	สถานะตัวละคร	หน้าต่างสถานะตัวละครอยู่ทางบนซ้ายของหน้า ในหน้าต่างจะแสดงอาชีพ ค่าพลังชีวิต ค่ากำลัง และประสิทธิผลด้านบวกและด้านลบในปัจจุบันของตัวละคร	คลิกขวาที่สถานะตัวละคร สามารถเปิดหน้าเลือกได้ มีฟังก์ชั่น【ค่าเสตัสตัวละคร】,【รีเซ็ทความคืบหน้าดันเจี้ยน】,【ตั้งค่าการเก็บ】,【ออกจากทีม】,【ยุบทีม】 ให้เลือก<br/>คลิป【+】 ที่อยู่ด้านขวาของแถบเลือด สามารถใช้【ยาฟื้นฟู】 อัตโนมัติได้ปรับ % ของพลังชีวิตและใช้ฟังก์ชั่นเปิด, ปิด
1001	เมนูหลัก	ปุ่ม【เมนูหลัก】 อยู่ทางด้านล่างซ้ายของหน้า ฟังก์ชั่นในเกมทั้งหมดสามารถเปิดได้จากที่นี่	คลิกปุ่ม【เมนูหลัก】 เพื่อเปิด【เมนูหลัก】 สามารถดูฟังก์ชั่นที่ใช้บ่อยได้จากที่นี่<BR/>คลิกซ้ายเปิดหน้าต่าง และทำตามวิธีที่อธิบายของฟังก์ชั่นต่างๆ<BR/>ด้านล่างขวาของปุ่ม【เมนูหลัก】 คือ【รายการแถบคีย์ลัด】 สามารถคลิกขวา และตั้งค่าแถบคีย์ลัดได้ ในคราวต่อไปสามารถเปิดฟังก์ชั่นนี้ได้ผ่านแถบคีย์ลัดตรงนี้
1002	แผนที่เล็ก	หน้าแผนที่เล็กอยู่ด้านบนขวา	สามารถเปลี่ยนรูปแบบเล็กใหญ่ของแผนที่ได้ที่【เปลี่ยนเป็นแผนที่เล็ก】 ทางด้านขวา มีสองแบบให้เลือก<BR/>แผนที่เล็กจะแสดงข้อมูลต่อไปนี้:<BR/>(1) ชื่อพื้นที่ที่ตัวละครอยู่ในปัจจุบัน<BR/>(2) พิกัดที่ตัวละครยืนอยู่ในปัจจุบัน<BR/>(3) ทิศทั้ง 4 ทิศ<BR/>(4 )เวลาปัจจุบัน<BR/>และปุ่มฟังก์ชั่นอื่นๆ สามารถเลื่อนเมาส์เพื่อนดูฟังก์ชั่นอื่นๆได้
1003	แถบคีย์ลัด 	【แถบคีย์ลัดสกิล】 และ【แถบคีย์ลัดทั่วไป】 ที่อยู่ด้านล่าง สามารถเคลื่อนย้ายได้	สามารถนำไอเทมหรือสกิลเพื่อนสกิลทั่วไปมาวางใน【แถบคีย์ลัดทั่วไป】, และสามารถนำสกิลอาชีพวางลง【แถบคีย์ลัดสกิล】, และกดอักษรที่ตรงกับคีย์ลัดเพื่อใช้ด่วนได้
1004	ประกาศ	ปุ่ม【เมนูหลัก】 ทางด้านขวาคือประกาศ	【ประกาศ】 จัดเก็บข้อมูลสำคัญในเกม เมื่อมีข้อความใหม่จะแจ้งเตือนด้วยตัวเลข สามารถคลิกปุ่มเพื่อคอนเฟริมเนื้อหาข้อความ
1005	ช่องแชท	ด้านบนของปุ่ม【เมนูหลัก】 คือ【หน้าต่างแชท】 	【ช่องแชท】 สามารถพิมพ์ข้อความเพื่อสนทนากับเพื่อนๆได้และ【ตั้งค่าแชนแนล】 และการใช้ฟังก์ชั่น【สัญญลักษณ์อีโมชั่น】 เป็นต้น<br/>แชนแนล: คลิกปุ่มด้านบนช่องแชทเพื่อเปลี่ยนแชนแนล คลิกรูปเกียร์ที่อยู่ทางซ้าย สามารถทำการตั้งค่า【A】,【B】,【C】 ได้ 3 แบบไม่ซ้ำกัน <br/>สัญลักษณ์อีโมชั่น: สามารถคลิก【สัญลักษณ์หน้ายิ้ม】 ที่อยู่ทางด้านซ้านบน เพื่อเปิดหน้าต่าง【สัญญลักษณ์อีโมชั่น】 และ【อักษรอารมณ์】 สามารถลาก【สัญญลักษณ์อีโมชั่น】 มาใส่ในช่องแชทเพื่อใช้ได้หรือคลิกปุ่ม【อักษรอารมณ์】 เพื่อใช้อักษรอารมณ์
1006	รางวัลรายวัน	สามารถรับได้ตามเวลาล็อกอินเฉลี่ยในแต่ละวัน	สามารถเปิดหน้าต่างนี้ได้ทาง【ประกาศ】 หรือ【ช่องแชท】 แต่ต้องกดนับเวลาก่อนจึงจะเริ่มนับเวลา!
1010	เคลื่อนที่และเหาะเหิน	สามารถใช้คีย์บอร์ดหรือคลิกซ้ายเพื่อบังคับตัวละครได้เมื่ออยู่ในฉาก	สามารถกดปุ่ม【WASD】 บนคีย์บอร์ดเพื่อบังคับทิศทางตัวละคร;【Spacebar】 กระโดดและเมื่อลอยอยู่ในอากาศสามารถกด【Spacebar】 อีกครั้งเพื่อเหาะเหิน และสามารถคลิกปุ่มเหาะเหินได้อีกด้วย และสามารถใช้ปุ่ม【A/D】 เพื่อบังคับทิศทางในการบินได้ หรือคลิกขวาค้างไว้แล้วหมุนก็ได้
1011	กระเป๋า	พื้นที่สำหรับเก็บไอเทมของตัวละคร	พื้นที่เก็บไอเทมในตัว สามารถกด (I) เพื่อเปิด <text style="73" openui="System_Backpack_Main">กระเป๋า</text><br/>การเปิดครั้งที่หนึ่งจะต้องมีรหัสลับ (รหัสที่ตั้งค่าตอนสร้างตัวละคร) เมื่อใส่รหัสถูกต้องถึงจะเปิดกระเป๋าได้<br/>กระเป๋ามีจำนวนจำกัด สามารถใช้ไอเทมในร้านค้าขยาย【กระเป๋าVIP】 ได้ ไอเทมภารกิจจะถูกใส่ลงใน【กระเป๋าภารกิจ】
1012	คลัง	พื้นที่เก็บไอเทมและเก็บเงิน	สามารถเปิดคลังจาก <text style="73"> [52300001] </text> ที่ <text style="73" path="161"> [52500161] </text> เพื่อใส่ไอเทมและเงิน ไม่มีเวลาจำกัด สามารถใส่ได้สูงสุด 40 ชิ้น สามารถใช้ไอเทมในร้านค้าขยายช่องได้
1020	แผนที่	แสดงข้อมูลฉากที่ผู้เล่นอยู่	สามารถกด【M】 เพื่อเปิด <text style="73" openui="Main_Map">แผนที่</text> <br/> ด้านล่างของแผนที่จะแสดงข้อมูลต่อไปนี้: <br/>(1) ตำแหน่งที่ตัวละครอยู่ในปัจจุบัน<br/>(2) แสดงรูปฟังก์ชั่นของพื้นที่ สามารถคลิกและเดินไปพื้นที่นั้นๆได้<br/>(3) คลิกซ้ายเพื่อแสดง NPC ที่อยู่ในแผนที่นั้นๆหรือชื่อเกาะ สามารถคลิกเลือก NPC  และคลิกปุ่ม【GO!】 หรือดับเบิ้ลคลิกที่ชื่อ NPC เพื่อไปตรงจุดที่ NPC อยู่; หรือคลิกชื่อเกาะและคลิก【เปลี่ยน】 หรือดับเบิ้ลคลิกเพื่อเปลี่ยนแผนที่เกาะนั้น
1030	ติดตามภารกิจ	เมื่อรับภารกิจแล้ว จะแสดงหน้าติดตามภารกิจทางขวาของหน้า ในนี้จะแสดงภารกิจที่ติดตามอยู่ทั้งหมด	หน้าติดตามภารกิจจะแสดงข้อมูลสำคัญในการสำเร็จภารกิจ สามารถเลือกได้จากหน้าข้อมูลภารกิจหรือยกเลิกการติดตามภารกิจ และยังสามารถคลิกรายชื่อภารกิจที่อยู่ในหน้าติดตามภารกิจเพื่อเปิดข้อมูลภารกิจได้
1031	บันทึกกิจกรรม	แสดงข้ามูลภารกิจที่รับทั้งหมด ข้อมูลภารกิจนี้สามารถดูภารกิจที่สามารถรับได้และภารกิจที่ทำสำเร็จแล้ว	กดคีย์ลัด【J】 เพื่อเปิด <text style="73" openui="Quest_Main">ข้อมูลภารกิจ</text>ได้<br/> แสดงสถานการณ์ภารกิจปัจจุบันของตัวละคร สามารถเปลี่ยนเป็นหน้า【ภารกิจปัจจุบัน】,【ภารกิจที่รับได้】 และ【ภารกิจประวัติศาสตร์】  และใช้ฟังก์ชั่นได้ดังนี้:<br/>(1) ยกเลิกการติดตามภารกิจ: กด【ภารกิจปัจจุบัน】 จากนั้นกดยกเลิกทางด้านซ้าย ภารกิจนี้ก็จะไม่โชว์ในรายชื่อทางด้านขวาของจอ<br/>(2)  ยกเลิกภารกิจ: เลือกภารกิจจากนั้นคลิก【ปุ่มลบ】 และกดยืนยันสามารถลบภารกิจได้<br/>(3) แชร์ภารกิจ: คลิกปุ่มแชร์ด้านล่าง สามารถแชร์ภารกิจให้เพื่อนๆในทีม ฝ่ายตรงข้ามจะต้องมีเงื่อนไขที่ตรงตามกำหนดจึงจะสามารถรับภารกิจที่แชร์มาได้
1040	ค่าเสตัสตัวละคร	แสดงข้อมูลเลเวล, สกิล, เครื่องสวมใส่ และสเตตัสของผู้เล่น	สามารถใช้คีย์ลัด【C】เปิดหน้า <text style="73" openui="Char_Info2"> สเตตัสตัวละคร </text> หรือคลิกคีห์ลัดสเตตัสตัสละครที่อยู่ข้างขวาของ「เมนูหลัก」ก็ได้<br/>สามารถอัพคุณสมบัติของตัวละครและดูเครื่องสวมใส่ตัวละครได้ที่นี่
1041	โชว์รูปลักษณ์	ตั้งค่ารูปแบบการแสดงเสื้อผ้าตัวละคร	สามารถคลิก【แสดงเครื่องสวมใส่】,【แสดงรูปลักษณ์】 เพื่อปรับเปลี่ยนการแสดงเครื่องสวมใส่ <br/>เลือกแสดงเครื่องสวมใส่จะแสดงเครื่องสวมใส่ที่ตัวละครสวมใส่ในปัจจุบัน<br/>เลือกแสดงรูปลักษณ์จะแสดงไอเทมที่อยู่ในชั้นวางของ
1042	ปุ่มสกิล	สามารถเปิดหน้ารายชื่อสกิล เพื่อดูสกิลทั้งหมดของตัวละคร	เมื่อเปิดหน้าสกิลแล้ว สามารถนำสกิลอาชีพที่เรียนแล้วลากลง【แถบคีย์ลัดสกิล】 สกิลทั้งหมดและสกิลเพื่อนสามารถลากลง【แถบคีย์ลัดทั่วไป】 เพื่อใช้ได้ การแนะนำสกิลกรุณาดูที่หน้าเกี่ยวกับการต่อสู้→เกี่ยวกับสกิล
1043	อธิบายตำแหน่งพิเศษ	สามารถเลือกอาชีพรองในหน้าต่างนี้ได้ 1 อาชีพ และเรียนสกิลของตำแหน่งพิเศษบางอย่าง	เมื่อตัวละครเลเวล 35 สามารถไปหา <text style="73"> [52300001] </text> ที่ <text style="73" path="164"> [52500164] </text> เพื่อรับข้อมูลอาชีพรอง <br/> เมื่อได้อาชีพรองแล้ว สามารถใช้แต้มสกิลเรียนสกิลอื่นๆได้ แต่แต้มสกิลที่ต้องการจะมากขึ้นกว่าปกติ
1044	ชั้นวางของ	สามารถใช้เก็บเครื่องสวมใส่หายากและสัตว์เลี้ยง	เมื่อได้รับเครื่องสวมใส่หรือสัตว์เลี้ยงหายากแล้ว จะต้องเก็บลงใน <text style="73" openui="Storage_Main">ชั้นวางของ</text> จึงจะใช้ได้ การเก็บสัตว์และไอเทมในนี้ จะได้รับ【แต้มชั้นวางของ】 แต้มชั้นวางของสามารถใช่ในการรับ【ผลของชั้นวางของ】 ยิ่งเก็บเยอะเท่าไหร่ ผลของชั้นวางของก็ยิ่งสูงมากเท่านั้น คลิกปุ่ม【ใช้แต้ม】 สามารถเปิดหน้าใช้แต้มและรับผลของชั้นวางของ
1045	ความสำเร็จและฉายา	แสดงเรื่องราวและประการณ์ชีวิตของตัวละคร	เงื่อนไขที่ผู้เล่นต้องทำให้สำเร็จเพื่อได้รับความสำเร็จ เช่นเมื่อกำจัด BOSS ได้หรือทำภารกิจผ่าน จะได้รับความสำเร็จ เมื่อเปิดหน้าต่างขึ้นจะเห็นความสำเร็จที่มีหรือความสำเร็จที่ทำสำเร็จไปแล้ว เมื่อผู้เล่นทำความสำเร็จพิเศษเสร็จ จะได้รับ【ฉายา】 และ【รางวัลอื่นๆ】 
1050	สัตว์ขี่	สัตว์เลี้ยงสามารถเพิ่มความเร็วเคลื่อนที่ให้ตัวละคร มีสัตว์เลี้ยงบางตัวที่มีความสามารถพิเศษ	เมื่อได้รับสัตว์ขี่ จะต้องคลิกขวาที่สัตว์ขี่ก่อน และนำสัตว์ขี่เข้าไปยัง <text style="73" openui="Storage_Main">ชั้นวางของ</text> และต้องคลิกขวาเพื่อเรียกใช้อีกครั้ง สามารถลากมาที่【แถบคีย์ลัดทั่วไป】 เพื่อใช้ได้อีกด้วย
1051	สัตว์เลี้ยง	สัตว์เลี้ยงที่คอยอยู่เคียงข้างตัวละคร มีฟังก์ชั่นช่วยเก็บของ	เมื่อได้รับสัตว์เลี้ยงแล้ว จะต้องคลิกขวาที่สัตว์เลี้ยงก่อน และนำสัตว์เลี้ยงเข้าไปยัง <text style="73" openui="Storage_Main">ชั้นวางของ</text> และต้องคลิกขวาเพื่อเรียกใช้อีกครั้ง สามารถลากมาที่【แถบคีย์ลัดทั่วไป】 เพื่อใช้ได้อีกด้วย ผู้เล่นสามารถตั้งค่าให้สัตว์เลี้ยงช่วยเก็บไอเทมได้ที่【ตั้งค่าระบบ】 
1052	ลูกเรือ	สามารถติดตามตัวละครไปต่อสู้ด้วยได้	เมื่อได้รับลูกเรือ จะต้องคลิกขวาที่ลูกเรือก่อน และนำลูกเรือเข้าไปยัง <text style="73" openui="Storage_Main">ชั้นวางของ</text> และต้องคลิกขวาเพื่อเรียกใช้อีกครั้ง สามารถลากมาที่【แถบคีย์ลัดทั่วไป】 เพื่อใช้ได้อีกด้วย
1053	ผสมสัตว์เลี้ยง	สามารถนำสัตว์เลี้ยงมาผสมเป็นลูกเรือได้	เมื่อตัวละครเลเวลถึง 42 แล้ว สามารถไปหา <text style="73" path="798">[52500798]</text> ที่ Port Royal เพื่อรับข้อมูลการผสม<br/>สามารถคลิกระบบผสมใน【เมนูหลัก】 เพื่อเปิดหน้าต่างผสมขึ้นมา<br/>วิธีการ: ลากสัตว์เลี้ยงในกระเป๋าไปยังช่องผสม คลิกยืนยันเพื่อเริ่มการผสม!<br/>หากทำสำเร็จจะมองเห็นลูกเรือพิเศษ จากนั้นรอเวลาเมื่อคูลดาวน์เวลาเสร็จสามารถรับได้ทันที<br/>หากผสมล้มเหลว สัตว์เลี้ยงจะหายไป เลเวลเยอะเท่าไหร่จำนวนช่องในการผสมยิ่งเยอะเท่านั้น
