n_ID	s_NAME
1	ไปข้างบน
2	ไปข้างล่าง
3	ไปทางซ้าย
4	ไปทางขวา
5	กระโดด, เหาะเหิน
6	หมุนซ้าย
7	หมุนขวา
8	เปิด/ปิดการเดินอัตโนมัติ
9	เลือกศัตรูที่อยู่ใกล้ๆ
10	ติดตามตัวละครผู้เล่น
12	แถบคีย์ลัด 1-1
13	แถบคีย์ลัด 1-2
14	แถบคีย์ลัด 1-3
15	แถบคีย์ลัด 1-4
16	แถบคีย์ลัด 1-5
17	แถบคีย์ลัด 1-6
18	แถบคีย์ลัด 1-7
19	แถบคีย์ลัด 1-8
20	แถบคีย์ลัด 1-9
21	แถบคีย์ลัด 1-10
22	แถบคีย์ลัด 1-11
23	แถบคีย์ลัด 1-12
24	แถบคีย์ลัด 2-1
25	แถบคีย์ลัด 2-2
26	แถบคีย์ลัด 2-3
27	แถบคีย์ลัด 2-4
28	แถบคีย์ลัด 2-5
29	แถบคีย์ลัด 2-6
30	แถบคีย์ลัด 2-7
31	แถบคีย์ลัด 2-8
32	แถบคีย์ลัด 2-9
33	แถบคีย์ลัด 2-10
34	แถบคีย์ลัด 2-11
35	แถบคีย์ลัด 2-12
36	แถบคีย์ลัด 3-1
37	แถบคีย์ลัด 3-2
38	แถบคีย์ลัด 3-3
39	แถบคีย์ลัด 3-4
40	แถบคีย์ลัด 3-5
41	แถบคีย์ลัด 3-6
42	แถบคีย์ลัด 3-7
43	แถบคีย์ลัด 3-8
44	แถบคีย์ลัด 3-9
45	แถบคีย์ลัด 3-10
46	แถบคีย์ลัด 3-11
47	แถบคีย์ลัด 3-12
60	ใส่ลงแถบคีย์ลัด  1
61	ใส่ลงแถบคีย์ลัด  2
62	ใส่ลงแถบคีย์ลัด  3
63	ใส่ลงแถบคีย์ลัด  4
64	ใส่ลงแถบคีย์ลัด  5
65	ใส่ลงแถบคีย์ลัด  6
66	ใส่ลงแถบคีย์ลัด  7
67	ใส่ลงแถบคีย์ลัด  8
68	ใส่ลงแถบคีย์ลัด  9
69	TEST
70	ใช้ยาฟื้นฟู
71	เก็บอาวุธ
72	ตอบกลับด่วน
73	ฟื้นฟู
75	ค่าเสตัสตัวละคร
76	กระเป๋า
77	สกิลอาชีพ
78	ทีม
79	กิลด์
80	บันทึกสกิล
81	สังคม
82	ซื้อของในร้านค้า
83	แผนที่ใหญ่
84	Field Guide 
85	อีโมชั่น
86	ชั้นเก็บของ
87	อันดับ
88	ค้นหาตัวละคร
89	ความสำเร็จ
91	ปิด/เปิดหน้า
92	เลือกตนเอง
93	เลือกเพื่อนในทีม 1
94	เลือกเพื่อนในทีม 2
95	เลือกเพื่อนในทีม 3
96	เลือกเพื่อนในทีม 4
97	เลือกเพื่อนในทีม 5
98	แถบคีย์ลัดสกิล 1
99	แถบคีย์ลัดสกิล 2
100	แถบคีย์ลัดสกิล 3
101	แถบคีย์ลัดสกิล 4
102	แถบคีย์ลัดสกิล 5
103	แถบคีย์ลัดสกิล 6
104	แถบคีย์ลัดสกิล 7
105	แถบคีย์ลัดสกิล 8
106	นั่งพัก
107	ตกลงมาอย่างอิสระ
108	บินขึ้น
109	สถิติเสียหาย
110	ซ่อนตัวละครตนเอง
111	คีย์ลัด1
112	คีย์ลัด2
113	คีย์ลัด3
114	คีย์ลัด4
115	คีย์ลัด5
116	คีย์ลัด6
117	คีย์ลัด7
118	คีย์ลัด8
119	คีย์ลัด9
120	คีย์ลัด10
121	นั่งพัก
122	เดินขึ้น(2)
123	เดินลง(2)
124	เดินซ้าย(2)
125	เดินขวา(2)
126	กระโดด, บิน(2)
127	หมุนซ้าย(2)
128	หมุนขวา(2)
129	ปุ่มเดินอัตโนมัติ(2)
