n_ID	s_INSTANCE_NAME	s_INSTANCE_NAME_REFRESHUI
1	Island Teaching Dungeon	
2	Sea Desert Island	
3	Sea Desert Island	
4	Sea Desert Island	
5	Sea Desert Island	
6	Sea Desert Island	
7	Sea Desert Island	
8	Sea Desert Island	
9	Sea Desert Island	
10	Sea Desert Island	
11	Sea Desert Island	
12	Sea Desert Island	
13	Sea Desert Island	
14	Sea Desert Island	
15	Sea Desert Island	
16	Sea Desert Island	
17	Sea Desert Island	
18	Sea Desert Island	
19	Sea Desert Island	
20	Sea Desert Island	
21	Sea Desert Island	
22	Sea Desert Island	
23	Sea Desert Island	
24	Sea Desert Island	
25	Sea Desert Island	
26	Sea Desert Island	
27	Sea Desert Island	
28	Sea Desert Island	
29	Sea Desert Island	
30	Sea Desert Island	
31	Sea Desert Island	
32	Sea Desert Island	
33	Sea Desert Island	
34	Sea Desert Island	
35	Sea Desert Island	
36	Sea Desert Island	
37	Sea Desert Island	
38	Sea Desert Island	
39	Sea Desert Island	
40	Sea Desert Island	
41	Sea Desert Island	
42	Sea Desert Island	
43	Sea Desert Island	
44	Sea Desert Island	
45	Sea Desert Island	
46	Sea Desert Island	
47	Sea Desert Island	
48	Sea Desert Island	
49	Sea Desert Island	
50	Sea Desert Island	
51	Sea Desert Island	
52	Sea Desert Island	
53	Sea Desert Island	
54	Sea Desert Island	
55	Sea Desert Island	
56	Sea Desert Island	
57	Sea Desert Island	
58	Sea Desert Island	
59	Sea Desert Island	
60	Sea Desert Island	
61	Floating Island	
62	Floating Island	
63	Floating Island	
64	Floating Island	
65	Floating Island	
66	Floating Island	
67	Floating Island	
68	Floating Island	
69	Floating Island	
70	Floating Island	
71	Floating Island	
72	Floating Island	
73	Floating Island	
74	Floating Island	
75	Floating Island	
76	Floating Island	
77	Floating Island	
78	Floating Island	
79	Floating Island	
80	Floating Island	
81	Floating Island	
82	Floating Island	
83	Floating Island	
84	Floating Island	
85	Mystery Islands	
86	Mystery Islands	
87	Mystery Islands	
88	Mystery Islands	
89	Mystery Islands	
90	Mystery Islands	
91	Mystery Islands	
92	Mystery Islands	
93	Mystery Islands	
94	Mystery Islands	
95	Mystery Islands	
96	Mystery Islands	
97	Mystery Islands	
98	Mystery Islands	
99	Mystery Islands	
100	Mystery Islands	
101	Mystery Islands	
102	Mystery Islands	
103	Mystery Islands	
104	Mystery Islands	
105	Mystery Islands	
106	Mystery Islands	
107	Mystery Islands	
108	Mystery Islands	
109	Ship in the Sea	
110	Ship in the Sea	
111	Ship in the Sea	
112	Ship in the Sea	
113	Ship in the Sea	
114	Ship in the Sea	
115	Ship in the Sea	
116	Ship in the Sea	
117	Ship in the Sea	
118	Ship in the Sea	
119	Ship in the Sea	
120	Ship in the Sea	
121	Ship in the Sea	
122	Ship in the Sea	
123	Ship in the Sea	
124	Ship in the Sea	
125	Ship in the Sea	
126	Ship in the Sea	
127	Ship in the Sea	
128	Ship in the Sea	
129	Ship in the Sea	
130	Ship in the Sea	
131	Ship in the Sea	
132	Ship in the Sea	
133	Ship in the Sea	
134	Ship in the Sea	
135	Ship in the Sea	
136	Ship in the Sea	
137	Ship in the Sea	
138	Ship in the Sea	
139	Ship in the Sea	
140	Ship in the Sea	
141	Ship in the Sea	
142	Ship in the Sea	
143	Ship in the Sea	
144	Ship in the Sea	
145	Ship in the Sea	
146	Ship in the Sea	
147	Ship in the Sea	
148	Ship in the Sea	
149	Ship in the Sea	
150	Ship in the Sea	
151	Ship in the Sea	
152	Ship in the Sea	
153	Ship in the Sea	
154	Ship in the Sea	
155	Ship in the Sea	
156	Ship in the Sea	
157	Ship in the Sea	
158	Ship in the Sea	
159	Ship in the Sea	
160	Ship in the Sea	
161	Ship in the Sea	
162	Ship in the Sea	
163	Ship in the Sea	
164	Ship in the Sea	
165	Ship in the Sea	
166	Ship in the Sea	
167	Ship in the Sea	
168	Ship in the Sea	
1001	Falling Sun(1Star)	Falling Sun(1Star)
1002	Falling Sun(2Star)	Falling Sun(2Star)
1003	Falling Sun(3Star)	Falling Sun(3Star)
1004	Supernatural  Arena (Task)	Supernatural  Arena (Task)
1005	Supernatural  Arena (1Star)	Supernatural  Arena (1Star)
1007	Poseidon Hall(1Star)	Poseidon Hall(1Star)
1008	Poseidon Hall(2Star)	Poseidon Hall(2Star)
1009	Poseidon Hall(3Star)	Poseidon Hall(3Star)
1010	Kraken Lair(1Star)	Kraken Lair(1Star)
1011	Kraken Lair(2Star)	Kraken Lair(2Star)
1012	Kraken Lair(3Star)	Kraken Lair(3Star)
1013	Doom Church(1Star)	Doom Church(1Star)
1014	Doom Church(2Star)	Doom Church(2Star)
1015	Doom Church(3Star)	Doom Church(3Star)
1016	Hell Trial(1Star)	Hell Trial(1Star)
1017	Hell Trial(2Star)	Hell Trial(2Star)
1018	Hell Trial(3Star)	Hell Trial(3Star)
1020	Skyfire Tower(1Star)	Skyfire Tower(1Star)
1021	Skyfire Tower(2Star)	Skyfire Tower(2Star)
1022	Skyfire Tower(3Star)	Skyfire Tower(3Star)
1023	Rough Sea Fortress(1Star)	Rough Sea Fortress(1Star)
1024	Rough Sea Fortress(2Star)	Rough Sea Fortress(2Star)
1025	Rough Sea Fortress(3Star)	Rough Sea Fortress(3Star)
1026	Eagle Island	Eagle Island
1027	Bear Island	Bear Island
1028	Falling Sun(Couple Challenge)	Falling Sun(Couple Challenge)
1029	Supernatural  Arena (Couple Challenge)	Supernatural  Arena (Couple Challenge)
1030	Lich King Palace(1Star)	Lich King Palace(1Star)
1031	Lich King Palace(2Star)	Lich King Palace(2Star)
1032	Archosaur Temple(1Star)	Archosaur Temple(1Star)
1033	Archosaur Temple(2Star)	Archosaur Temple(2Star)
1034	Occupied Guild Island	Occupied Guild Island
1035	Supernatural  Arena (2Star)	Supernatural  Arena (2Star)
2054	Float Island	
2080	Beach Soccer Field	Beach Soccer Field
2082	Beach Soccer Field 3V3	Beach Soccer Field 3V3
2090	Viper Pit	Viper Wicket
2092	Dirty Cabin	Dirty Cabin
2093	Hidden Island	Hidden Island
2094	Hidden Island	Hidden Island
2095	Hidden Island	Hidden Island
2096	Hidden Island	Hidden Island
2097	Hidden Island	Hidden Island
2098	Hidden Island	Hidden Island
2099	Hidden Island	Hidden Island
2100	Hidden Island	Hidden Island
2101	Hidden Island	Hidden Island
2102	Hidden Island	Hidden Island
2103	Hidden Island	Hidden Island
2104	Hidden Island	Hidden Island
2105	Hidden Island	Hidden Island
2106	Hidden Island	Hidden Island
2107	Hidden Island	Hidden Island
2108	Hidden Island	Hidden Island
2109	Hidden Island	Hidden Island
2110	Hidden Island	Hidden Island
2111	Hidden Island	Hidden Island
2112	Hidden Island	Hidden Island
9997	 Robinson  Island	 Robinson  Island
9998	Kraken Lair(Lair Trial Version)	Kraken Lair(Lair Trial Version)
9999	(QA Test Dungeon)	(QA Test Dungeon)
