n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
1	Batural Box	เหมาะกับคนชอบเดินเท้า! เมื่อใช้กุญแจเปิดแล้ว มีโอกาสได้รับเงิน 50±5 หน่วย		
2	Curious Box	เหมาะกับคนที่ชอบเรื่องตื่นเต้น! เมื่อใช้กุญแจเปิดแล้ว มีโอกาสได้รับเงิน 50±20 หน่วย		
3	Adventure Box	เหมาะกับคนที่ชอบผจญภัย! เมื่อใช้กุญแจเปิดแล้ว มีโอกาสได้รับเงิน 50±40 หน่วย		
5	Crystal Refining Clip	เมื่อใส่ไอเทมนี้ลงไปในกระเป๋า สามารถกดปุ่มหลอมในหน้าหลอมผลึกเพื่อหลอมผลึกออกมา		
6	 Fruit Wine Jar	โถเหล้าสำหรับหมัก Fruit Wine โถเหล้าที่คนธรรมดาทั่วไปใช้ ราคาถูก เมื่อแตกก็ซื้อใหม่		
7	 Fruit Wine Jar	โถเหล้าสำหรับหมัก Fruit Wine โถเหล้าที่คนธรรมดาทั่วไปใช้ ราคาถูก เมื่อแตกก็ซื้อใหม่		
8	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine โถเหล้าที่คนธรรมดาทั่วไปใช้ ราคาถูก เมื่อแตกก็ซื้อใหม่		
9	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine ดูแล้วน่าจะมีประวัติอันยาวนานแน่นอน		
10	 Fruit Wine Jar	โถเหล้าสำหรับหมัก Fruit Wine 		
11	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine 		
12	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine 		
13	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine 		
14	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine 		
15	 Fruit Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Fruit Wine 		
16	 Special Wine Jar-ID Unavailable	โถเหล้าสำหรับหมัก Special Wine โถเหล้าที่คนธรรมดาทั่วไปใช้ ราคาถูก เมื่อแตกก็ซื้อใหม่		
17	 Special Wine Jar	โถเหล้าสำหรับหมัก Special Wine โถเหล้าที่คนธรรมดาทั่วไปใช้ ราคาถูก เมื่อแตกก็ซื้อใหม่		
