n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
1	Adventure Key	กุญแจที่ใช้เข้าดันเจี้ยนสองคน สามารถใช้ Poseidon Gold ซื้อได้ และสามารถซื้อได้ที่ร้านค้าค่าความสนิท		
2	Poseidon Gold	เหรียญทองที่มีแสงแวววาว ตำนานเล่าว่าเป็นเหรียญทองของโพไซดอน ณ เมือง Port Royal มีชายหนุ่มคนหนึ่งชอบสะสม Poseidon Gold จึงเสนอว่าต้องเอาไอเทมวาร์ปมาแลก!		
3	EXP ansion Crystal Lattice	ไอเทมใช้เปิดช่องหลอมผลึก ใส่ลงหน้าต่างคำถามในขั้นตอนการเปิดช่องหลอมผลึก		
4	EXP ansion Crystal Lattice	ไอเทมใช้เปิดช่องหลอมผลึก ใส่ลงหน้าต่างคำถามในขั้นตอนการเปิดช่องหลอมผลึก		
5	Massage Horn	ไอเทมที่ต้องมีในการพูดในแชแนล [ทั้งหมด] ทุกครั้งที่ส่งข้อความจะหักไอเทมนี้ 1 ชิ้น		
6	Inherit Stone	ไอเทมที่ต้องมีในการโอนย้ายพลัง (สามารถหาได้จากพ่อค้า Element Exchange)		
7	Earth Element	ธาตุที่ได้จากการแยก\n(สามารถนำไปแลกกับพ่อค้าแลกสินค้าจะได้ของมาไม่น้อย)		
8	Water Element	ธาตุที่ได้จากการแยก\n(สามารถนำไปแลกกับพ่อค้าแลกสินค้าจะได้ของมาไม่น้อย)		
9	Fire Element	ธาตุที่ได้จากการแยก\n(สามารถนำไปแลกกับพ่อค้าแลกสินค้าจะได้ของมาไม่น้อย)		
10	Wind Element	ธาตุที่ได้จากการแยก\n(สามารถนำไปแลกกับพ่อค้าแลกสินค้าจะได้ของมาไม่น้อย)		
11	Water	หนึ่งในวัสดุหมักเหล้าพื้นฐาน\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
12	Fine Sugar	หนึ่งในวัสดุหมักเหล้าพื้นฐาน\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
