n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
1	Sky Lantern	โคมไฟที่ Robinson ทำขึ้นเองกับมือ ด้านบนมีข้อความเขียนไว้		
2	Dead Soul Tooth Piece	ชิ้นส่วนที่สามารถเรียกวิญญาณร่อนเร่ [Dead Soul Tooth] ได้		
3	Navy Reward Bill	บิลที่สามารถนำไปแลกรางวัลทหารเรือได้		
4	Pottery Pot	กระถางดินเผาที่ใช้มาแต่โบราณ		
5	Crimson Pigeon Egg	เพรชล้ำค่า		
6	Lucky Canine	ฟันของสัตว์ร้าย สามารภนำมาทำเป็นยาได้		
7	Princess Sick Leave	ใช้สำหรับการลาป่วยขององศ์หญิง		
8	History Exam	ข้อทดสอบที่ Willes ทำขึ้น		
9	First Conscription Poster	โพสเตอร์ที่แปะไว้ข้างทาง		
10	Carnival Night Poster	โพสเตอร์ที่แปะไว้ข้างทาง		
11	Evidence Confession	เอกสารสำคัญ		
12	Prison Transfer Requisition	เอกสารสำคัญ		
13	Cheat Death Pill	ยาที่ผิดกฏหมาย		
14	Warm Muffler	ผ้าพันคอแฮนด์เมดสีฟ้า		
15	Ice Hammer	ค้อนที่เต็มไปด้วยพลังสังหาร		
16	Limited Edition Poseidon Gold	ทองที่มีรูปโพไซดอนอยู่		
17	Second Conscription Poster	โพสเตอร์ที่แปะไว้ข้างทาง		
18	Leftover Bone	มีกระดูกแพะติดอยู่		
19	Princess Envoy Order	คำสั่งจากองค์หญิง Rosemary ผู้ที่มีสิ่งนี้สามารถผ่าอาณาจักร Atlantis ได้อย่างอิสระ		
20	Cage Key	กุญแจสำหรับเปิดกรง		
21	Snow Deer Steak	เนื้อสเต็กติดมัน		
22	Poison needle	หนามแหลมสีเขียว		
23	13 Die Cage Key No.1	กุญแจสำหรับเปิดกรง		
24	13 Die Cage Key No.1	กุญแจสำหรับเปิดกรง		
25	13 Die Cage Key	กุญแจสำหรับเปิดกรง		
26	Shell Stone	กระดองเต่า สามารถนำมาทำยาได้		
27	Green Coconut	มะพร้าวทั่วไป		
28	Yellow Mud Water	น้ำสกปรก		
29	Maggot Biscuit	ขนมขบเคี้ยว		
30	Sheep First Horn	เขาของแพะภูเขา		
31	Royal Secret File	เอกสารลับ		
32	Earthy Dewclaw	เล็บของสัตว์ร้าย สามารถทำเป็นยาได้		
33	South Sea Pepper	ถุงใส่เครื่องเทศ		
34	Hook Bait	เบ็ดที่ใช้ตกปลา		
35	New Navy Female Photobook	สมุดภาพที่มรูปผู้หญิง		
36	Royal Rum	เหล้ารสดี		
37	Folder Piece	เศษกระดาษ		
38	Kraus Captain Hat	หมวกกัปตัน		
39	Ancient Inscription	ม้วนกระดาษที่พบในสถานที่โบราณ มีตัวหนังสือโบราณอยู่		
40	Blue Moon Spice	ถุงที่ใส่เครื่องเทศ		
41	Sweetheart Berry	ผลไม้ทั่วไป		
42	Mushroom Spices	ถุงที่ใส่เครื่องเทศ		
43	Merchant marine Chamber Flag rag	เศษผ้าที่ถูกฉีดขาดเป็นชิ้นๆ		
44	Merchant marine Chamber Badge	เหรียญที่เป็นสัญลักษณ์ของกิลด์		
45	Ancient Machine Gear	เกียร์ที่ต้องการในการขับเคลื่อนเครื่องจักร		
46	Dirty Navy Female Photobook	สมุดภาพที่มรูปผู้หญิง		
47	Very Dirty Navy Female Photobook	สมุดภาพที่มรูปผู้หญิง		
48	Sun Type Gear	มีหนังสือโบราณสลักอยู่		
49	Solar Crystal	ผลึกโบราณ สามารถใช้เปิดอาวุธเทพได้ และเพิ่มพลังผลึกสีส้ม		
50	Sky Hometown Chronicle	ม้วนกระดาษที่พบในสถานที่โบราณ มีตัวหนังสือโบราณอยู่		
51	Jadeite Bracelet	เครื่องประดับหยกหรูหรา		
52	Musk Coconut	มะพร้าวทั่วไป		
53	Lenka Egg	ไข่หลากสี สามารถฟักเป็นสัตว์เลี้ยงแสนน่ารัก		
54	Sweet Honey	โหลที่บรรจุน้ำผึ้ง		
55	Gold Shark Chamber Bride Price	ห่อของขวัญ		
56	Pineapple Juice Price	น้ำผลไม้ 100%		
57	Tiger Steak	สเต็กซี่โครง		
58	Raspberry Bibi Egg	ไข่หลากสี สามารถฟักเป็นสัตว์เลี้ยงแสนน่ารัก		
59	Paradise Flowers Petal	ดอกไม้ที่บานเวลากลางคืน		
60	Ancient Stone Piece	ชิ้นส่วนศิลา		
61	Alert Weapon Part	เกียร์ที่ต้องการในการขับเคลื่อนเครื่องจักร		
62	Red Wisdom Crystal	ผลึกโบราณ สามารถใช้เปิดอาวุธเทพได้ และเพิ่มพลังผลึกสีแดง		
63	Silver Bone Necklace	สร้อยคอหรูหรา		
64	Grandmother Beryl Cup	แก้วเหล้า		
65	Small Empty Paper Roll	กระดาษเปล่า		
66	Diary Missing Page	ชิ้นส่วนกระดาษ		
67	Diary Key	กุญแจใช้เปิดสมุดบัญทึก		
68	Third Conscription Poster	โพสเตอร์ที่แปะไว้ข้างทาง		
69	Super Dirty Navy Female Photobook	สมุดภาพที่มรูปผู้หญิง		
70	Black Heart Wing	ปีกของนก สามารถนำมาทำเป็นยาได้		
71	Royal Necklace	สร้อยราชวงศ์		
72	Firebird Feather	ปีกของนก สามารถนำมาทำเป็นยาได้		
73	Heil Herb	ถุงที่ใส่สมุนไพรไว้		
74	Fighting Soul Doping 	ยาที่ผิดกฏหมาย		
75	Skyhook Talon	เล็บของสัตว์ร้าย สามารถทำเป็นยาได้		
76	Snake Saliva	ถุงสีเขียวที่ใส่พิษไว้		
77	Biogas Wine	เหล้ารสชาติดี		
78	Carlos Helmet	หมวกนักรบ		
79	Carlos Footwear	รองเท้านักรบ		
80	Carlos Hammer	ค้อนนักรบ		
81	Gladiator Earring	ตุ้มหูที่มีคนทำหล่นไว้		
82	Gladiator Cup	แก้วเหล้าเงิน		
83	Thorn Love Flower	ดอกไม้สีแดงสด		
84	Fluttering Maple Leaf	ใบไม้ธรรมดาๆ		
85	Second Hand Broken Boot	รองเท้าขาดๆ		
86	Freshwater Fish	ปลาตัวใหญ่ที่จับได้		
87	Orange Wisdom Crystal	ผลึกโบราณ สามารถใช้เปิดอาวุธเทพได้ และเพิ่มพลังผลึกสรส้ม		
88	Gladiator Battle Card	บัตรประจำตัวนักรบ		
89	White Mushroom Powder	เห็ดที่นำมาบดเป็นผง		
90	Viper Tooth	ฟันของสัตว์ร้าย สามารถนำมาทำเป็นยาได้		
91	Sacrifice Turtle Shell	กระดองของเต่า สามารถนำมาทำเป็นยาได้		
92	Slave Bondage Deed	เอกสารสำคัญ		
93	Orc Eyes	ตาของมอนสเตอร์		
94	Prison Break Plan Book	แผนการแหกคุกของ Odyssey		
95	Intoxicate Spice	ถุงที่ใส่เครื่องเทศ		
96	Odyssey Jail Bulletin	โพสเตอร์ที่แปะไว้ข้างทาง		
97	Complete Star Diamond	เพรชล้ำค่า		
98	Second Secret Signal Bulletin	โพสเตอร์ที่แปะไว้ข้างทาง		
99	Third Secret Signal Bulletin	โพสเตอร์ที่แปะไว้ข้างทาง		
100	Star Diamond	เพรชล้ำค่า		
101	Material Girl Ring	แหวนหรูหรา		
102	Odyssey Wanted	ใบประกาศจับโจรสลัด		
103	Odyssey Topknot	ผมเปียของผู้หญิงผมยาว		
104	Black Braid Landmine Detonator	ของจาก Landmine		
105	Skeleton Bomb	ลูกปืนที่ใช้ในเรือ		
106	Turtle Meat	เนื้อเต่าที่แสนไม่อร่อย		
107	Black Braid Pirate Flag	ธงของโจรสลัด Black Braid		
108	Admiral Red Beard Pirate Flag	ธงของโจรสลัด Admiral Red Beard		
109	First Secret Signal Bulletin	โพสเตอร์ที่แปะไว้ข้างทาง		
110	Garlic Raw Meat	สเต็กซี่โครง		
111	Blink Skin	ขนของสัตว์ร้าย สามารถนำมาทำเป็นเครื่องประดับได้		
112	Ferret Muffler	ผ้าพันคอแฮนด์เมดสีฟ้า		
113	Handsome Navy Cap	หมวกกัปตัน		
114	Gold Tiger Claw	เล็บทอง		
115	Noctilucent Opal	ผลึกแดง		
116	Navy Shoulder Badge	ตรายศที่ประดับอยู่บนไหล่		
117	Seven Sea V Secret Signal No.1	โพสเตอร์ที่แปะไว้ข้างทาง		
118	Crimson Wing	ปีกของนก สามารถนำมาทำเป็นยาได้		
119	Agate Bell	กระดิ่งหรูหรา		
120	Merchant Marine Stone	หินธรรมดาทั่วไป		
121	Siren Spoon	ช้อนซุปธรรมดา		
122	Yellow Wisdom Crystal	ผลึกโบราณ สามารถใช้เปิดอาวุธเทพได้ และเพิ่มพลังผลึกสีเหลือง		
123	Royal Wine Glass	แก้วสีทองสำหรับราชา		
124	Seven Sea V Secret Signal No.2	โพสเตอร์ที่แปะไว้ข้างทาง		
125	Seven Sea V Secret Signal No.3	โพสเตอร์ที่แปะไว้ข้างทาง		
126	Medium Empty Paper Roll	กระดาษเปล่า		
127	Big Empty Paper Roll	กระดาษเปล่า		
128	Fortress Cannon Part 1	เกียร์ที่ต้องการในการขับเคลื่อนเครื่องจักร		
129	 EXP ert Original Sin Piece	ชิ้นส่วนผลึกที่ส่องแสงแวววาว		
130	Silver Fishbone	กระดูกปลาทั่วไป		
131	Evill Light Ore	แร่ที่ส่องแสงแวววาว		
132	Advanced Original Sin Piece	ชิ้นส่วนที่ส่องแสงดั่งเปลวเพลิง		
133	Cave Treasury Key	กุญแจใช้เปิดคลังทอง		
134	Navigation Sponsor Gold	เงินสนับสนุนการเดินเรือ		
135	Cold Mushroom	เห็ดสีเขียว		
136	Rosemary Silkworm	หนอนที่เพิ่งลืมตาดูโลก		
137	Dizzy Seed	เมล็กพืช		
138	Beast Canine	ฟันของสัตว์ร้าย สามารถนำมาทำเป็นยาได้		
139	Lost Heart Method	ถุงสีเขียวที่ใส่ยาวิเศษ		
140	Cat Eyedrop	ยาที่สร้างตามสูตรเวทย์มนต์		
141	Refreshing Bile	ยาที่สร้างตามสูตรเวทย์มนต์		
142	Clear Heart Panacea	ยาที่สร้างตามสูตรเวทย์มนต์		
143	Dead Red Gem	ผลึกแดง		
144	Theft Privateer Gold	rganทองที่มีรูปโพไซดอน		
