n_ID	s_NAME
8	BackSpace
9	Tab
20	CapsLock
32	Space
33	PageUp
34	PageDown
35	End
36	Home
37	←
38	↑
39	→
40	↓
44	PrtScrn
45	Insert
46	Delete
48	0
49	1
50	2
51	3
52	4
53	5
54	6
55	7
56	8
57	9
65	A
66	B
67	C
68	D
69	E
70	F
71	G
72	H
73	I
74	J
75	K
76	L
77	M
78	N
79	O
80	P
81	Q
82	R
83	S
84	T
85	U
86	V
87	W
88	X
89	Y
90	Z
96	ตัวเลข-0
97	ตัวเลข-1
98	ตัวเลข-2
99	ตัวเลข-3
100	ตัวเลข-4
101	ตัวเลข-5
102	ตัวเลข-6
103	ตัวเลข-7
104	ตัวเลข-8
105	ตัวเลข-9
106	ตัวเลข-*
107	ตัวเลข-+
109	ตัวเลข--
110	ตัวเลข-.
111	ตัวเลข-/
112	F1
113	F2
114	F3
115	F4
116	F5
117	F6
118	F7
119	F8
120	F9
121	F10
122	F11
123	F12
144	NumLock
186	;
187	=
188	,
189	-
190	.
192	~
219	 [
220	\
221	] 
222	'
1024	Alt
2048	Ctrl
4096	Shift
