n_ID	s_Text
1	เชื่อมต่อ Atlantic Ocean และ Outer space Ocean
2	เมื่อตัวละครเลเวลถึง 30 สามารถเดินเรือได้อย่างอิสระ
3	ปุ่มเปลี่ยนแผนที่ที่อยู่ทางด้านขวาบน สามารถคลิกเพื่อปรับเปลี่ยนความโปร่งใส่หรือขนาดของแผนที่ได้
4	เลเวลตัวละครถึงเลเวล 30 สามารถออกทะเลได้ที่ท่าเรือ
5	คลิกที่ชื่อ NPC ในแผนที่ สามารถเดินไปยังที่ที่ NPC อยู่ได้
6	เมื่อกระโดดขึ้นจากพื้นแล้ว กด Spacebar สามารถเหาะเหินได้
7	ในการหมักเหล้า สามารถใช้วัตถุดิบที่อยู่ในคลังได้เลย!
8	ตัวเลือกในเมนูหลัก สามารถคลิกขวาที่ตัวเลือกเพื่อย้ายฟังก์ชั่นไปในแถบคีย์ลัด
9	บางทีอาจพบ Kraken กลางทะเล ต้องร่วมมือกับเพื่อนๆกำจัดมัน!
10	ปุ่มคีย์ลัด: PrtScrn, สามารถบันทึกรูปภาพหน้าเกมได้!
11	ทะเลในทุกๆพื้นที่จะเกิดเหตุการณ์พายุหมุนขึ้น ถ้าถูกดูดเข้าไปแล้วล่ะก็...
12	
13	อย่าลืมติดต่อเพื่อนทางจดหมายบ่อยๆล่ะ!
14	ปุ่มคีย์ลัด: Shift+คลิกขวาที่เครื่องสวมใส่ในกระเป๋า สามารถสวมใส่เป็นอาวุธรองได้ทันที
15	ปุ่มคีย์ลัด: CTRL+U สามารถซ่อนอินเตอร์เฟสทั้งหมด! กดซ้ำอีกครั้งเพื่อยกเลิกการซ่อน!
16	การเรียนสกิล จะต้องทำความสำเร็จที่กำหนดให้สำเร็จ
17	คีย์ลัด：R เมื่อกดสามารถเคลื่อนที่ได้อัตโนมัติ สะดวกมาก! 
18	Port Royal  มีปืนใหญ่ 4 ที่ สามารถใช้ในการเหาะเหินไปบนฟ้าได้
19	ปุ่มคีย์ลัด: กด Ｖ ในขณะบินอยู่ สามารถลงมาที่พื้นอย่างรวดเร็ว แต่ถ้าสูงเกินไปจะทำให้บาดเจ็บได้!
20	Ctrl+คลิกซ้าย สามารถโชว์รูปลักษณ์เครื่องสวมใส่และอาวุธได้
