n_ID	s_MAIL
1	ข้าชำนาญในการบุกดันเจี้ยน และชื่นชอบในการหาสมบัติ แต่ที่น่าเสียดายก็คือไม่มีใครมาแบ่งปันกับข้าเลย จดหมายฉบับนี้ส่งให้ผู้ที่มีพรมลิขิต หากท่านยอมตอบกลับ เรายินดีให้บริการ
2	ข้าถูก Angel of Death ฝังไว้ ไม่มีใครที่สามารถช่วยข้าได้ ข้ารอวันตายอย่างเดียว ข้ายังมีอีกหลายเรื่องที่ต้องทำ ข้าหวังว่าเพื่อนทางจดหมายของข้าจะสามารถช่วยข้าได้ ท่านช่วยข้าได้ไหม?
3	เพื่อนทางจดหมายนี่เอง สวัสดี ข้าคืออัศวินเลเวล 63 ที่มาทำนอกเวลาเป็นนักบวช นักบวชเป็นตัวช่วยในอาชีพอัศวินเป็นอย่างมาก  ชุดที่ข้าใส่เป็นชุดฟื้นฟูเลือดและเวทย์ ข้าเข้าได้ทุกดันเจี้ยน บางทีก็ไปโผล่ใน PVP  หากมีเวลาว่างก็มีคุยกันเรื่องดันเจี้ยน เครื่องสวมใส่ หรือสกิลได้นะ หากต้องการเครื่องสวมใส่ประเภทไหนท่านบอกข้าได้เลย!
4	กิจกรรม PVP ใครคือราชา กิจกรรมนี้จะได้รับ EXP เพิ่มขึ้น 5 เท่า และถ้าฆ่าต่อเนื่อง 20 ครั้งยังมีเครื่องสวมใส่สีม่วงแจกอีกนะ! ข้าหาเพื่อนได้ 2 คนแล้วล่ะ ปืนเลเวล 66 กับ ดาบเลเวล 71 เราจะรวมตัวกันตอน 2 ทุ่ม เรามาล่ารางวัลกันเถอะ!
5	ข้าคือผู้แข็งแกร่ง เจ้าได้รู้จักข้าถือว่าเป็นเกียรติ ข้าคนนี้ลงดันอย่างเดียว ก็คือข้าบู๊เป็นอย่างเดียว เรื่องเทคโนโลยีข้าเน่ามาก เจ้าเพิ่มข้าเป็นเพื่อนทางจดหมาย แล้วเจอกันที่ PVP... ไปล่ะ
6	ท่านรู้ไหมในดันเจี้ยน Falling Sun มีวิธีเล่นต่างๆที่ยังไม่รู้เยอะแยะเลยนะ เราลองไปค้นหากันดูไหมล่ะ? คืนนี้เลย!
7	เรือโจรสลัด และดันเจี้ยน Tornado ที่เจอในวันนี้ มันยากใช่ไหมล่ะ! ท่านรู้ไหมว่าภารกิจนี้เราสามารถไปเป็นทีมได้! และครั้งต่อไปเรามีโอกาสได้ล่องเรือด้วยกันด้วยนะ!
8	เฮ้! เพื่อข้า ข้ามีวิธีอัพเลเวลเด็ดๆมาฝาก แต่วิธีที่ว่าจะต้องไปกัน 2 คนนะ ไม่รู้ว่าท่านสนใจจะไปกับข้าไหม? ข้ารอคำตอบอยู่นะ!
9	[ฟังเพลงไปกินเหล้าไป ช่างสุขเสียนี่กระไร!] การหมักได้เหล้าชั้นดี แต่ต้องนั่งกินคนเดียวมันเป็นเรื่องที่น่าเสียดาย หากท่านมีเวลาก็มาเป็นเพื่อนข้ากินเหล้าบ้างนะ เจอเพื่อนครั้งแรกข้าจะทำกับแกล้มไว้เยอะๆเลยล่ะ!!
10	น่าแปลก การแยกเครื่องสวมใส่สองสามวันมานี้ ได้แต่ธาตุที่เรียกว่า [ความจริงใจ] ทั้งนั้นเลย ในคำธิบายบอกว่า สามารถแลกรับไอเทมมีค่าจากคนที่มีพรมลิขิต ท่านรู้ไหมว่ามันคืออะไร?
