n_ID	n_TYPE	n_NOTIFY_TYPE	s_MESSAGE
1	35	0	เงินไม่พอ!
2	35	0	ไอเทมที่ต้องการไม่เพียงพอ!
3	35	0	ช่องว่างในกระเป๋าไม่เพียงพอหรือจำนวนไอเทมดังกล่าวมีถึงจำนวนจำกัดแล้ว！
4	35	0	เลเวลไม่ถูกต้อง!
5	35	0	อาชีพไม่ถูกต้อง!
6	35	0	เพศไม่ถูกต้อง!
7	35	0	ห้ามประกอบด้วยอักษรพิเศษ:"$V1"
8	35	0	ขยายสูงสุดแล้ว!
9	35	0	แต้มที่ต้องการไม่เพียงพอ!
10	35	0	เนื้อหาไม่สามารถเว้นว่างได้!
11	33	0	ล้มเหลว! มีตัวละครนี้อยู่แล้ว! (ชื่อผิด,ออฟไลน์,ต่างเนื้อเรื่องหรือต่างแชนแนล)
12	35	0	ผิดพลาด! การดำเนินการผิดปกติ!
13	35	0	เชิญล้มเหลว! ฝ่ายตรงข้ามปฏิเสธ!
14	35	0	สวมใส่แล้วหรือเป็นไอเทมที่ไม่สามารถซื้อขายได้!
15	1	0	รอการตอบกลับ...
16	1	0	ปฏิเสธคำเชิญของฝ่ายตรงข้าม!
17	35	0	ท่านไม่มีไอเทมนี้!
18	35	0	เป้าหมายไม่ว่าง...
19	35	0	เงื่อนไขไม่ตรงตามกำหนด!
20	35	0	เป้าหมายฝั่งตรงข้ามไม่ถูกต้อง!
21	35	0	ชื่อซ้ำ!
22	35	0	ยังไม่ได้เลือกรายการ!
23	35	0	เลยเวลาที่กำหนด คำเชิญล้มเหลว!
24	35	0	ล้มเหลว! ฝ่ายใดฝ่ายหนึ่งมีการย้ายชื่อไปยังบัญชีดำ!
25	1	0	เชิญสำเร็จ!
26	35	0	ประเภทไม่ถูกต้อง!
27	3	0	กรุณาเลือกเป้าหมาย!
28	37	0	ไอเทมไม่ถูกต้องหรือถูกล็อกไว้ กรุณาตรวจสอบสถานะไอเทม!
29	37	0	ไอเทมยังไม่ถูกจัดตำแหน่ง กรุณาตรวจสอบการดำเนินการถูกต้องแล้วหรือไม่!
30	35	0	ไม่ตรงตามเงื่อนไข!
31	2	0	ระยะทางไกลเกินไป!
32	2	0	ไอเทมไม่สามารถใส่ได้!
33	35	0	ไม่ตรงตามเงื่อนไข ไม่สามารถใช้ได้!
34	34	0	ไอเทมของผู้อื่น ไม่สามารถเก็บขึ้นมาได้!
35	35	0	ยกเลิกการดำเนินการ!
36	32	0	
37	34	0	ดำเนินการอีกครั้ง!
38	36	0	การซื้อขายถูกตัด!
39	64	0	
40	128	0	
41	256	0	
42	34	0	ไม่สามารถทิ้งได้!
43	36	0	ข้อมูลที่เพิ่มไม่สมบูรณ์หรือการตั้งค่าผิดพลาด!
44	35	0	ฟังก์ชั่นยังไม่เปิดใช้!
45	3	0	เป้าหมายผิดพลาด!
46	35	0	จำนวนไม่เพียงพอ!
47	35	0	ผู้เล่นไม่ว่าง!
48	35	0	ไม่สามารถใช้ได้ในฉากนี้!
101	36	0	เปิดหน้าต่างประเภทเดียวกันอยู่ ไม่สามารถเข้ารายการนี้ได้
102	35	0	จำนวนการซื้อขายเต็มแล้ว!
103	35	0	อยู่ในสถานะซื้อขายได้!
104	35	0	เมื่อล็อกแล้วไม่สามารถทำการเปลี่ยนแปลงเนื้อหาได้!
105	35	0	จำนวนเงินเกินจำนวนสูงสุด!
106	35	0	ในการซื้อขายจำนวนเงินหรือไอเทมเกินจำนวนสูงสุด จะไม่สามารถซื้อขายได้!
107	35	0	อยู่ในการซื้อขาย ไม่สามารถใช้ไอเทมได้!
108	35	0	จำนวนคนในดันเจี้ยนเต็มแล้ว!
109	35	0	[ $V1 ] อยู่ในดันเจี้ยนแล้ว!
110	35	0	[ $V1 ] มีบันทึกการผ่านด่านแล้ว!
111	34	0	กรุณาเลือกตัวละคร!
112	34	0	จำนวนตัวละครเต็มแล้ว!
113	34	0	กรุณาใส่ชื่อตัวละคร!
114	35	0	ท่านไม่ใช่หัวหน้าทีม ไม่สามารถใช้ฟังก์ชั่นนี้ได้!
115	35	0	จำนวนคนในทีมเต็มแล้ว!
116	3	0	เป้าหมายมีทีมแล้ว!
117	3	0	[ $V1 ] ได้เชิญท่านเข้าร่วมทีม...
118	67	0	[ $V1 ] เข้าทีม!
119	3	0	ส่งคำเชิญเข้าทีมไปให้ [ $V1 ] รอการตอบกลับ...
120	35	0	เข้าร่วมล้มเหลว! ท่านมีทีมอยู่แล้ว!
121	1	0	หัก [ $V1 ] $V2 อัน!
122	35	0	จำนวนเงินที่มีอยู่ถึงจำนวนสูงสุดแล้ว!
123	1	0	ยินดีด้วย $V1 ท่านสร้างกิลด์ $V2 สำเร็จ!
124	1	0	สมาชิกกิลด์ $V1 ออนไลน์แล้ว!
125	1	0	สมาชิกกิลด์ $V1 ออฟไลน์
126	9	2	ขอบคุณสมาชิก $V1 ที่ทำการบริจาค EXP ให้กิลด์ $V2 หน่วย
127	35	0	ที่ว่างไม่เพียงพอ!
128	35	0	ไอเทมเหลือเพียงอันเดียว!
129	3	0	จัดเรียงสำเร็จ!
130	1	0	ยินดีด้วย: ระดับกิลของ $V1 พัฒนาขึ้นแล้ว!
131	1	0	ได้รับ [ $V1 ] * $V2
132	1	0	ได้รับเงิน
133	3	0	ได้รับ Token $V1 เหรียญ!
134	1	0	เพิ่ม [ $V1 ] ลงในรายชื่อเพื่อนสำเร็จ!
135	35	0	การเชิญล้มเหลว! ฝ่ายตรงข้ามปฏิเสธ!
136	35	0	ล้มเหลว! ตัวละครนี้ไม่มีอยู่หรือออฟไลน์อยู่!
137	35	0	รายชื่อเต็มแล้ว!
138	1	0	ลบเพื่อน [ $V1 ] แล้ว!
139	35	0	ฝ่ายตรงข้ามอยู่ในรายชื่อแล้ว
140	35	0	ฝ่ายตรงข้ามอยู่ในบัญชีดำแล้ว!
