n_ID	n_TYPE	s_MESSAGE
1	1	ท่าน
2	1	$V1 ใช้ $V2
3	1	$V1 เนื่องจาก $V2 ของ $V3 เสีย HP $V4 แต้ม
4	1	$V1 เนื่องจาก $V2 ของ $V3 เสีย MP $V4 แต้ม
5	1	$V1 เนื่องจาก $V2 ของ $V3 ฟื้นฟู HP $V4 แต้ม
6	1	$V1 เนื่องจาก $V2 ของ $V3 ฟื้นฟู MP $V4 แต้ม
7	1	$V1 ได้รับของ $V2 บัฟ $V3
8	1	(หลบหลีก)
9	1	(รับมือ)
10	1	(มองข้ามการป้องกัน)
11	1	(คริติคอล)
12	1	(สังหาร)
13	3	$V1 บาดเจ็บล้มลง!
14	3	$V1 ตาย!
15	3	$V1 เริ่มช่วยเหลือ $V2...
16	3	$V1 ช่วยเหลือสำเร็จ $V2!
17	3	เรือของ $V1 น้ำเข้าแล้ว!
18	3	เรือของ $V1 หายไปแล้ว!
19	3	$V1 กำลังช่วยเรือของ $V2 ไม่ให้น้ำเข้า
20	3	$V1 ช่วยเรือของ $V2 ไม่ให้น้ำเขาสำเร็จ!
