n_ID	s_MESSAGE
1	req ว่างเปล่า ไม่ถูกต้อง!
2	คำสั่งว่างเปล่า ไม่ถูกต้อง!
3	ประเภทตำสั่งไม่ถูกต้อง!
4	คำสั่งไอดี Stream สูญหาย!
5	คำสั่งยังสร้างไม่สำเร็จ!
6	คำสั่งเสียหาย!
7	เลยเวลาจัดการคำสั่ง!
8	จัดการคำสั่งสำเร็จ!
9	ID สกิลเป็น 0!
10	ID สกิลไม่ใช่ 0!
11	ID สกิลไม่ถูกต้อง!
12	สถานะระบบปัจจุบันไม่ตรงตาม request!
13	ไม่มี source ของการ request!
14	ไม่ไดระบุประเภท Request!
15	Response เป็น NULL ไม่สามารถทำให้เกิดผลได้!
16	เป้าหมายไม่สมารถโดนโจมตีได้!
17	ผู้โมตีตายแล้ว!
18	เป้าหมายไม่ถูกต้อง!
19	เป้าหมายตายแล้ว!
20	ประเภทการโมตีไม่ถูกต้อง!
21	ไม่สามารถโจมตีตนเองได้!
22	มอนสเตอร์กำลังวิ่งกลับเข้าที่ ในเวลานี้ไม่สามารถโจมตีมอนสเตอร์ได้!
23	ไม่มีสกิลกายภาพนี้!
24	ไม่มีสกิลที่ไม่ใช่สกิลกายภาพนี้!
25	ไอเทมไม่ถูกต้อง(ไม่มีไอเทม)!
26	จำนวนไอเทมไม่เพียงพอ!
27	อาวุธมือขวาไม่สัมพันธ์กับสกิล!
28	กระสุนไม่เพียงพอ!
29	มีสิ่งกีดขวางในเส้นทางการโจมตี!
30	กำลังดำเนินการในคำสั่งอื่นอยู่!
31	ผู้โจมตีไม่ได้อยู่ในสถานะโจมตี!
32	ผู้โจมตีไม่สามารถเข้าสู่สถานะโจมตีได้!
33	คำสั่งยังไม่เริ่ม!
34	คำสั่งเริ่มแล้ว แต่ยังไม่ได้ใช้!
35	ระยะห่างในการโจมตี delay_time ยังไม่ถึงกำหนด!
36	ระยะทางในการโจมตีใกล้เกินไป!
37	ระยะทางในการโจมตีไกลเกินไป!
38	โจมตีโดนผิดพลาด!
39	ข้อมูลสกิลผิด!
40	เป้าหมายไม่ใช่ศพ!
41	เป้าหมายไม่ใช่ผู้เล่น!
42	เป้าหมายไม่ใช่ MOB/ NPC!
43	เป้าหมายไม่ได้อยู่บนพื้น!
44	เป้าหมายไม่ใช่ Minion!
45	เป้าหมายไม่ใช่ Trigger!
46	เป้าหมายไม่ได้อยู่ในบริเวณที่มีผล!
47	สกิลกำลังคูลดาวน์!
48	เลเวลไม่เพียงพอไม่สามารถใช้ได้!
49	สกิลไม่สัมพันธ์กับอาชีพ!
50	สกิลและเครื่องสวมใส่ไม่สัมพันธ์กัน!
51	ข้อมูลที่สกิลต้องการไม่ถูกต้อง!
52	สกิลอาชีพไม่ถูกต้อง!
53	คำสั่งนี้ไม่สามารถใช้ได้กับการต่อสู้ หรือกำลังทำท่าทางอย่างอื่นอยู่!
54	เป้าหมายที่ใช้สกิลไม่ถูกต้อง!
55	เป้าหมายในการใช้สกิลอยู่ใกล้เกินไป!
56	เป้าหมายในการใช้สกิลอยู่ไกลเกินไป!
57	ไม่ได้อยู่ในขอบเขตสกิล!
58	การระบุเป้าหมายสกิลของศัตรูหรือตนเองไม่ถูกต้อง!
59	ประเภทของเป้าหมายสกิลไม่ถูกต้อง!
60	ผลสกิลของเป้าหมาย ไม่สัมพันธ์กับตนเอง!
61	กำลังใช้สกิล!
62	หยุดใช้สกิล!
63	HP ที่ต้องการในการใช้สกิลไม่เพียงพอ!
64	MP ที่ต้องการในการใช้สกิลไม่เพียงพอ!
65	[EPบอล] ที่ต้องการในการใช้สกิลไม่เพียงพอ!
66	[EPบอล] ที่ต้องการในการใช้สกิลไม่เพียงพอ!
67	[EPบอล] ที่ต้องการในการใช้สกิลไม่เพียงพอ!
68	[EPบอล] ที่ต้องการในการใช้สกิลไม่เพียงพอ!
