n_ID	s_NAME	s_TITLE	s_NPC_CHATS
1	Navy Transfer		ท่าเรือแห่งนี้ไว้ใช้สำหรับกองทหารเรือของราชวงศ์ที่ทหารใช้เรือในการลำเลียงไปกลับ <text>[52300001]</text> 
2	Sebastian	Warden	<text>[52300002]</text> ข้าคือผู้คุมของที่นี่ ที่นี่ข้ามีอำนาจมากที่สุด
3	Navy soldier		ทหารเรือราชวงศ์จงเจริญ!
4	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300002]</text> ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
5	Pike	Unemployed Sailor	ทำไงดี? ข้าทำกุญแจหาย ผู้คุมต้องลงโทษข้าแน่ๆ
6	Legend Jack	Drunken Captain	นึกไม่ถึงผู้มีชื่อเสียงในทั่วหล้าอย่างข้า กลับถูกเนรเทศมายังเกาะร้างที่แม้แต่นกยังไม่มาวางไข่เลย
7	Legend Jack Men		หากไม่เข้าร่วม <text style="79">[52500028]</text> เราเจอดีกันแน่!
8	Edmund	Witch Servant	ข้าคิดถึงคู่หมั้นของข้ามาก <text style="79">[52500180]</text> ไม่รู้ว่านางจะสบายดีไหม?
9	Baboza	Madman Captain	ฆ่า <text style="79">[52500006]</text> ข้าถึงจะสามารถขึ้นเป็นราชาของเกาะร้างแห่งนี้
10	Baboza Men		รีบเข้าร่วม <text style="79">[52500029]</text> เถอะ! เดี๋ยว <text style="79">[52500009]</text> กัปตันจะคุ้มครองแกเอง
11	X	Mystery Prisoner	ถึงแม้ว่าแกจะเห็นฉัน ก็ช่วยกรุณาทำเป็นว่าฉันไม่อยู่ทีนี่
12	Paul	Prison Gourmet	ถึงแม้ว่าจะเป็นนักโทษ แต่ก็มีสิทธิ์ที่ได้กินอาหารดีๆ
13	Odyssey	Witch Pirate 	ฉันก็แค่อยากมีทาสที่ดูมีประโยชน์
14	Veronica	Apprentice Witch	คนหลากหลายรูปแบบเป็นการฝึกที่ดีที่สุดของเวทย์มนต์แปลงกาย
15	Ferryman	Old Prisoner	ตั้งแต่อายุ 18 ฉันก็ถูกขังอยู่ที่นี่แล้ว ฉันหวังว่าชีวิตนี้คงได้ออกจากคุก!
16	Silly Pirate Prisoner		การที่ถูกเนรเทศมายังเกาะแห่งนี้ แท้จริงแล้วมันคือการดิ้นรนของชีวิต!
17	Panic Pirate Prisoner		มันจะมีวันที่ข้าจะได้ถูกปล่อยตัวมั้ย?
18	Thin	The Shipbuilding	เพราะฉันอยู่บนเรือโจรสลัดที่ผิดกฎหมาย ฉันถึงถูกจับมาขังไว้ที่นี่
