n_ID	s_SENTENCE1	s_SENTENCE2	s_SENTENCE3
1	เจ้ามันอ่อนหัดเกินไปที่จะเป็นคู่แข่งของข้า เจ้าเป็นได้แค่อาหารของหมาปีศาจเท่านั้น	เจ้ามันอ่อนหัดเกินไปที่จะเป็นคู่แข่งของข้า เจ้าเป็นได้แค่อาหารของหมาปีศาจเท่านั้น	เจ้ามันอ่อนหัดเกินไปที่จะเป็นคู่แข่งของข้า เจ้าเป็นได้แค่อาหารของหมาปีศาจเท่านั้น
2	เอ๋? ดูเหมือนว่าข้าประเมินเจ้าต่ำไป...	เอ๋? ดูเหมือนว่าข้าประเมินเจ้าต่ำไป...	เอ๋? ดูเหมือนว่าข้าประเมินเจ้าต่ำไป...
3	มีพลังแค่นี้เองเหรอ?	มีพลังแค่นี้เองเหรอ?	มีพลังแค่นี้เองเหรอ?
4	ก็ธรรมดา...ไม่เห็นมีอะไรพิเศษ...	ก็ธรรมดา...ไม่เห็นมีอะไรพิเศษ...	ก็ธรรมดา...ไม่เห็นมีอะไรพิเศษ...
5	ข้าชื่นชนในความกล้าหาญของเจ้า...แบบนี้สิถึงจะเป็นคู่ปรับที่สมน้ำสมเนื้อกันหน่อย...อย่าทำให้ข้าเบื่อล่ะ	ข้าชื่นชนในความกล้าหาญของเจ้า...แบบนี้สิถึงจะเป็นคู่ปรับที่สมน้ำสมเนื้อกันหน่อย...อย่าทำให้ข้าเบื่อล่ะ	ข้าชื่นชนในความกล้าหาญของเจ้า...แบบนี้สิถึงจะเป็นคู่ปรับที่สมน้ำสมเนื้อกันหน่อย...อย่าทำให้ข้าเบื่อล่ะ
6	เกมจบลงแล้ว...ลูกสาวของโพไซดอนและนักผจญภัยนิรนาม...	เกมจบลงแล้ว...ลูกสาวของโพไซดอนและนักผจญภัยนิรนาม...	เกมจบลงแล้ว...ลูกสาวของโพไซดอนและนักผจญภัยนิรนาม...
7	แย่ บัดซบ! ข้าไม่ยอมเจ้าง่ายๆหรอก ข้าจะไม่ยกลูกสาวให้เจ้าแน่นอน!	แย่ บัดซบ! ข้าไม่ยอมเจ้าง่ายๆหรอก ข้าจะไม่ยกลูกสาวให้เจ้าแน่นอน!	แย่ บัดซบ! ข้าไม่ยอมเจ้าง่ายๆหรอก ข้าจะไม่ยกลูกสาวให้เจ้าแน่นอน!
8	พวกมนุษย์มีความพยายามยิ่งนัก! ทำไมลูกข้าถึงได้ยอมแพ้ง่ายๆ แบบนั้นล่ะ!	พวกมนุษย์มีความพยายามยิ่งนัก! ทำไมลูกข้าถึงได้ยอมแพ้ง่ายๆแบบนั้นล่ะ!	พวกมนุษย์มีความพยายามยิ่งนัก! ทำไมลูกข้าถึงได้ยอมแพ้ง่ายๆแบบนั้นล่ะ!
9	แสงแห่งการรักษา!	อย่าพูดมาก ข้าจะรักษาเจ้าเดี๋ยวนี้แหละ!	หัวใจแห่งท้องทะเล แก่นแท้ของชีวิต จงนำพลังของเจ้ากลับคืนมา ปลุกจิตวิญญาณของผู้กล้าหาญท่านนี้!
10	เจ้าเป็นแค่มนุษย์ธรรมดาๆคนหนึ่ง... เจ้าโง่เอ้ย รู้อยู่แล้วใช่เหรอว่าสู้เขาไม่ได้? มา...ข้าจะช่วยเจ้าเอง!	เจ้าเป็นแค่มนุษย์ธรรมดาๆคนหนึ่ง... เจ้าโง่เอ้ย รู้อยู่แล้วใช่เหรอว่าสู้เขาไม่ได้? มา...ข้าจะช่วยเจ้าเอง!	เจ้าเป็นแค่มนุษย์ธรรมดาๆคนหนึ่ง... เจ้าโง่เอ้ย รู้อยู่แล้วใช่เหรอว่าสู้เขาไม่ได้? มา...ข้าจะช่วยเจ้าเอง!
11	ข้าจะต้องได้พลังจากพ่อข้ามาช่วยชีวิตเจ้า...	ข้าจะต้องได้พลังจากพ่อข้ามาช่วยชีวิตเจ้า...	ข้าจะต้องได้พลังจากพ่อข้ามาช่วยชีวิตเจ้า...
12	อี โย วู โอ ลา ลา ลา ลา!!	เฮย เล อิน โอ พู ลู ลู ลู!!	คา รี โอ เล โอ โอ โอ!!
13	หืด...หาด...	หืด...หาด...	หืด...หาด...
14	จริงๆเล๊ยยย กระดูบ้าของข้าเนี่ย	จริงๆเล๊ยยย กระดูบ้าของข้าเนี่ย	จริงๆเล๊ยยย กระดูบ้าของข้าเนี่ย
15	(Demon Wolf กำลังนอนสบายอยู่บนพื้น)	(Demon Wolf กำลังนอนสบายอยู่บนพื้น)	(Demon Wolf กำลังนอนสบายอยู่บนพื้น)
16	โฮก!	โฮก!	โฮก!
17	Robinson ปล่อยพลังออกไป พร้อมกางปีกอันใหญ่ออกมา!	Robinson ปล่อยพลังออกไป พร้อมกางปีกอันใหญ่ออกมา!	Robinson ปล่อยพลังออกไป พร้อมกางปีกอันใหญ่ออกมา!
