n_ID	s_NAME	s_TIP
1	ตำนานสมบัติเทพโพไซดอน	
2	ออกผจญภัยในมหาสมุทร	
3	เรือแรกอับปาง	
4	เหาะเหินอย่างไร	
5	อธิบาย Sky Lantern	
6	เลือกด่วน	
7	นำทางอัตโนมัติ	
8	ไกด์ Port Royal 	
9	ระบบแผนที่ทะเล	
10	Sea Phantom ปะทะ เทพโพไซดอน	
11	ทิศทางเดินเรืออิสระในมหาสมุทร	
12	การต่อสู้แห่งเทพโพไซดอน	
13	การชุมนุมของผู้พิทักษ์	
16	Medeaออกโรง!	
17	แมงกระพรุนแห่งเกาะลอยฟ้าปรากฏกาย!	
18	วิธีการปกป้องผู้ลี้ภัย	
19	การโจมตีของรถรบของจักรวรรดิ!	
20	ปีศาจดันเต้บังเกิด!	
21	การจู่โจมของมารร้าย!	
22	เทพปกป้องโบราณสถานปรากฏตัว!	
23	สมับติ-ใบรับรองผู้พิพากษา	
24	มองในแง่ทั่วๆ ไปของ Port Royal 	
25	ผจญภัยกระโดดไปในด่าน	
27	ไกด์ Port Royal 	
28	 Prison Exile Island 	
29	 Spice Paradise Island 	
30	 Slave Market Island 	
31	 Evil Port  	
32	 Ocean Walled City 	
33	Voodoo Island	
34	Silver Harbour	
35	Death City Sea	
36	Sea Phantom ปะทะ เทพโพไซดอน	
37	Hell Volcanic Island	
