n_ID	s_NAME
1	M Gu
2	Gobao
3	Nalu Sase
4	Cale
5	Yan Yuzi
6	Tuna
7	Khayredin
8	Croseyes
9	Olivia
10	Elizabeth
11	Ivah
12	Odyssey
13	Flying Yellow Duck
101	Wilbur Wolf
201	Elizabeth (ver.x'mas)
1001	Fur seal
1002	Sediment Wolf
1003	Blind Hound
1004	Exotic Demon Wolf
1005	Red Flame Demon Wolf
1006	Two Horns Tiger
1007	Purple Flame Lion
1008	Jungle Tiger
1009	Dark Roast Lion
1010	Blue Tiger
1011	Ned King Kong
1012	Polar ape
1013	Wild ape
1014	Hell King Kong
1015	Ward Kingkong
1016	Zombie baboon
1017	Greenwood Magic Flower
1018	Fire magic
1019	Toxic Vine
1020	End date Flower
1021	Charm Felvine
1022	Mountain Deer
1023	Sparkler Antelope
1024	Flame Mountains deer
1025	Polar deer
1026	Prairie deer
1027	Nightmare Claw beast
1028	Rock turtle
1029	Sand dragon
1030	Purple turtle
1031	Earth Flame Dragon
1032	Swamp Tortoise
1033	Iceberg Turtle
1034	Desert Eagle
1035	Blood red eagle
1036	Forest Green Eagle
1037	Razor Blackhawk
1038	Steel blade Eagle
1039	lenka
1040	Raspberry Bibi
1041	Flying Rat Sapphire
1042	Remains Bibi
1043	Crystal Bibi
1044	Navy Two Tripods
1045	Protect City Mech
1046	Navy Tiger Mech
1047	Pirates blitz Mech
1048	Air Thief Meteor Mech
1049	Navy guns Mech
1050	Fire Euglena
1051	Crusty Bone Fish
1052	Jade Euglena
1053	Craig Firebird
1054	Ominous Bird
1055	Angel Sheep
1056	Blue Sea Snake
1057	Sharp snake poison ivy
1058	Red Flame Creeper
1059	Phantom Demon Snake
1060	Temple Snake
1061	Snail
1062	Deep Sea Snail
1063	Flash Snail
1064	Fighting Fish soldier
1065	Gentry Platypus
1066	Scythe beetle
1067	Sunry beetle
1068	Blue Beetle
1069	Thorn Hammer Bee
1070	Red blood Bee
1071	Sea Phantom
1072	Nelson
1073	Odyssey
1074	Plato
1075	Jason
1076	Medea
1077	Drake
1078	Siren
1079	Rosemary
1080	Angelina
1081	Bismarck
1082	Isoroku Yamamoto
1083	Columbus
1084	Magellan
1085	Angel of Death
1086	Juoda
1087	Rosie Antelope
1088	Pumpkin Ghost
1089	Skeleton Seaman
1090	Christmas Elf-Warm
1091	Christmas Elf-Pretty
1092	Romantic Lover
1093	Pink Beauty
1094	Cute Bunny
